Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,0.142000,0.142000,0.135000,0.140000,0.140000,6526000
2019-08-06,0.135000,0.137000,0.121000,0.131000,0.131000,11562000
2019-08-07,0.134000,0.141000,0.127000,0.130000,0.130000,3994000
2019-08-08,0.131000,0.137000,0.127000,0.127000,0.127000,6034000
2019-08-09,0.128000,0.130000,0.128000,0.130000,0.130000,884000
2019-08-12,0.128000,0.130000,0.128000,0.128000,0.128000,1536000
2019-08-13,0.130000,0.130000,0.126000,0.127000,0.127000,9200000
2019-08-14,0.127000,0.130000,0.126000,0.126000,0.126000,3748000
2019-08-15,0.126000,0.130000,0.125000,0.129000,0.129000,4902000
2019-08-16,0.127000,0.131000,0.127000,0.131000,0.131000,1051223
2019-08-19,0.131000,0.137000,0.130000,0.132000,0.132000,884000
2019-08-20,0.133000,0.150000,0.133000,0.150000,0.150000,9300000
2019-08-21,0.145000,0.182000,0.145000,0.180000,0.180000,130451200
2019-08-22,0.179000,0.179000,0.158000,0.162000,0.162000,10266000
2019-08-23,0.163000,0.168000,0.161000,0.168000,0.168000,10346000
2019-08-26,0.170000,0.178000,0.160000,0.174000,0.174000,12766000
2019-08-27,0.174000,0.179000,0.174000,0.177000,0.177000,12786400
2019-08-28,0.177000,0.181000,0.168000,0.170000,0.170000,7208000
2019-08-29,0.170000,0.181000,0.170000,0.180000,0.180000,9878000
2019-08-30,0.179000,0.182000,0.179000,0.179000,0.179000,17384000
2019-09-02,0.178000,0.196000,0.178000,0.187000,0.187000,14716000
2019-09-03,0.185000,0.189000,0.178000,0.180000,0.180000,4492000
2019-09-04,0.180000,0.188000,0.165000,0.169000,0.169000,10730000
2019-09-05,0.170000,0.178000,0.150000,0.159000,0.159000,18930000
2019-09-06,0.159000,0.162000,0.147000,0.160000,0.160000,29004000
2019-09-09,0.160000,0.163000,0.150000,0.150000,0.150000,10700000
2019-09-10,0.150000,0.163000,0.150000,0.158000,0.158000,14589600
2019-09-11,0.158000,0.168000,0.158000,0.165000,0.165000,11032000
2019-09-12,0.165000,0.167000,0.149000,0.151000,0.151000,27940000
