Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,4.790000,4.830000,4.630000,4.660000,4.449659,41713340
2019-08-06,4.500000,4.720000,4.410000,4.650000,4.440111,59596323
2019-08-07,4.660000,4.760000,4.600000,4.660000,4.449659,19776430
2019-08-08,4.670000,4.740000,4.610000,4.710000,4.497403,14304082
2019-08-09,4.750000,4.780000,4.630000,4.660000,4.449659,13456499
2019-08-12,4.670000,4.770000,4.590000,4.700000,4.487854,13366000
2019-08-13,4.640000,4.720000,4.540000,4.550000,4.344625,28559852
2019-08-14,4.670000,4.710000,4.550000,4.610000,4.401917,17936314
2019-08-15,4.500000,4.710000,4.470000,4.660000,4.449659,18233019
2019-08-16,4.690000,4.720000,4.600000,4.640000,4.430562,14987969
2019-08-19,4.700000,4.910000,4.700000,4.860000,4.640632,33112841
2019-08-20,4.910000,4.930000,4.830000,4.890000,4.669278,13479176
2019-08-21,4.870000,4.980000,4.740000,4.940000,4.717021,39835893
2019-08-22,4.970000,4.970000,4.830000,4.870000,4.650181,25704628
2019-08-23,4.930000,4.930000,4.750000,4.810000,4.592889,24354000
2019-08-26,4.600000,4.780000,4.600000,4.780000,4.564243,22202386
2019-08-27,4.850000,4.850000,4.730000,4.790000,4.573792,26520620
2019-08-28,4.820000,4.860000,4.740000,4.750000,4.535597,17516000
2019-08-29,4.710000,4.720000,4.480000,4.510000,4.306431,54915036
2019-08-30,4.560000,4.580000,4.330000,4.380000,4.182298,50877410
2019-09-02,4.400000,4.510000,4.370000,4.450000,4.249138,18318031
2019-09-03,4.480000,4.540000,4.430000,4.480000,4.277784,12689738
2019-09-04,4.530000,4.600000,4.500000,4.580000,4.373271,33292663
2019-09-05,4.640000,4.750000,4.590000,4.670000,4.459208,23905145
2019-09-06,4.750000,4.770000,4.650000,4.710000,4.497403,17155751
2019-09-09,4.710000,4.780000,4.530000,4.580000,4.373271,23409650
2019-09-10,4.620000,4.660000,4.470000,4.560000,4.354173,23110547
2019-09-11,4.550000,4.610000,4.470000,4.570000,4.363722,10152847
2019-09-12,4.600000,4.700000,4.570000,4.620000,4.411465,12981110
2019-09-13,4.610000,4.780000,4.570000,4.720000,4.506951,9128591
2019-09-16,4.700000,4.720000,4.650000,4.690000,4.478305,16552700
2019-09-17,4.690000,4.690000,4.610000,4.650000,4.440111,11398957
2019-09-18,4.660000,4.740000,4.650000,4.720000,4.506951,11989574
2019-09-19,4.750000,4.760000,4.690000,4.730000,4.516500,11819387
2019-09-20,4.750000,4.790000,4.720000,4.760000,4.545146,22678500
2019-09-23,4.720000,4.780000,4.640000,4.700000,4.487854,14546435
2019-09-24,4.700000,4.710000,4.560000,4.610000,4.401917,25148457
2019-09-25,4.640000,4.640000,4.500000,4.550000,4.344625,16902535
2019-09-26,4.570000,4.630000,4.530000,4.540000,4.335076,10432506
2019-09-27,4.570000,4.570000,4.440000,4.490000,4.287333,11089084
2019-09-30,4.450000,4.590000,4.450000,4.490000,4.287333,16892475
2019-10-02,4.490000,4.640000,4.440000,4.570000,4.363722,9916026
2019-10-03,4.590000,4.630000,4.510000,4.590000,4.382819,8516354
2019-10-04,4.500000,4.630000,4.470000,4.530000,4.441649,11679726
2019-10-08,4.570000,4.620000,4.520000,4.530000,4.441649,21286000
2019-10-09,4.540000,4.760000,4.520000,4.670000,4.578918,31645620
2019-10-10,4.700000,4.820000,4.670000,4.760000,4.667163,40112453
2019-10-11,4.810000,4.980000,4.790000,4.950000,4.853457,33044173
2019-10-14,5.040000,5.070000,4.970000,5.020000,4.922092,29004272
2019-10-15,5.000000,5.050000,4.960000,5.010000,4.912288,14090896
2019-10-16,5.000000,5.250000,5.000000,5.230000,5.127996,43417250
2019-10-17,5.160000,5.330000,5.160000,5.230000,5.127996,21122000
2019-10-18,5.220000,5.280000,5.100000,5.190000,5.088777,30617131
2019-10-21,5.110000,5.250000,5.110000,5.170000,5.069167,17701048
2019-10-22,5.150000,5.190000,5.100000,5.160000,5.059361,34259346
2019-10-23,5.120000,5.160000,4.990000,5.050000,4.951508,22014651
2019-10-24,5.090000,5.150000,5.020000,5.120000,5.020142,20752788
2019-10-25,5.100000,5.260000,5.070000,5.200000,5.098581,16892306
2019-10-28,5.200000,5.290000,5.140000,5.180000,5.078971,15544306
2019-10-29,5.240000,5.270000,5.130000,5.210000,5.108387,19780107
