Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,16.559999,16.740000,16.320000,16.700001,16.431698,472006
2019-08-06,16.580000,16.900000,16.379999,16.820000,16.549768,1717078
2019-08-07,16.780001,16.780001,16.360001,16.700001,16.431698,309590
2019-08-08,16.740000,16.820000,16.580000,16.700001,16.431698,898030
2019-08-09,16.760000,16.780001,16.480000,16.580000,16.313625,713065
2019-08-12,16.580000,16.760000,16.540001,16.600000,16.333305,96211
2019-08-13,16.700001,16.700001,15.940000,16.219999,15.959409,1260500
2019-08-14,16.299999,16.299999,15.800000,15.900000,15.644550,177050
2019-08-15,15.500000,16.000000,15.500000,15.600000,15.349371,164545
2019-08-16,15.600000,16.440001,15.420000,16.120001,15.861016,1452250
2019-08-19,16.080000,16.660000,16.080000,16.440001,16.175875,338000
2019-08-20,16.480000,16.480000,15.700000,15.800000,15.546157,401500
2019-08-21,15.880000,16.280001,15.160000,16.120001,15.861016,191850
2019-08-22,15.960000,16.180000,15.680000,15.980000,15.723265,120250
2019-08-23,15.900000,15.940000,15.560000,15.880000,15.624872,320303
2019-08-26,15.660000,16.120001,15.480000,15.760000,15.506800,697500
2019-08-27,15.400000,15.860000,15.140000,15.460000,15.211619,116000
2019-08-28,15.260000,15.460000,15.160000,15.160000,14.916439,121000
2019-08-29,15.160000,15.420000,14.900000,15.300000,15.054191,228600
2019-08-30,15.280000,15.360000,15.060000,15.200000,14.955796,283048
2019-09-02,15.180000,15.600000,15.120000,15.260000,15.014832,288750
2019-09-03,15.220000,15.360000,15.200000,15.280000,15.034511,144300
2019-09-04,15.280000,15.760000,15.280000,15.680000,15.428085,670066
2019-09-05,15.720000,17.360001,15.720000,16.360001,16.097160,1368628
2019-09-06,16.280001,16.299999,15.820000,16.080000,15.821658,439081
2019-09-09,16.100000,16.100000,15.600000,15.600000,15.349371,316500
2019-09-10,15.600000,15.600000,15.440000,15.500000,15.250977,494635
2019-09-11,15.320000,15.700000,15.320000,15.460000,15.211619,683172
2019-09-12,15.440000,15.860000,15.420000,15.860000,15.605193,350728
2019-09-13,15.880000,16.200001,15.560000,16.200001,15.939732,617762
2019-09-16,15.980000,16.280001,15.680000,15.840000,15.585514,2731750
2019-09-17,15.760000,16.360001,15.660000,16.000000,15.742944,1157403
2019-09-18,16.240000,16.240000,15.980000,16.100000,15.841337,189527
2019-09-19,16.020000,16.139999,15.720000,16.000000,15.742944,214500
2019-09-20,15.920000,16.360001,15.620000,16.200001,15.939732,1281286
2019-09-23,16.020000,16.200001,16.000000,16.100000,15.841337,294500
2019-09-24,16.200001,16.200001,15.520000,15.720000,15.467443,367214
2019-09-25,15.800000,15.860000,15.520000,15.800000,15.546157,349843
2019-09-26,15.820000,16.059999,15.760000,15.760000,15.506800,94619
2019-09-27,15.560000,15.700000,15.340000,15.500000,15.500000,142467
2019-09-30,15.300000,15.640000,15.300000,15.600000,15.600000,400700
2019-10-02,15.720000,16.360001,15.580000,16.340000,16.340000,1032000
2019-10-03,16.240000,16.240000,15.900000,16.100000,16.100000,878500
2019-10-04,16.180000,16.180000,15.660000,15.820000,15.820000,1000627
2019-10-08,15.740000,15.940000,15.400000,15.500000,15.500000,1289226
2019-10-09,15.700000,15.900000,15.500000,15.840000,15.840000,585650
2019-10-10,16.240000,16.360001,15.900000,16.240000,16.240000,2298760
2019-10-11,16.080000,16.280001,15.500000,16.200001,16.200001,274479
2019-10-14,16.200001,16.200001,15.800000,15.900000,15.900000,98180
2019-10-15,15.960000,15.960000,15.580000,15.900000,15.900000,246250
2019-10-16,15.880000,15.880000,15.600000,15.700000,15.700000,87500
2019-10-17,15.800000,15.800000,15.540000,15.540000,15.540000,99000
2019-10-18,15.620000,15.760000,15.340000,15.760000,15.760000,385644
2019-10-21,15.780000,15.800000,15.520000,15.580000,15.580000,148300
2019-10-22,15.520000,16.080000,15.500000,15.940000,15.940000,470752
2019-10-23,16.360001,19.219999,16.299999,17.900000,17.900000,4192450
2019-10-24,17.500000,17.860001,17.180000,17.860001,17.860001,808548
2019-10-25,17.760000,17.920000,17.040001,17.379999,17.379999,716250
2019-10-28,17.400000,17.600000,17.240000,17.480000,17.480000,202366
2019-10-29,17.500000,17.740000,17.299999,17.740000,17.740000,215370
2019-10-30,17.520000,17.879999,17.500000,17.879999,17.879999,240776
2019-10-31,17.500000,17.860001,17.379999,17.660000,17.660000,291125
2019-11-01,17.500000,17.920000,17.379999,17.799999,17.799999,1043561
2019-11-04,17.740000,17.959999,17.600000,17.900000,17.900000,3242825
2019-11-05,17.900000,18.200001,17.559999,17.660000,17.660000,1963250
2019-11-06,17.719999,18.000000,17.620001,17.680000,17.680000,273250
2019-11-07,17.900000,18.000000,17.540001,17.900000,17.900000,169750
2019-11-08,17.980000,18.200001,17.879999,18.120001,18.120001,751749
2019-11-11,17.680000,18.620001,17.639999,18.379999,18.379999,3152677
2019-11-12,18.420000,18.459999,18.000000,18.120001,18.120001,1263500
2019-11-13,18.100000,18.280001,17.920000,18.100000,18.100000,1655495
2019-11-14,18.100000,18.580000,17.520000,17.580000,17.580000,331535
2019-11-15,17.520000,17.740000,17.400000,17.559999,17.559999,120250
2019-11-18,18.000000,18.000000,17.520000,17.799999,17.799999,133000
2019-11-19,17.920000,18.120001,17.740000,17.980000,17.980000,974750
2019-11-20,17.820000,18.500000,17.820000,18.000000,18.000000,660500
2019-11-21,18.000000,18.000000,17.840000,17.959999,17.959999,329991
2019-11-22,17.540001,18.139999,17.400000,17.959999,17.959999,1367934
2019-11-25,17.959999,18.840000,17.940001,18.280001,18.280001,1231250
2019-11-26,19.500000,20.750000,19.400000,19.940001,19.940001,4207260
2019-11-27,19.299999,19.660000,19.040001,19.280001,19.280001,1203234
2019-11-28,19.400000,20.200001,19.320000,19.320000,19.320000,742500
2019-11-29,19.719999,19.719999,19.020000,19.299999,19.299999,658260
2019-12-02,19.540001,19.760000,19.320000,19.420000,19.420000,167137
2019-12-03,19.500000,19.820000,19.080000,19.299999,19.299999,222044
2019-12-04,19.299999,19.299999,18.900000,19.100000,19.100000,195594
2019-12-05,19.200001,20.049999,19.200001,20.000000,20.000000,662606
2019-12-06,19.700001,19.900000,19.240000,19.500000,19.500000,586050
2019-12-09,19.400000,19.600000,19.260000,19.360001,19.360001,327450
2019-12-10,19.360001,19.580000,19.299999,19.340000,19.340000,345000
2019-12-11,19.320000,19.480000,19.100000,19.299999,19.299999,793073
2019-12-12,19.459999,19.639999,18.700001,18.719999,18.719999,749000
2019-12-13,19.000000,19.100000,18.459999,18.559999,18.559999,624077
2019-12-16,18.559999,18.900000,18.559999,18.740000,18.740000,176500
2019-12-17,18.740000,19.299999,18.459999,18.660000,18.660000,405000
2019-12-18,18.760000,18.879999,18.400000,18.680000,18.680000,325250
2019-12-19,18.559999,18.760000,18.420000,18.740000,18.740000,452250
2019-12-20,18.740000,19.020000,18.500000,18.500000,18.500000,702250
2019-12-23,18.459999,19.360001,18.459999,18.940001,18.940001,493857
2019-12-24,19.160000,19.200001,18.860001,18.940001,18.940001,41064
2019-12-27,19.180000,19.219999,18.700001,18.820000,18.820000,154306
2019-12-30,18.740000,18.940001,18.660000,18.680000,18.680000,114824
2019-12-31,18.740000,18.840000,18.400000,18.459999,18.459999,185014
2020-01-02,18.500000,18.860001,18.020000,18.020000,18.020000,311456
2020-01-03,18.400000,18.420000,18.120001,18.160000,18.160000,1098460
2020-01-06,18.400000,18.420000,18.219999,18.240000,18.240000,56500
2020-01-07,18.400000,19.500000,18.379999,19.340000,19.340000,1234250
2020-01-08,19.040001,19.660000,18.920000,19.440001,19.440001,792000
2020-01-09,19.340000,19.340000,18.620001,18.820000,18.820000,808316
2020-01-10,18.820000,19.139999,18.780001,18.980000,18.980000,573206
2020-01-13,18.740000,19.320000,18.740000,19.200001,19.200001,498564
2020-01-14,19.440001,19.440001,18.840000,19.020000,19.020000,469000
2020-01-15,19.000000,19.280001,18.959999,19.200001,19.200001,102023
2020-01-16,18.940001,19.200001,18.940001,19.040001,19.040001,66500
2020-01-17,18.820000,19.260000,18.480000,19.020000,19.020000,300000
2020-01-20,19.080000,19.440001,18.719999,18.900000,18.900000,357250
