Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,0.185000,0.185000,0.185000,0.185000,0.175727,0
2019-08-06,0.185000,0.185000,0.185000,0.185000,0.175727,0
2019-08-07,0.184000,0.184000,0.184000,0.184000,0.174777,0
2019-08-08,0.190000,0.190000,0.190000,0.190000,0.180477,0
2019-08-09,0.184000,0.190000,0.184000,0.188000,0.178577,106636
2019-08-12,0.180000,0.186000,0.180000,0.186000,0.176677,121916
2019-08-13,0.176000,0.185000,0.176000,0.180000,0.170978,60770
2019-08-14,0.181000,0.181000,0.181000,0.181000,0.171928,0
2019-08-15,0.181000,0.181000,0.181000,0.181000,0.171928,0
2019-08-16,0.176000,0.192000,0.176000,0.188000,0.178577,13304
2019-08-19,0.179000,0.195000,0.177000,0.195000,0.185226,65943
2019-08-20,0.183000,0.185000,0.183000,0.185000,0.175727,38251
2019-08-21,0.185000,0.185000,0.185000,0.185000,0.175727,0
2019-08-22,0.186000,0.186000,0.186000,0.186000,0.176677,0
2019-08-23,0.181000,0.181000,0.181000,0.181000,0.171928,5068
2019-08-26,0.180000,0.190000,0.180000,0.190000,0.180477,4000
2019-08-27,0.186000,0.192000,0.181000,0.175000,0.166229,290413
2019-08-28,0.191000,0.191000,0.175000,0.179000,0.170028,1635951
2019-08-29,0.182000,0.188000,0.176000,0.184000,0.174777,317191
2019-08-30,0.185000,0.188000,0.179000,0.182000,0.172878,375476
2019-09-02,0.181000,0.182000,0.180000,0.182000,0.172878,295821
2019-09-03,0.183000,0.183000,0.182000,0.182000,0.176763,415663
2019-09-04,0.181000,0.186000,0.181000,0.186000,0.180647,42000
2019-09-05,0.176000,0.190000,0.176000,0.183000,0.177734,276326
2019-09-06,0.180000,0.193000,0.180000,0.190000,0.184532,131791
2019-09-09,0.190000,0.194000,0.184000,0.188000,0.182590,534305
2019-09-10,0.184000,0.192000,0.183000,0.190000,0.184532,254649
2019-09-11,0.185000,0.193000,0.185000,0.193000,0.187446,5139
2019-09-12,0.194000,0.194000,0.185000,0.185000,0.179676,22104
2019-09-13,0.193000,0.193000,0.193000,0.187000,0.181619,2000
2019-09-16,0.179000,0.190000,0.179000,0.189000,0.183561,31258
2019-09-17,0.181000,0.185000,0.178000,0.185000,0.179676,807890
2019-09-18,0.186000,0.188000,0.186000,0.185000,0.179676,59247
