Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,0.214000,0.214000,0.214000,0.214000,0.214000,35400
2019-08-06,0.211000,0.211000,0.211000,0.211000,0.211000,0
2019-08-07,0.218000,0.218000,0.218000,0.218000,0.218000,0
2019-08-08,0.219000,0.219000,0.219000,0.219000,0.219000,0
2019-08-09,0.219000,0.219000,0.219000,0.219000,0.219000,0
2019-08-12,0.219000,0.219000,0.219000,0.219000,0.219000,0
2019-08-13,0.219000,0.219000,0.218000,0.218000,0.218000,156000
2019-08-14,0.219000,0.219000,0.218000,0.218000,0.218000,188640
2019-08-15,0.218000,0.218000,0.218000,0.218000,0.218000,0
2019-08-16,0.219000,0.219000,0.219000,0.219000,0.219000,0
2019-08-19,0.218000,0.218000,0.218000,0.218000,0.218000,24000
2019-08-20,0.219000,0.230000,0.219000,0.230000,0.230000,48000
2019-08-21,0.210000,0.211000,0.210000,0.210000,0.210000,65000
2019-08-22,0.210000,0.210000,0.210000,0.210000,0.210000,0
2019-08-23,0.210000,0.210000,0.210000,0.210000,0.210000,0
2019-08-26,0.210000,0.210000,0.210000,0.210000,0.210000,40000
2019-08-27,0.200000,0.200000,0.195000,0.195000,0.195000,40000
2019-08-28,0.193000,0.193000,0.193000,0.193000,0.193000,0
2019-08-29,0.189000,0.199000,0.189000,0.199000,0.199000,156800
2019-08-30,0.202000,0.202000,0.202000,0.199000,0.199000,25000
2019-09-02,0.200000,0.200000,0.200000,0.200000,0.200000,40000
2019-09-03,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-09-04,0.200000,0.200000,0.200000,0.200000,0.200000,120000
2019-09-05,0.200000,0.200000,0.200000,0.200000,0.200000,41293
2019-09-06,0.191000,0.191000,0.191000,0.191000,0.191000,0
2019-09-09,0.193000,0.193000,0.187000,0.190000,0.190000,219240
2019-09-10,0.190000,0.193000,0.190000,0.190000,0.190000,3776120
2019-09-11,0.190000,0.222000,0.180000,0.200000,0.200000,5222720
2019-09-12,0.210000,0.310000,0.205000,0.243000,0.243000,7896560
2019-09-13,0.241000,0.243000,0.230000,0.241000,0.241000,6203920
2019-09-16,0.250000,0.250000,0.232000,0.245000,0.245000,6275280
2019-09-17,0.244000,0.310000,0.244000,0.265000,0.265000,8789360
2019-09-18,0.285000,0.385000,0.265000,0.355000,0.355000,12510340
2019-09-19,0.355000,0.395000,0.325000,0.365000,0.365000,10168800
2019-09-20,0.370000,0.370000,0.340000,0.355000,0.355000,3897760
2019-09-23,0.355000,0.355000,0.300000,0.340000,0.340000,4075000
2019-09-24,0.310000,0.400000,0.310000,0.375000,0.375000,3683960
2019-09-25,0.370000,0.370000,0.320000,0.330000,0.330000,2200000
2019-09-26,0.340000,0.360000,0.325000,0.325000,0.325000,2125800
2019-09-27,0.315000,0.315000,0.280000,0.285000,0.285000,2774000
2019-09-30,0.280000,0.295000,0.260000,0.265000,0.265000,2335400
2019-10-02,0.255000,0.265000,0.255000,0.265000,0.265000,353000
2019-10-03,0.255000,0.285000,0.250000,0.275000,0.275000,4424000
2019-10-04,0.260000,0.260000,0.250000,0.255000,0.255000,152000
2019-10-08,0.255000,0.275000,0.255000,0.255000,0.255000,124040
2019-10-09,0.280000,0.280000,0.250000,0.270000,0.270000,1936000
2019-10-10,0.285000,0.285000,0.260000,0.280000,0.280000,1663040
2019-10-11,0.255000,0.290000,0.255000,0.260000,0.260000,1745920
2019-10-14,0.265000,0.305000,0.265000,0.300000,0.300000,2092000
2019-10-15,0.320000,0.320000,0.300000,0.305000,0.305000,2363440
2019-10-16,0.340000,0.345000,0.305000,0.315000,0.315000,743600
2019-10-17,0.305000,0.305000,0.305000,0.305000,0.305000,1618800
2019-10-18,0.305000,0.335000,0.300000,0.335000,0.335000,2373800
2019-10-21,0.310000,0.320000,0.290000,0.290000,0.290000,1960480
2019-10-22,0.285000,0.300000,0.275000,0.300000,0.300000,1810000
2019-10-23,0.280000,0.295000,0.265000,0.290000,0.290000,3401400
2019-10-24,0.290000,0.300000,0.270000,0.300000,0.300000,3327640
2019-10-25,0.290000,0.310000,0.285000,0.300000,0.300000,298000
2019-10-28,0.335000,0.335000,0.280000,0.305000,0.305000,344520
2019-10-29,0.285000,0.285000,0.265000,0.270000,0.270000,1321760
2019-10-30,0.270000,0.275000,0.270000,0.275000,0.275000,1248000
2019-10-31,0.280000,0.280000,0.280000,0.280000,0.280000,26600
2019-11-01,0.270000,0.280000,0.270000,0.270000,0.270000,32000
2019-11-04,0.260000,0.265000,0.260000,0.265000,0.265000,89400
