Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,2.420000,2.420000,2.200000,2.250000,2.250000,4628000
2019-08-06,2.170000,2.200000,2.120000,2.160000,2.160000,4216000
2019-08-07,2.130000,2.180000,2.120000,2.140000,2.140000,2172000
2019-08-08,2.180000,2.200000,2.160000,2.170000,2.170000,2572000
2019-08-09,2.200000,2.200000,2.150000,2.150000,2.150000,740000
2019-08-12,2.150000,2.150000,2.100000,2.130000,2.130000,2040000
2019-08-13,2.100000,2.110000,1.990000,2.010000,2.010000,4427878
2019-08-14,2.040000,2.040000,1.940000,1.970000,1.970000,3173700
2019-08-15,1.920000,2.000000,1.920000,1.990000,1.990000,1564173
2019-08-16,2.020000,2.100000,2.000000,2.060000,2.060000,2582000
2019-08-19,2.060000,2.110000,2.050000,2.060000,2.060000,1702000
2019-08-20,2.060000,2.090000,2.060000,2.070000,2.070000,767740
2019-08-21,2.060000,2.070000,2.040000,2.060000,2.060000,486000
2019-08-22,2.060000,2.060000,2.020000,2.030000,2.030000,1474000
2019-08-23,2.030000,2.050000,2.030000,2.050000,2.050000,286000
2019-08-26,2.020000,2.020000,1.930000,1.970000,1.970000,2198000
2019-08-27,1.980000,1.990000,1.930000,1.950000,1.950000,1904604
2019-08-28,1.980000,1.990000,1.910000,1.920000,1.920000,1134000
2019-08-29,1.940000,1.960000,1.910000,1.920000,1.920000,940000
2019-08-30,1.920000,1.940000,1.910000,1.920000,1.920000,699700
2019-09-02,1.910000,1.970000,1.900000,1.960000,1.960000,472000
2019-09-03,1.970000,1.970000,1.920000,1.930000,1.930000,246000
2019-09-04,1.950000,2.000000,1.950000,1.980000,1.980000,1490000
2019-09-05,1.980000,2.060000,1.970000,2.000000,2.000000,2342000
2019-09-06,2.000000,2.040000,1.980000,1.990000,1.990000,1300000
2019-09-09,2.020000,2.090000,2.020000,2.040000,2.040000,5030000
2019-09-10,2.060000,2.320000,2.060000,2.320000,2.320000,10594000
2019-09-11,2.360000,2.360000,2.250000,2.270000,2.270000,4062000
2019-09-12,2.280000,2.280000,2.210000,2.250000,2.250000,1748726
2019-09-13,2.260000,2.290000,2.230000,2.270000,2.270000,1724000
2019-09-16,2.270000,2.270000,2.200000,2.200000,2.200000,1448000
2019-09-17,2.220000,2.220000,2.140000,2.160000,2.160000,2494000
2019-09-18,2.160000,2.230000,2.150000,2.200000,2.200000,2238000
2019-09-19,2.190000,2.240000,2.190000,2.210000,2.210000,1694000
2019-09-20,2.200000,2.240000,2.150000,2.150000,2.150000,1713589
2019-09-23,2.160000,2.180000,2.130000,2.140000,2.140000,1048000
2019-09-24,2.160000,2.160000,2.120000,2.120000,2.120000,894000
2019-09-25,2.150000,2.120000,2.030000,2.060000,2.060000,2140000
2019-09-26,2.070000,2.070000,2.030000,2.050000,2.050000,804000
2019-09-27,2.050000,2.050000,2.030000,2.040000,2.040000,1564000
2019-09-30,2.030000,2.070000,1.990000,2.060000,2.060000,2660000
2019-10-02,2.020000,2.060000,2.020000,2.040000,2.040000,1056000
2019-10-03,2.020000,2.040000,2.010000,2.030000,2.030000,1678000
2019-10-04,2.030000,2.060000,2.010000,2.030000,2.030000,1762000
2019-10-08,2.050000,2.110000,2.020000,2.080000,2.080000,2222000
2019-10-09,2.060000,2.090000,2.040000,2.060000,2.060000,1136000
2019-10-10,2.060000,2.090000,2.040000,2.050000,2.050000,1186000
2019-10-11,2.040000,2.080000,2.040000,2.060000,2.060000,1308000
2019-10-14,2.050000,2.090000,2.050000,2.050000,2.050000,950000
2019-10-15,2.080000,2.060000,2.050000,2.050000,2.050000,1162000
2019-10-16,2.050000,2.070000,2.040000,2.040000,2.040000,1598000
2019-10-17,2.040000,2.060000,2.030000,2.040000,2.040000,1686000
2019-10-18,2.020000,2.030000,1.980000,2.000000,2.000000,2766000
2019-10-21,2.000000,2.000000,1.990000,2.000000,2.000000,1016000
