Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,0.090000,0.090000,0.071000,0.071000,0.071000,52000
2019-08-06,0.068000,0.074000,0.051000,0.074000,0.074000,2620000
2019-08-07,0.065000,0.065000,0.065000,0.065000,0.065000,0
2019-08-08,0.065000,0.065000,0.065000,0.065000,0.065000,0
2019-08-09,0.065000,0.065000,0.065000,0.065000,0.065000,18850
2019-08-12,0.066000,0.066000,0.066000,0.066000,0.066000,0
2019-08-13,0.065000,0.066000,0.065000,0.066000,0.066000,240000
2019-08-14,0.070000,0.073000,0.070000,0.073000,0.073000,478200
2019-08-15,0.073000,0.073000,0.073000,0.073000,0.073000,0
2019-08-16,0.071000,0.072000,0.071000,0.072000,0.072000,167000
2019-08-19,0.075000,0.076000,0.075000,0.077000,0.077000,390730
2019-08-20,0.077000,0.077000,0.077000,0.077000,0.077000,0
2019-08-21,0.077000,0.077000,0.077000,0.077000,0.077000,0
2019-08-22,0.077000,0.077000,0.077000,0.077000,0.077000,0
2019-08-23,0.077000,0.077000,0.077000,0.077000,0.077000,10000
2019-08-26,0.077000,0.077000,0.077000,0.077000,0.077000,0
2019-08-27,0.077000,0.077000,0.077000,0.077000,0.077000,0
2019-08-28,0.077000,0.077000,0.077000,0.077000,0.077000,0
2019-08-29,0.057000,0.060000,0.057000,0.059000,0.059000,200000
2019-08-30,0.060000,0.060000,0.060000,0.060000,0.060000,0
2019-09-02,0.062000,0.062000,0.062000,0.062000,0.062000,0
2019-09-03,0.064000,0.064000,0.064000,0.064000,0.064000,0
2019-09-04,0.066000,0.066000,0.066000,0.066000,0.066000,0
2019-09-05,0.067000,0.067000,0.067000,0.067000,0.067000,44500
2019-09-06,0.067000,0.067000,0.067000,0.067000,0.067000,0
2019-09-09,0.067000,0.067000,0.067000,0.067000,0.067000,0
2019-09-10,0.067000,0.067000,0.067000,0.067000,0.067000,0
2019-09-11,0.067000,0.067000,0.067000,0.067000,0.067000,21000
2019-09-12,0.067000,0.067000,0.067000,0.067000,0.067000,0
2019-09-13,0.067000,0.067000,0.067000,0.067000,0.067000,0
2019-09-16,0.063000,0.063000,0.063000,0.063000,0.063000,0
2019-09-17,0.060000,0.060000,0.060000,0.060000,0.060000,0
2019-09-18,0.081000,0.086000,0.081000,0.086000,0.086000,2210100
2019-09-19,0.110000,0.110000,0.073000,0.081000,0.081000,370680
2019-09-20,0.086000,0.095000,0.086000,0.088000,0.088000,890000
2019-09-23,0.090000,0.095000,0.080000,0.095000,0.095000,850000
2019-09-24,0.105000,0.140000,0.077000,0.134000,0.134000,5210000
2019-09-25,0.130000,0.180000,0.130000,0.160000,0.160000,8272850
2019-09-26,0.166000,0.210000,0.162000,0.206000,0.206000,6944500
2019-09-27,0.206000,0.232000,0.196000,0.198000,0.198000,4995350
2019-09-30,0.190000,0.255000,0.190000,0.218000,0.218000,7103500
2019-10-02,0.215000,0.218000,0.203000,0.203000,0.203000,2740700
2019-10-03,0.205000,0.205000,0.202000,0.202000,0.202000,1480250
2019-10-04,0.203000,0.218000,0.203000,0.218000,0.218000,353250
2019-10-08,0.212000,0.212000,0.200000,0.200000,0.200000,362000
2019-10-09,0.200000,0.200000,0.191000,0.191000,0.191000,160000
2019-10-10,0.190000,0.190000,0.190000,0.190000,0.190000,371000
2019-10-11,0.190000,0.196000,0.190000,0.190000,0.190000,1231000
2019-10-14,0.190000,0.190000,0.190000,0.190000,0.190000,60650
2019-10-15,0.199000,0.200000,0.181000,0.181000,0.181000,1350000
2019-10-16,0.183000,0.183000,0.183000,0.183000,0.183000,21250
2019-10-17,0.183000,0.183000,0.183000,0.183000,0.183000,0
2019-10-18,0.183000,0.183000,0.183000,0.183000,0.183000,0
2019-10-21,0.180000,0.180000,0.180000,0.177000,0.177000,20000
2019-10-22,0.151000,0.169000,0.148000,0.165000,0.165000,260500
2019-10-23,0.163000,0.163000,0.163000,0.163000,0.163000,0
2019-10-24,0.149000,0.149000,0.149000,0.149000,0.149000,210000
2019-10-25,0.148000,0.148000,0.138000,0.138000,0.138000,930000
2019-10-28,0.130000,0.130000,0.128000,0.128000,0.128000,370000
2019-10-29,0.120000,0.120000,0.110000,0.120000,0.120000,1020500
2019-10-30,0.125000,0.125000,0.125000,0.125000,0.125000,0
2019-10-31,0.125000,0.129000,0.125000,0.126000,0.126000,555000
2019-11-01,0.126000,0.126000,0.126000,0.126000,0.126000,0
2019-11-04,0.120000,0.121000,0.098000,0.098000,0.098000,2530150
2019-11-05,0.098000,0.098000,0.078000,0.088000,0.088000,4170000
2019-11-06,0.080000,0.084000,0.080000,0.080000,0.080000,1590000
2019-11-07,0.080000,0.080000,0.073000,0.079000,0.079000,1550000
2019-11-08,0.079000,0.085000,0.079000,0.079000,0.079000,440000
2019-11-11,0.079000,0.085000,0.079000,0.082000,0.082000,1390000
2019-11-12,0.082000,0.092000,0.081000,0.092000,0.092000,3200000
2019-11-13,0.092000,0.092000,0.088000,0.088000,0.088000,510000
2019-11-14,0.089000,0.089000,0.089000,0.089000,0.089000,190000
2019-11-15,0.089000,0.089000,0.089000,0.089000,0.089000,0
2019-11-18,0.089000,0.089000,0.089000,0.089000,0.089000,0
2019-11-19,0.089000,0.089000,0.089000,0.089000,0.089000,0
2019-11-20,0.089000,0.089000,0.089000,0.089000,0.089000,0
2019-11-21,0.089000,0.089000,0.089000,0.089000,0.089000,0
2019-11-22,0.089000,0.089000,0.089000,0.089000,0.089000,0
2019-11-25,0.089000,0.089000,0.089000,0.089000,0.089000,132800
2019-11-26,0.072000,0.088000,0.072000,0.080000,0.080000,431500
2019-11-27,0.082000,0.082000,0.082000,0.082000,0.082000,0
2019-11-28,0.084000,0.098000,0.084000,0.098000,0.098000,730000
