Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,0.335000,0.335000,0.335000,0.335000,0.335000,0
2019-08-06,0.325000,0.325000,0.325000,0.325000,0.325000,0
2019-08-07,0.280000,0.355000,0.280000,0.345000,0.345000,178000
2019-08-08,0.295000,0.360000,0.290000,0.290000,0.290000,55248
2019-08-09,0.300000,0.300000,0.260000,0.265000,0.265000,934060
2019-08-12,0.295000,0.295000,0.295000,0.295000,0.295000,0
2019-08-13,0.295000,0.295000,0.295000,0.295000,0.295000,0
2019-08-14,0.285000,0.285000,0.285000,0.285000,0.285000,22000
2019-08-15,0.325000,0.325000,0.270000,0.300000,0.300000,35050
2019-08-16,0.275000,0.275000,0.260000,0.260000,0.260000,308000
2019-08-19,0.260000,0.260000,0.260000,0.260000,0.260000,0
2019-08-20,0.275000,0.295000,0.275000,0.295000,0.295000,34000
2019-08-21,0.295000,0.295000,0.295000,0.295000,0.295000,0
2019-08-22,0.275000,0.290000,0.275000,0.290000,0.290000,6080
2019-08-23,0.280000,0.280000,0.260000,0.270000,0.270000,132000
2019-08-26,0.270000,0.270000,0.270000,0.270000,0.270000,0
2019-08-27,0.270000,0.270000,0.270000,0.270000,0.270000,0
2019-08-28,0.270000,0.270000,0.270000,0.270000,0.270000,0
2019-08-29,0.265000,0.290000,0.265000,0.285000,0.285000,124000
2019-08-30,0.260000,0.280000,0.260000,0.270000,0.270000,60866
2019-09-02,0.260000,0.340000,0.255000,0.260000,0.260000,211320
2019-09-03,0.290000,0.290000,0.250000,0.265000,0.265000,97110
2019-09-04,0.260000,0.260000,0.260000,0.260000,0.260000,0
2019-09-05,0.265000,0.265000,0.260000,0.260000,0.260000,32000
2019-09-06,0.260000,0.260000,0.260000,0.260000,0.260000,8040
2019-09-09,0.250000,0.250000,0.250000,0.250000,0.250000,0
2019-09-10,0.250000,0.250000,0.250000,0.250000,0.250000,0
2019-09-11,0.240000,0.250000,0.240000,0.250000,0.250000,24200
2019-09-12,0.240000,0.260000,0.240000,0.260000,0.260000,92720
2019-09-13,0.260000,0.260000,0.260000,0.260000,0.260000,0
2019-09-16,0.260000,0.280000,0.260000,0.280000,0.280000,47048
2019-09-17,0.275000,0.275000,0.275000,0.275000,0.275000,0
2019-09-18,0.275000,0.275000,0.275000,0.275000,0.275000,0
2019-09-19,0.250000,0.250000,0.250000,0.250000,0.250000,38362
2019-09-20,0.250000,0.255000,0.250000,0.250000,0.250000,41748
2019-09-23,0.275000,0.275000,0.235000,0.240000,0.240000,48000
2019-09-24,0.240000,0.240000,0.240000,0.240000,0.240000,6690
2019-09-25,0.240000,0.250000,0.240000,0.240000,0.240000,26000
2019-09-26,0.260000,0.260000,0.260000,0.260000,0.260000,0
2019-09-27,0.250000,0.250000,0.250000,0.250000,0.250000,0
2019-09-30,0.250000,0.250000,0.250000,0.250000,0.250000,0
2019-10-02,0.250000,0.250000,0.250000,0.250000,0.250000,0
2019-10-03,0.250000,0.250000,0.250000,0.250000,0.250000,0
2019-10-04,0.235000,0.235000,0.230000,0.230000,0.230000,86000
2019-10-08,0.230000,0.230000,0.230000,0.230000,0.230000,0
