Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,5.200000,5.300000,5.070000,5.140000,4.867542,11896000
2019-08-06,4.900000,5.160000,4.900000,5.110000,4.839133,7241000
2019-08-07,5.110000,5.280000,5.050000,5.090000,4.820193,13426000
2019-08-08,5.090000,5.300000,5.090000,5.280000,5.000122,9874000
2019-08-09,5.350000,5.410000,5.110000,5.150000,4.877012,16068000
2019-08-12,5.150000,5.240000,5.100000,5.140000,4.867542,3189000
2019-08-13,5.130000,5.180000,5.000000,5.040000,4.772843,5750500
2019-08-14,5.190000,5.270000,5.030000,5.060000,4.791783,7468130
2019-08-15,5.000000,5.110000,4.950000,5.070000,4.801253,5044500
2019-08-16,5.070000,5.380000,4.930000,5.360000,5.075881,9759500
2019-08-19,5.430000,5.450000,5.210000,5.450000,5.161110,8678500
2019-08-20,5.400000,5.780000,5.330000,5.750000,5.445208,15178500
2019-08-21,5.680000,5.990000,5.330000,5.520000,5.227400,32791299
2019-08-22,5.460000,5.460000,4.570000,4.840000,4.583445,57345313
2019-08-23,4.770000,5.000000,4.720000,4.810000,4.555035,20838998
2019-08-26,4.620000,4.780000,4.580000,4.660000,4.412986,12213038
2019-08-27,4.680000,4.720000,4.570000,4.620000,4.375106,11656478
2019-08-28,4.630000,4.690000,4.440000,4.450000,4.214118,14219282
2019-08-29,4.530000,4.570000,4.410000,4.500000,4.261467,10780676
2019-08-30,4.560000,4.560000,4.430000,4.480000,4.242527,10494700
2019-09-02,4.520000,4.500000,4.350000,4.390000,4.157298,11041000
2019-09-03,4.260000,4.410000,4.160000,4.190000,4.084192,9994000
2019-09-04,4.250000,4.320000,4.200000,4.310000,4.201161,7093002
2019-09-05,4.350000,4.530000,4.300000,4.440000,4.327879,9287500
2019-09-06,4.440000,4.510000,4.380000,4.380000,4.269394,4934500
2019-09-09,4.420000,4.450000,4.270000,4.370000,4.259646,5224500
2019-09-10,4.370000,4.400000,4.220000,4.290000,4.181667,6331465
2019-09-11,4.340000,4.340000,4.180000,4.210000,4.103687,6975500
2019-09-12,4.210000,4.410000,4.210000,4.360000,4.249899,6501665
2019-09-13,4.360000,4.490000,4.290000,4.430000,4.318131,4217052
2019-09-16,4.430000,4.460000,4.370000,4.400000,4.288889,2551500
2019-09-17,4.380000,4.380000,4.260000,4.280000,4.171919,3212000
2019-09-18,4.340000,4.470000,4.340000,4.440000,4.327879,8785915
2019-09-19,4.440000,4.790000,4.420000,4.680000,4.561818,18687000
2019-09-20,4.710000,4.730000,4.550000,4.630000,4.513081,10423500
2019-09-23,4.580000,4.670000,4.520000,4.550000,4.435101,5479000
2019-09-24,4.590000,4.590000,4.480000,4.500000,4.386364,5965000
2019-09-25,4.520000,4.520000,4.320000,4.350000,4.240151,4684000
2019-09-26,4.420000,4.420000,4.210000,4.260000,4.152424,10607000
2019-09-27,4.270000,4.330000,4.180000,4.280000,4.171919,5341500
2019-09-30,4.330000,4.330000,4.200000,4.240000,4.132929,3984700
2019-10-02,4.240000,4.300000,4.210000,4.300000,4.191414,2966000
2019-10-03,4.330000,4.510000,4.300000,4.470000,4.357121,7686000
2019-10-04,4.540000,4.560000,4.320000,4.430000,4.318131,5437108
2019-10-08,4.490000,4.590000,4.400000,4.410000,4.298636,6599500
2019-10-09,4.410000,4.520000,4.350000,4.380000,4.269394,6426000
2019-10-10,4.400000,4.470000,4.350000,4.420000,4.308384,10886647
2019-10-11,4.490000,4.520000,4.390000,4.390000,4.279141,6751000
