Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,5.940000,6.030000,5.870000,5.900000,5.631119,17317931
2019-08-06,5.850000,5.880000,5.680000,5.700000,5.440233,22369103
2019-08-07,5.700000,5.770000,5.620000,5.650000,5.392512,12879070
2019-08-08,5.640000,5.730000,5.640000,5.670000,5.411601,15882973
2019-08-09,5.660000,5.720000,5.660000,5.710000,5.449778,11127700
2019-08-12,5.700000,5.720000,5.650000,5.650000,5.392512,5653525
2019-08-13,5.620000,5.650000,5.530000,5.590000,5.335247,10825678
2019-08-14,5.680000,5.700000,5.550000,5.560000,5.306614,7102635
2019-08-15,5.640000,5.640000,5.510000,5.580000,5.325702,7258646
2019-08-16,5.500000,5.540000,5.470000,5.500000,5.249348,18203100
2019-08-19,5.550000,5.640000,5.500000,5.580000,5.325702,10256800
2019-08-20,5.570000,5.660000,5.470000,5.610000,5.354335,18841800
2019-08-21,5.610000,5.680000,5.600000,5.650000,5.392512,11650626
2019-08-22,5.610000,5.700000,5.600000,5.650000,5.392512,9234350
2019-08-23,5.620000,5.690000,5.600000,5.620000,5.363879,7545000
2019-08-26,5.440000,5.530000,5.160000,5.250000,5.010741,63550750
2019-08-27,5.290000,5.330000,5.190000,5.280000,5.039374,41495875
2019-08-28,5.330000,5.370000,5.290000,5.300000,5.058463,14312650
2019-08-29,5.320000,5.340000,5.220000,5.290000,5.048919,15902148
2019-08-30,5.370000,5.480000,5.350000,5.390000,5.144361,32520099
2019-09-02,5.450000,5.450000,5.360000,5.420000,5.172994,12160350
2019-09-03,5.420000,5.420000,5.270000,5.290000,5.048919,11432050
2019-09-04,5.290000,5.430000,5.250000,5.380000,5.134817,18711569
2019-09-05,5.400000,5.540000,5.380000,5.460000,5.211171,21072500
2019-09-06,5.530000,5.620000,5.510000,5.590000,5.335247,21398682
2019-09-09,5.580000,5.620000,5.550000,5.570000,5.316158,7014543
2019-09-10,5.560000,5.650000,5.540000,5.590000,5.335247,10113349
2019-09-11,5.640000,5.690000,5.610000,5.670000,5.411601,9544726
2019-09-12,5.710000,5.830000,5.700000,5.730000,5.468866,12663438
2019-09-13,5.770000,5.840000,5.740000,5.810000,5.545220,8353272
2019-09-16,5.760000,5.820000,5.730000,5.810000,5.545220,12166486
2019-09-17,5.820000,5.820000,5.710000,5.750000,5.487955,18842622
2019-09-18,5.770000,5.770000,5.710000,5.730000,5.468866,3428297
2019-09-19,5.720000,5.770000,5.600000,5.650000,5.392512,10019502
2019-09-20,5.730000,5.840000,5.650000,5.840000,5.573853,32169415
2019-09-23,5.840000,5.850000,5.570000,5.640000,5.382968,14859093
2019-09-24,5.690000,5.690000,5.520000,5.590000,5.335247,8761522
2019-09-25,5.570000,5.570000,5.420000,5.500000,5.249348,23747953
2019-09-26,5.500000,5.580000,5.460000,5.500000,5.249348,9674307
2019-09-27,5.600000,5.600000,5.470000,5.500000,5.249348,9038418
2019-09-30,5.390000,5.480000,5.370000,5.470000,5.220715,7832200
2019-10-02,5.400000,5.500000,5.400000,5.440000,5.192082,4984900
2019-10-03,5.420000,5.460000,5.320000,5.440000,5.192082,5637198
2019-10-04,5.490000,5.490000,5.280000,5.320000,5.077551,7906000
2019-10-08,5.310000,5.360000,5.260000,5.270000,5.029830,12497094
2019-10-09,5.240000,5.320000,5.240000,5.280000,5.039374,6496514
2019-10-10,5.320000,5.370000,5.260000,5.300000,5.058463,3587200
2019-10-11,5.360000,5.450000,5.360000,5.440000,5.192082,6150310
2019-10-14,5.450000,5.520000,5.420000,5.420000,5.172994,5925691
2019-10-15,5.420000,5.450000,5.330000,5.330000,5.087096,7612262
2019-10-16,5.300000,5.400000,5.290000,5.310000,5.068007,8846600
2019-10-17,5.340000,5.370000,5.310000,5.360000,5.115728,5658400
2019-10-18,5.330000,5.460000,5.330000,5.360000,5.115728,5611919
2019-10-21,5.360000,5.360000,5.300000,5.340000,5.096640,9165550
2019-10-22,5.380000,5.400000,5.320000,5.350000,5.106184,5805630
2019-10-23,5.360000,5.380000,5.290000,5.320000,5.077551,5390300
2019-10-24,5.360000,5.430000,5.330000,5.430000,5.182538,9593764
2019-10-25,5.380000,5.430000,5.310000,5.360000,5.115728,7222000
2019-10-28,5.420000,5.480000,5.370000,5.390000,5.144361,15410900
2019-10-29,5.400000,5.460000,5.360000,5.370000,5.125273,8168184
