Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,6.880000,6.880000,6.460000,6.550000,6.013721,13962741
2019-08-06,6.300000,6.430000,6.190000,6.340000,5.820914,14957232
2019-08-07,6.340000,6.470000,6.220000,6.270000,5.756645,12434146
2019-08-08,6.320000,6.350000,6.150000,6.300000,5.784189,9662618
2019-08-09,6.380000,6.430000,6.200000,6.220000,5.710739,6530582
2019-08-12,6.200000,6.280000,6.120000,6.160000,5.655651,7803594
2019-08-13,6.160000,6.160000,5.920000,5.980000,5.490389,10206484
2019-08-14,6.120000,6.130000,6.020000,6.020000,5.527114,7355354
2019-08-15,5.980000,6.200000,5.880000,6.150000,5.646471,8143130
2019-08-16,6.200000,6.200000,6.050000,6.070000,5.573020,10355718
2019-08-19,6.090000,6.640000,6.090000,6.450000,5.921907,16997064
2019-08-20,6.590000,6.590000,6.320000,6.360000,5.839277,8920182
2019-08-21,6.350000,6.560000,6.250000,6.510000,5.976995,10463394
2019-08-22,6.510000,6.570000,6.330000,6.380000,5.857639,6243158
2019-08-23,6.410000,6.410000,6.220000,6.240000,5.729101,7733600
2019-08-26,5.940000,6.250000,5.910000,6.200000,5.692376,15015878
2019-08-27,6.340000,6.410000,6.230000,6.300000,5.784189,10098884
2019-08-28,6.310000,6.410000,6.190000,6.350000,5.830095,10686415
2019-08-29,6.800000,6.800000,6.550000,6.590000,6.050445,21361658
2019-08-30,6.700000,6.950000,6.680000,6.830000,6.270795,20817862
2019-09-02,6.830000,7.200000,6.810000,6.940000,6.371789,20895934
2019-09-03,6.990000,7.070000,6.860000,6.880000,6.316702,7014288
2019-09-04,6.970000,7.100000,6.900000,7.080000,6.500327,11677574
2019-09-05,7.040000,7.250000,6.990000,7.160000,6.573777,11975918
2019-09-06,7.260000,7.260000,7.140000,7.180000,6.592139,8482385
2019-09-09,7.200000,7.240000,7.050000,7.100000,6.518689,7816546
2019-09-10,7.170000,7.250000,7.060000,7.170000,6.582958,7324524
2019-09-11,7.240000,7.330000,7.190000,7.310000,6.711495,8588011
2019-09-12,7.030000,7.140000,6.930000,7.030000,6.783042,8626926
2019-09-13,7.030000,7.230000,6.900000,7.200000,6.947070,6991236
2019-09-16,7.180000,7.210000,7.040000,7.150000,6.898827,10946683
2019-09-17,7.180000,7.180000,6.890000,6.980000,6.734798,6854304
2019-09-18,7.030000,7.060000,6.900000,7.010000,6.763745,5389331
2019-09-19,7.040000,7.040000,6.850000,6.940000,6.696204,3139900
2019-09-20,6.920000,7.010000,6.700000,6.790000,6.551473,11940988
2019-09-23,6.810000,6.830000,6.590000,6.690000,6.454986,8073631
2019-09-24,6.670000,6.790000,6.620000,6.760000,6.522527,10877098
2019-09-25,6.620000,6.860000,6.620000,6.770000,6.532176,5922084
2019-09-26,6.710000,6.850000,6.710000,6.800000,6.561121,5149500
2019-09-27,6.750000,6.800000,6.620000,6.740000,6.503229,2762620
2019-09-30,6.750000,6.900000,6.710000,6.870000,6.628663,5189819
2019-10-02,6.880000,6.990000,6.800000,6.960000,6.715501,5705721
2019-10-03,6.880000,6.910000,6.770000,6.910000,6.667257,3653500
2019-10-04,6.980000,7.330000,6.970000,7.240000,6.985664,19029933
2019-10-08,7.210000,7.310000,7.140000,7.160000,6.908475,7357474
2019-10-09,7.120000,7.320000,7.120000,7.230000,6.976016,6541312
2019-10-10,7.200000,7.280000,7.150000,7.220000,6.966367,5947662
2019-10-11,7.280000,7.500000,7.260000,7.420000,7.159341,13311198
2019-10-14,7.500000,7.500000,7.360000,7.420000,7.159341,4698118
2019-10-15,7.420000,7.470000,7.380000,7.430000,7.168990,2626848
2019-10-16,7.490000,7.750000,7.450000,7.680000,7.410208,14651821
2019-10-17,7.770000,7.770000,7.530000,7.590000,7.323370,5090974
2019-10-18,7.660000,7.750000,7.560000,7.610000,7.342667,6972073
2019-10-21,7.610000,7.680000,7.530000,7.580000,7.313721,4985710
2019-10-22,7.630000,7.670000,7.490000,7.580000,7.313721,8768000
2019-10-23,7.620000,7.770000,7.560000,7.630000,7.361964,7644489
2019-10-24,7.730000,7.760000,7.600000,7.740000,7.468100,4845322
2019-10-25,7.760000,7.930000,7.730000,7.870000,7.593533,9237000
2019-10-28,7.960000,7.990000,7.870000,7.910000,7.632128,4710768
2019-10-29,7.980000,7.980000,7.680000,7.830000,7.554938,8200681
2019-10-30,7.920000,7.920000,7.750000,7.840000,7.564587,4610500
2019-10-31,7.880000,7.920000,7.750000,7.920000,7.641777,4194470
2019-11-01,7.810000,8.060000,7.790000,8.050000,7.767210,9097559
2019-11-04,8.250000,8.350000,8.210000,8.280000,7.989130,16718317
2019-11-05,8.350000,8.380000,8.220000,8.300000,8.008428,9451847
2019-11-06,8.350000,8.560000,8.300000,8.500000,8.201402,11917032
2019-11-07,8.500000,8.550000,8.430000,8.550000,8.249645,6569294
2019-11-08,8.570000,8.640000,8.450000,8.480000,8.182104,6356000
2019-11-11,8.480000,8.480000,8.150000,8.300000,8.008428,10519844
2019-11-12,8.280000,8.520000,8.270000,8.450000,8.153158,7431500
2019-11-13,8.400000,8.400000,8.130000,8.210000,7.921589,7767000
2019-11-14,8.200000,8.290000,8.120000,8.220000,7.931238,5819240
2019-11-15,8.250000,8.290000,8.120000,8.140000,7.854049,6205521
2019-11-18,8.140000,8.510000,8.130000,8.410000,8.114563,5907688
2019-11-19,8.370000,8.690000,8.370000,8.650000,8.346132,9598694
2019-11-20,8.650000,8.700000,8.510000,8.630000,8.326836,7494253
2019-11-21,8.510000,8.530000,8.360000,8.430000,8.133862,5526500
2019-11-22,8.450000,8.500000,8.320000,8.480000,8.182104,6212507
2019-11-25,8.510000,8.710000,8.470000,8.660000,8.355781,9407761
2019-11-26,8.690000,8.730000,8.600000,8.660000,8.355781,8190418
2019-11-27,8.750000,8.750000,8.620000,8.690000,8.384727,2737298
2019-11-28,8.590000,8.760000,8.550000,8.740000,8.432971,3882535
2019-11-29,8.760000,8.760000,8.420000,8.600000,8.297890,5647876
2019-12-02,8.640000,8.870000,8.620000,8.700000,8.394376,6719374
2019-12-03,8.610000,8.820000,8.600000,8.800000,8.490863,7952153
2019-12-04,8.850000,9.230000,8.770000,9.140000,8.818919,24990805
2019-12-05,9.200000,9.610000,9.110000,9.500000,9.166273,21008882
2019-12-06,9.500000,9.730000,9.380000,9.630000,9.291706,11764330
2019-12-09,9.690000,9.980000,9.600000,9.910000,9.561870,14980889
2019-12-10,9.910000,10.300000,9.860000,10.060000,9.706601,19504988
2019-12-11,10.000000,10.520000,9.980000,10.440000,10.073251,30939775
2019-12-12,10.480000,10.620000,10.140000,10.220000,9.860980,8722229
2019-12-13,10.360000,10.420000,10.200000,10.280000,9.918872,19300402
2019-12-16,10.300000,10.600000,10.180000,10.520000,10.150441,9063411
2019-12-17,10.460000,10.600000,10.420000,10.540000,10.169739,9790555
2019-12-18,10.540000,10.700000,10.400000,10.700000,10.324118,8316618
2019-12-19,10.640000,10.640000,10.320000,10.580000,10.208333,6861881
2019-12-20,10.580000,10.860000,10.500000,10.780000,10.401307,7434601
2019-12-23,10.860000,10.860000,10.540000,10.780000,10.401307,4633057
2019-12-24,10.760000,10.840000,10.580000,10.620000,10.246928,2662618
2019-12-27,10.680000,10.880000,10.620000,10.840000,10.459200,3031309
2019-12-30,10.840000,10.920000,10.720000,10.860000,10.478497,3662099
2019-12-31,10.920000,10.960000,10.820000,10.920000,10.536389,1304114
2020-01-02,10.900000,11.100000,10.800000,11.000000,10.613579,6017554
2020-01-03,11.100000,11.200000,10.800000,10.980000,10.594281,6555124
2020-01-06,10.800000,10.800000,10.540000,10.620000,10.246928,9283236
2020-01-07,10.820000,11.080000,10.740000,10.780000,10.401307,9011780
2020-01-08,10.720000,10.860000,10.580000,10.640000,10.266226,7778800
2020-01-09,10.760000,11.060000,10.740000,11.000000,10.613579,10411922
2020-01-10,10.940000,11.200000,10.780000,10.980000,10.594281,12303862
2020-01-13,11.000000,11.640000,10.980000,11.380000,10.980230,14714371
2020-01-14,11.540000,11.580000,11.340000,11.500000,11.096014,6307238
2020-01-15,11.500000,11.500000,11.200000,11.260000,10.864446,7339648
2020-01-16,11.340000,12.000000,11.180000,11.940000,11.520557,13078990
2020-01-17,12.100000,12.100000,11.620000,11.760000,11.346881,8434114
2020-01-20,11.800000,11.900000,11.500000,11.500000,11.096014,6439766
2020-01-21,11.500000,11.520000,10.860000,10.960000,10.574985,11990262
2020-01-22,10.940000,11.420000,10.900000,11.320000,10.922338,4619558
2020-01-23,11.220000,11.220000,10.500000,10.800000,10.420605,9898880
2020-01-24,10.600000,10.800000,10.520000,10.780000,10.401307,2975566
2020-01-29,10.100000,10.460000,10.100000,10.380000,10.015359,11398361
2020-01-30,10.380000,10.660000,9.960000,10.040000,9.687303,12127616
2020-01-31,10.100000,10.280000,9.950000,10.180000,9.822385,6287875
2020-02-03,9.920000,10.280000,9.450000,10.180000,9.822385,10363760
2020-02-04,10.300000,10.580000,10.180000,10.360000,9.996061,6631947
2020-02-05,10.600000,10.600000,10.020000,10.160000,9.803087,10534503
2020-02-06,10.280000,10.640000,10.200000,10.460000,10.092548,7355338
2020-02-07,10.380000,10.480000,10.200000,10.420000,10.053954,6156053
2020-02-10,10.160000,10.520000,10.160000,10.480000,10.111846,4769893
2020-02-11,10.580000,10.940000,10.440000,10.880000,10.497794,16286885
2020-02-12,10.980000,11.180000,10.920000,11.000000,10.613579,9753268
2020-02-13,10.900000,11.420000,10.900000,11.320000,10.922338,9990019
2020-02-14,11.280000,11.840000,11.280000,11.700000,11.288988,14912559
2020-02-17,11.660000,11.760000,11.520000,11.620000,11.211799,4759118
2020-02-18,11.460000,11.620000,11.340000,11.420000,11.018825,5388992
2020-02-19,11.380000,11.680000,11.320000,11.540000,11.134609,3479989
2020-02-20,11.580000,11.620000,11.200000,11.280000,10.883742,5654635
2020-02-21,11.280000,11.380000,11.160000,11.300000,10.903040,2988198
2020-02-24,11.240000,11.280000,10.840000,11.000000,10.613579,5797679
2020-02-25,10.880000,11.200000,10.780000,11.020000,10.632876,4235042
2020-02-26,10.900000,11.460000,10.800000,11.280000,10.883742,9452346
2020-02-27,11.400000,11.600000,11.300000,11.480000,11.076716,5567727
2020-02-28,11.280000,11.500000,11.200000,11.420000,11.018825,10619107
2020-03-02,11.260000,11.860000,11.260000,11.720000,11.308286,8573038
2020-03-03,11.820000,11.900000,11.500000,11.540000,11.134609,7948884
2020-03-04,11.560000,11.960000,11.500000,11.820000,11.404773,8379009
2020-03-05,12.000000,12.100000,11.740000,11.900000,11.481962,5839202
2020-03-06,11.680000,11.900000,11.540000,11.780000,11.366178,4034408
2020-03-09,11.780000,11.780000,11.780000,11.780000,11.366178,0
2020-03-10,10.960000,10.960000,10.960000,10.960000,10.574985,0
2020-03-11,11.100000,11.320000,10.860000,11.000000,10.613579,4184659
2020-03-12,10.860000,11.000000,10.560000,10.640000,10.266226,13618051
2020-03-13,9.810000,10.580000,9.810000,10.480000,10.111846,13903543
2020-03-16,10.440000,10.640000,9.950000,10.000000,9.648708,14080924
2020-03-17,9.990000,10.120000,9.320000,9.640000,9.301355,13278761
2020-03-18,9.390000,9.890000,8.940000,9.090000,8.770676,19500309
2020-03-19,8.880000,8.950000,8.110000,8.620000,8.317186,28684691
2020-03-20,8.680000,9.360000,8.680000,9.080000,8.761027,15370141
2020-03-23,8.350000,8.790000,8.350000,8.710000,8.404025,8660439
2020-03-24,8.770000,9.100000,8.630000,8.950000,8.635593,17013418
2020-03-25,9.300000,9.800000,9.180000,9.570000,9.233813,21743748
2020-03-26,10.000000,10.640000,9.850000,10.400000,10.034657,27608809
2020-03-27,10.680000,11.360000,10.680000,10.960000,10.574985,20781508
2020-03-30,10.740000,11.200000,10.620000,10.640000,10.266226,10122782
2020-03-31,10.900000,11.160000,10.720000,11.020000,10.632876,11145007
2020-04-01,11.000000,11.460000,10.780000,10.900000,10.517092,10477096
2020-04-02,10.900000,11.260000,10.680000,11.120000,10.729363,10189423
2020-04-03,11.020000,11.660000,11.020000,11.260000,10.864446,6418252
2020-04-06,11.460000,11.480000,11.080000,11.300000,10.903040,5926985
2020-04-07,11.580000,11.760000,11.300000,11.380000,10.980230,7507559
2020-04-08,11.180000,11.540000,11.180000,11.420000,11.018825,9201214
2020-04-09,11.560000,11.560000,11.380000,11.540000,11.134609,4250017
2020-04-14,11.700000,12.120000,11.560000,11.860000,11.443368,10411030
2020-04-15,11.860000,11.940000,11.240000,11.340000,10.941635,11085978
2020-04-16,11.300000,11.680000,11.200000,11.480000,11.076716,6400889
2020-04-17,11.700000,11.840000,11.300000,11.340000,10.941635,8942304
2020-04-20,11.360000,11.500000,11.120000,11.220000,10.825850,6039336
2020-04-21,11.220000,11.260000,10.900000,11.040000,10.652174,7997959
2020-04-22,10.960000,11.300000,10.900000,11.220000,10.825850,7073116
2020-04-23,11.280000,11.520000,11.140000,11.320000,10.922338,5473059
2020-04-24,11.220000,11.280000,10.960000,10.960000,10.574985,5259758
2020-04-27,11.120000,11.400000,10.940000,11.240000,10.845148,6647299
2020-04-28,11.300000,11.400000,11.160000,11.300000,10.903040,3475183
2020-04-29,11.400000,11.500000,11.260000,11.420000,11.018825,3433294
2020-05-04,11.100000,11.240000,10.780000,11.060000,10.671472,8779600
2020-05-05,11.200000,11.200000,10.880000,10.920000,10.536389,7016709
2020-05-06,11.000000,11.200000,10.940000,11.020000,10.632876,3148118
2020-05-07,11.020000,11.280000,10.980000,11.200000,10.806553,3299500
2020-05-08,11.400000,11.760000,11.300000,11.600000,11.192502,8369021
2020-05-11,11.780000,11.880000,11.620000,11.700000,11.288988,3274359
2020-05-12,11.780000,11.800000,11.320000,11.580000,11.173203,4528867
2020-05-13,11.580000,11.800000,11.380000,11.640000,11.231096,3742398
2020-05-14,11.700000,11.780000,11.520000,11.680000,11.269691,6282264
2020-05-15,11.760000,11.800000,11.600000,11.700000,11.288988,5482200
2020-05-18,11.560000,12.760000,11.560000,12.140000,11.713531,20547521
2020-05-19,12.500000,12.540000,11.900000,12.000000,11.578449,7872731
2020-05-20,12.060000,12.300000,11.820000,12.060000,11.636342,5921865
2020-05-21,12.100000,12.380000,11.960000,12.080000,11.655640,9039186
2020-05-22,11.700000,11.780000,11.300000,11.380000,10.980230,9681682
2020-05-25,11.080000,11.560000,11.040000,11.560000,11.153907,11937113
2020-05-26,11.740000,11.740000,11.280000,11.360000,10.960932,6546236
2020-05-27,11.300000,11.320000,10.920000,11.040000,10.652174,8373937
2020-05-28,10.920000,11.200000,10.800000,11.000000,10.613579,6119150
2020-05-29,10.860000,10.940000,10.760000,10.820000,10.439902,8646398
2020-06-01,11.280000,11.940000,11.200000,11.600000,11.192502,18792725
