Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,5.990000,6.070000,5.710000,5.730000,5.364300,6277000
2019-08-06,5.500000,5.580000,5.320000,5.510000,5.158341,10606000
2019-08-07,5.550000,5.780000,5.550000,5.710000,5.345577,6399256
2019-08-08,5.700000,5.930000,5.700000,5.880000,5.504727,5062984
2019-08-09,5.920000,6.000000,5.740000,5.860000,5.486003,5413049
2019-08-12,5.800000,5.990000,5.800000,5.880000,5.504727,4159000
2019-08-13,5.840000,5.840000,5.650000,5.680000,5.317491,6786500
2019-08-14,5.750000,5.870000,5.740000,5.800000,5.429833,4967945
2019-08-15,5.660000,5.790000,5.520000,5.770000,5.401747,3829794
2019-08-16,5.700000,5.880000,5.680000,5.830000,5.457918,3923000
2019-08-19,5.830000,6.070000,5.830000,6.020000,5.635792,4637224
2019-08-20,6.000000,6.180000,5.970000,6.050000,5.663877,4735500
2019-08-21,5.990000,6.040000,5.910000,6.000000,5.617068,3877121
2019-08-22,6.000000,6.130000,5.850000,5.910000,5.532812,4570000
2019-08-23,5.910000,6.180000,5.760000,6.140000,5.748133,7896794
2019-08-26,5.930000,5.930000,5.770000,5.850000,5.476641,7111200
2019-08-27,5.900000,6.000000,5.820000,5.920000,5.542174,7241311
2019-08-28,6.020000,6.020000,5.830000,5.850000,5.476641,3887642
2019-08-29,5.880000,5.880000,5.750000,5.790000,5.420471,6895500
2019-08-30,5.810000,6.300000,5.810000,6.190000,5.794942,11785342
2019-09-02,6.090000,6.290000,6.060000,6.240000,5.841751,4173200
2019-09-03,6.210000,6.280000,6.120000,6.170000,5.776218,2660500
2019-09-04,6.200000,6.350000,6.120000,6.280000,5.879199,6669726
2019-09-05,6.260000,6.690000,6.160000,6.660000,6.234946,8580500
2019-09-06,6.660000,7.040000,6.660000,6.990000,6.543884,11101613
2019-09-09,7.000000,7.120000,6.840000,6.980000,6.534523,7993892
2019-09-10,6.940000,6.940000,6.820000,6.910000,6.468990,4483849
2019-09-11,7.150000,7.150000,6.840000,6.970000,6.525161,3872500
2019-09-12,6.930000,7.270000,6.930000,7.180000,6.721758,5700598
2019-09-13,7.180000,7.570000,7.130000,7.510000,7.030697,11360000
2019-09-16,7.370000,7.520000,7.300000,7.400000,6.927718,6883147
2019-09-17,7.430000,7.430000,7.190000,7.270000,6.806015,21591882
2019-09-18,7.310000,7.310000,7.020000,7.200000,6.740482,4868000
2019-09-19,7.200000,7.360000,7.080000,7.300000,6.834100,4801823
