Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,2.000000,2.010000,1.980000,1.980000,1.666925,475453
2019-08-06,2.000000,2.000000,1.900000,1.950000,1.641668,617000
2019-08-07,1.980000,2.050000,1.950000,2.040000,1.717438,147000
2019-08-08,2.080000,2.110000,1.990000,2.070000,1.742694,547000
2019-08-09,2.090000,2.090000,2.020000,2.080000,1.751113,294000
2019-08-12,2.030000,2.140000,1.990000,2.020000,1.700600,528922
2019-08-13,2.000000,2.010000,1.960000,1.980000,1.666925,297000
2019-08-14,2.010000,2.050000,1.980000,2.020000,1.700600,931000
2019-08-15,1.990000,2.090000,1.960000,2.090000,1.759532,970000
2019-08-16,2.040000,2.050000,2.000000,2.040000,1.717438,992915
2019-08-19,2.040000,2.090000,2.020000,2.020000,1.700600,2247734
2019-08-20,2.050000,2.090000,2.020000,2.050000,1.725856,371000
2019-08-21,2.020000,2.040000,2.000000,2.030000,1.709019,512037
2019-08-22,2.030000,2.030000,1.980000,2.010000,1.692181,935000
2019-08-23,2.050000,2.120000,2.020000,2.100000,1.767950,1646802
2019-08-26,2.040000,2.080000,2.040000,2.050000,1.725856,925257
2019-08-27,2.080000,2.120000,1.990000,2.030000,1.709019,1000340
2019-08-28,2.040000,2.050000,1.990000,2.020000,1.700600,450000
2019-08-29,2.020000,2.020000,2.000000,2.000000,1.683762,254000
2019-08-30,2.010000,2.020000,1.970000,1.990000,1.675344,399566
2019-09-02,2.000000,2.000000,1.940000,1.960000,1.650087,401000
2019-09-03,1.960000,2.000000,1.920000,2.000000,1.683762,926000
2019-09-04,1.970000,2.050000,1.970000,2.040000,1.717438,3816284
2019-09-05,2.070000,2.070000,2.000000,2.040000,1.717438,1738000
2019-09-06,2.050000,2.060000,2.020000,2.040000,1.717438,657000
2019-09-09,2.050000,2.060000,2.030000,2.040000,1.717438,327000
2019-09-10,2.040000,2.050000,2.020000,2.040000,1.717438,793000
2019-09-11,2.040000,2.050000,2.000000,2.010000,1.692181,1869600
2019-09-12,2.050000,2.050000,2.030000,2.040000,1.717438,321000
2019-09-13,2.050000,2.050000,2.000000,2.020000,1.700600,285000
2019-09-16,2.050000,2.070000,1.980000,1.990000,1.675344,382000
2019-09-17,2.030000,2.030000,1.960000,2.010000,1.692181,1776140
2019-09-18,2.020000,2.060000,1.980000,2.010000,1.692181,4025000
2019-09-19,2.020000,2.020000,1.990000,2.000000,1.683762,415000
2019-09-20,2.010000,2.020000,1.940000,1.960000,1.650087,1116280
2019-09-23,1.980000,2.080000,1.980000,2.070000,1.742694,1966000
2019-09-24,2.100000,2.180000,2.090000,2.160000,1.818463,1833000
2019-09-25,2.160000,2.190000,2.080000,2.100000,1.767950,1583000
2019-09-26,2.130000,2.130000,2.070000,2.100000,1.767950,1632259
2019-09-27,2.120000,2.140000,2.060000,2.090000,1.759532,618320
2019-09-30,2.120000,2.140000,2.090000,2.130000,1.793207,245000
2019-10-02,2.100000,2.180000,2.070000,2.090000,1.759532,495000
2019-10-03,2.110000,2.120000,2.070000,2.100000,1.767950,360000
2019-10-04,2.100000,2.110000,2.050000,2.060000,1.734275,1555954
2019-10-08,2.080000,2.110000,2.050000,2.080000,1.751113,709000
2019-10-09,2.110000,2.130000,2.080000,2.100000,1.767950,1418700
2019-10-10,2.100000,2.110000,2.080000,2.090000,1.759532,2206000
2019-10-11,2.090000,2.110000,2.080000,2.100000,1.767950,1100130
2019-10-14,2.110000,2.110000,2.060000,2.060000,1.734275,1596000
2019-10-15,2.140000,2.140000,2.070000,2.080000,1.751113,1242000
2019-10-16,2.070000,2.070000,2.020000,2.020000,1.700600,2101000
2019-10-17,2.030000,2.050000,2.000000,2.020000,1.700600,3690984
2019-10-18,2.050000,2.050000,1.970000,2.050000,1.725856,6498000
2019-10-21,2.050000,2.120000,2.050000,2.090000,1.759532,554000
