Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,0.285000,0.285000,0.270000,0.280000,0.280000,4140000
2019-08-06,0.265000,0.275000,0.249000,0.265000,0.265000,6231429
2019-08-07,0.265000,0.275000,0.265000,0.275000,0.275000,653000
2019-08-08,0.275000,0.280000,0.275000,0.275000,0.275000,52000
2019-08-09,0.260000,0.275000,0.260000,0.265000,0.265000,229000
2019-08-12,0.260000,0.275000,0.260000,0.260000,0.260000,262000
2019-08-13,0.260000,0.260000,0.233000,0.250000,0.250000,5900000
2019-08-14,0.250000,0.250000,0.240000,0.249000,0.249000,1665000
2019-08-15,0.236000,0.244000,0.236000,0.239000,0.239000,3020000
2019-08-16,0.234000,0.242000,0.225000,0.242000,0.242000,2882000
2019-08-19,0.248000,0.255000,0.242000,0.247000,0.247000,1554822
2019-08-20,0.241000,0.249000,0.234000,0.235000,0.235000,500000
2019-08-21,0.235000,0.244000,0.235000,0.239000,0.239000,419000
2019-08-22,0.240000,0.247000,0.240000,0.246000,0.246000,434000
2019-08-23,0.246000,0.246000,0.230000,0.245000,0.245000,408000
2019-08-26,0.226000,0.240000,0.226000,0.238000,0.238000,522000
2019-08-27,0.232000,0.238000,0.232000,0.234000,0.234000,349210
2019-08-28,0.231000,0.243000,0.231000,0.241000,0.241000,118000
2019-08-29,0.229000,0.239000,0.228000,0.239000,0.239000,1012000
2019-08-30,0.239000,0.239000,0.239000,0.239000,0.239000,0
2019-09-02,0.238000,0.238000,0.236000,0.236000,0.236000,90000
2019-09-03,0.236000,0.236000,0.226000,0.228000,0.228000,1166000
2019-09-04,0.229000,0.229000,0.224000,0.224000,0.224000,476000
2019-09-05,0.225000,0.228000,0.225000,0.226000,0.226000,508000
2019-09-06,0.226000,0.232000,0.223000,0.224000,0.224000,1968000
2019-09-09,0.227000,0.234000,0.225000,0.226000,0.226000,876000
2019-09-10,0.226000,0.229000,0.224000,0.224000,0.224000,2788002
2019-09-11,0.227000,0.227000,0.224000,0.226000,0.226000,1086000
2019-09-12,0.226000,0.228000,0.224000,0.228000,0.228000,852000
2019-09-13,0.228000,0.235000,0.225000,0.226000,0.226000,2592000
2019-09-16,0.228000,0.244000,0.228000,0.238000,0.238000,844000
2019-09-17,0.226000,0.238000,0.226000,0.226000,0.226000,1262000
2019-09-18,0.226000,0.230000,0.226000,0.229000,0.229000,320000
2019-09-19,0.226000,0.230000,0.226000,0.228000,0.228000,359000
2019-09-20,0.227000,0.231000,0.226000,0.228000,0.228000,274000
2019-09-23,0.226000,0.230000,0.226000,0.230000,0.230000,420000
2019-09-24,0.244000,0.244000,0.227000,0.231000,0.231000,1584000
2019-09-25,0.228000,0.231000,0.225000,0.230000,0.230000,288000
2019-09-26,0.227000,0.230000,0.224000,0.227000,0.227000,1400000
2019-09-27,0.225000,0.227000,0.224000,0.227000,0.227000,158000
2019-09-30,0.227000,0.238000,0.227000,0.230000,0.230000,1261210
2019-10-02,0.229000,0.232000,0.228000,0.231000,0.231000,378000
2019-10-03,0.226000,0.226000,0.226000,0.228000,0.228000,2000
2019-10-04,0.228000,0.230000,0.226000,0.226000,0.226000,306000
2019-10-08,0.230000,0.233000,0.224000,0.225000,0.225000,649000
2019-10-09,0.223000,0.225000,0.216000,0.219000,0.219000,1234000
2019-10-10,0.219000,0.223000,0.217000,0.221000,0.221000,234000
2019-10-11,0.221000,0.225000,0.218000,0.224000,0.224000,452000
2019-10-14,0.226000,0.226000,0.223000,0.224000,0.224000,742000
2019-10-15,0.220000,0.231000,0.220000,0.229000,0.229000,1476000
2019-10-16,0.228000,0.230000,0.222000,0.224000,0.224000,632000
2019-10-17,0.226000,0.232000,0.223000,0.231000,0.231000,3370000
2019-10-18,0.227000,0.233000,0.227000,0.233000,0.233000,2253210
2019-10-21,0.232000,0.237000,0.223000,0.234000,0.234000,2382336
2019-10-22,0.231000,0.239000,0.229000,0.237000,0.237000,2873000
2019-10-23,0.233000,0.243000,0.233000,0.243000,0.243000,2054000
2019-10-24,0.243000,0.245000,0.240000,0.242000,0.242000,420000
2019-10-25,0.242000,0.250000,0.242000,0.250000,0.250000,2394000
2019-10-28,0.250000,0.255000,0.241000,0.255000,0.255000,2350000
2019-10-29,0.255000,0.260000,0.250000,0.260000,0.260000,1715000
2019-10-30,0.265000,0.265000,0.255000,0.265000,0.265000,1074000
2019-10-31,0.265000,0.270000,0.265000,0.265000,0.265000,1187042
2019-11-01,0.270000,0.270000,0.260000,0.260000,0.260000,1108000
2019-11-04,0.265000,0.275000,0.260000,0.275000,0.275000,1601000
2019-11-05,0.265000,0.280000,0.265000,0.280000,0.280000,1737000
2019-11-06,0.275000,0.285000,0.275000,0.280000,0.280000,1023000
2019-11-07,0.275000,0.295000,0.270000,0.290000,0.290000,1770000
2019-11-08,0.290000,0.290000,0.275000,0.285000,0.285000,435000
2019-11-11,0.275000,0.275000,0.265000,0.270000,0.270000,1106000
2019-11-12,0.275000,0.300000,0.275000,0.275000,0.275000,11817042
2019-11-13,0.275000,0.275000,0.270000,0.275000,0.275000,1674000
2019-11-14,0.270000,0.270000,0.265000,0.270000,0.270000,268000
2019-11-15,0.270000,0.275000,0.260000,0.270000,0.270000,410000
2019-11-18,0.275000,0.275000,0.270000,0.275000,0.275000,76000
2019-11-19,0.265000,0.275000,0.265000,0.275000,0.275000,190000
2019-11-20,0.265000,0.275000,0.275000,0.275000,0.275000,44000
2019-11-21,0.265000,0.265000,0.235000,0.250000,0.250000,1294000
2019-11-22,0.255000,0.265000,0.255000,0.255000,0.255000,110000
2019-11-25,0.255000,0.260000,0.255000,0.260000,0.260000,114000
2019-11-26,0.260000,0.260000,0.250000,0.255000,0.255000,321000
2019-11-27,0.250000,0.270000,0.250000,0.270000,0.270000,467000
2019-11-28,0.260000,0.270000,0.260000,0.265000,0.265000,76000
2019-11-29,0.260000,0.270000,0.250000,0.250000,0.250000,661000
2019-12-02,0.260000,0.260000,0.250000,0.255000,0.255000,50000
2019-12-03,0.255000,0.255000,0.250000,0.255000,0.255000,162000
2019-12-04,0.249000,0.255000,0.249000,0.255000,0.255000,46000
2019-12-05,0.250000,0.255000,0.250000,0.255000,0.255000,116000
2019-12-06,0.260000,0.265000,0.250000,0.250000,0.250000,173500
2019-12-09,0.246000,0.250000,0.246000,0.248000,0.248000,186000
2019-12-10,0.248000,0.248000,0.245000,0.247000,0.247000,286000
2019-12-11,0.246000,0.255000,0.246000,0.250000,0.250000,624000
2019-12-12,0.250000,0.265000,0.250000,0.250000,0.250000,286420
2019-12-13,0.270000,0.270000,0.250000,0.265000,0.265000,234000
2019-12-16,0.255000,0.270000,0.255000,0.265000,0.265000,160000
2019-12-17,0.260000,0.265000,0.255000,0.260000,0.260000,510420
2019-12-18,0.265000,0.265000,0.265000,0.265000,0.265000,6001
2019-12-19,0.265000,0.265000,0.265000,0.265000,0.265000,0
2019-12-20,0.260000,0.260000,0.260000,0.260000,0.260000,25000
2019-12-23,0.255000,0.270000,0.255000,0.265000,0.265000,395000
2019-12-24,0.260000,0.265000,0.255000,0.260000,0.260000,92500
2019-12-27,0.270000,0.270000,0.255000,0.255000,0.255000,589000
2019-12-30,0.265000,0.265000,0.255000,0.260000,0.260000,399000
2019-12-31,0.260000,0.265000,0.255000,0.260000,0.260000,330000
2020-01-02,0.260000,0.265000,0.260000,0.265000,0.265000,128000
2020-01-03,0.265000,0.265000,0.260000,0.265000,0.265000,602000
2020-01-06,0.265000,0.275000,0.265000,0.275000,0.275000,1130000
2020-01-07,0.270000,0.285000,0.270000,0.280000,0.280000,2477000
2020-01-08,0.270000,0.285000,0.270000,0.275000,0.275000,323000
2020-01-09,0.280000,0.285000,0.270000,0.275000,0.275000,724000
2020-01-10,0.270000,0.280000,0.265000,0.265000,0.265000,496000
2020-01-13,0.275000,0.290000,0.270000,0.285000,0.285000,2017000
2020-01-14,0.285000,0.290000,0.275000,0.290000,0.290000,3032000
2020-01-15,0.280000,0.290000,0.280000,0.285000,0.285000,156001
2020-01-16,0.280000,0.285000,0.270000,0.270000,0.270000,2720000
2020-01-17,0.270000,0.285000,0.270000,0.285000,0.285000,5002000
2020-01-20,0.280000,0.280000,0.275000,0.280000,0.280000,110000
2020-01-21,0.280000,0.280000,0.270000,0.280000,0.280000,912000
2020-01-22,0.285000,0.285000,0.275000,0.280000,0.280000,514000
2020-01-23,0.270000,0.275000,0.265000,0.270000,0.270000,1909000
2020-01-24,0.260000,0.270000,0.255000,0.265000,0.265000,844000
2020-01-29,0.255000,0.265000,0.255000,0.255000,0.255000,876000
2020-01-30,0.255000,0.260000,0.233000,0.237000,0.237000,1781000
2020-01-31,0.237000,0.248000,0.237000,0.242000,0.242000,766000
2020-02-03,0.233000,0.237000,0.228000,0.234000,0.234000,2267000
2020-02-04,0.230000,0.255000,0.230000,0.255000,0.255000,303000
2020-02-05,0.250000,0.255000,0.246000,0.250000,0.250000,203006
2020-02-06,0.232000,0.255000,0.232000,0.249000,0.249000,672000
2020-02-07,0.246000,0.249000,0.237000,0.249000,0.249000,86000
2020-02-10,0.245000,0.249000,0.240000,0.240000,0.240000,690000
2020-02-11,0.250000,0.260000,0.243000,0.255000,0.255000,2053000
2020-02-12,0.250000,0.260000,0.250000,0.255000,0.255000,1753000
2020-02-13,0.265000,0.265000,0.250000,0.255000,0.255000,2526000
2020-02-14,0.250000,0.260000,0.250000,0.255000,0.255000,360000
2020-02-17,0.250000,0.255000,0.248000,0.250000,0.250000,854000
2020-02-18,0.255000,0.255000,0.246000,0.250000,0.250000,166000
2020-02-19,0.250000,0.255000,0.244000,0.245000,0.245000,953210
2020-02-20,0.250000,0.250000,0.248000,0.248000,0.248000,34000
2020-02-21,0.244000,0.250000,0.241000,0.246000,0.246000,1262000
2020-02-24,0.244000,0.250000,0.242000,0.244000,0.244000,373000
2020-02-25,0.236000,0.244000,0.236000,0.244000,0.244000,236000
2020-02-26,0.237000,0.241000,0.235000,0.241000,0.241000,132000
2020-02-27,0.239000,0.248000,0.238000,0.240000,0.240000,680000
2020-02-28,0.236000,0.247000,0.233000,0.246000,0.246000,1953000
2020-03-02,0.234000,0.238000,0.228000,0.230000,0.230000,3426000
2020-03-03,0.233000,0.245000,0.233000,0.237000,0.237000,958000
2020-03-04,0.234000,0.236000,0.231000,0.235000,0.235000,398000
2020-03-05,0.236000,0.241000,0.231000,0.236000,0.236000,610000
2020-03-06,0.232000,0.239000,0.220000,0.230000,0.230000,788000
2020-03-09,0.230000,0.230000,0.230000,0.230000,0.230000,0
2020-03-10,0.222000,0.222000,0.222000,0.222000,0.222000,0
2020-03-11,0.223000,0.230000,0.218000,0.222000,0.222000,728000
2020-03-12,0.218000,0.223000,0.215000,0.223000,0.223000,620000
2020-03-13,0.212000,0.216000,0.209000,0.216000,0.216000,1104000
2020-03-16,0.212000,0.227000,0.205000,0.205000,0.205000,658000
2020-03-17,0.206000,0.208000,0.200000,0.201000,0.201000,711042
2020-03-18,0.201000,0.201000,0.185000,0.199000,0.199000,992000
2020-03-19,0.197000,0.197000,0.178000,0.190000,0.190000,361000
2020-03-20,0.179000,0.198000,0.179000,0.190000,0.190000,146000
2020-03-23,0.185000,0.195000,0.178000,0.189000,0.189000,204000
2020-03-24,0.189000,0.191000,0.189000,0.189000,0.189000,32000
2020-03-25,0.191000,0.210000,0.191000,0.207000,0.207000,1477000
2020-03-26,0.206000,0.206000,0.206000,0.206000,0.206000,60000
2020-03-27,0.200000,0.204000,0.200000,0.200000,0.200000,298000
2020-03-30,0.200000,0.201000,0.191000,0.201000,0.201000,172000
2020-03-31,0.192000,0.199000,0.191000,0.197000,0.197000,152000
2020-04-01,0.190000,0.197000,0.180000,0.180000,0.180000,938000
2020-04-02,0.178000,0.198000,0.177000,0.186000,0.186000,2014000
2020-04-03,0.181000,0.189000,0.180000,0.185000,0.185000,254000
2020-04-06,0.199000,0.199000,0.191000,0.191000,0.191000,350000
2020-04-07,0.191000,0.191000,0.190000,0.190000,0.190000,136000
2020-04-08,0.190000,0.210000,0.183000,0.200000,0.200000,606000
2020-04-09,0.202000,0.202000,0.193000,0.198000,0.198000,194000
2020-04-14,0.198000,0.203000,0.197000,0.200000,0.200000,4050000
2020-04-15,0.200000,0.209000,0.200000,0.205000,0.205000,1182000
2020-04-16,0.202000,0.216000,0.202000,0.215000,0.215000,5430000
2020-04-17,0.219000,0.220000,0.215000,0.215000,0.215000,1362000
2020-04-20,0.219000,0.220000,0.218000,0.218000,0.218000,118000
2020-04-21,0.218000,0.224000,0.212000,0.220000,0.220000,3106000
2020-04-22,0.216000,0.227000,0.216000,0.223000,0.223000,610000
2020-04-23,0.226000,0.234000,0.226000,0.234000,0.234000,1296000
2020-04-24,0.226000,0.249000,0.225000,0.247000,0.247000,1232000
2020-04-27,0.245000,0.248000,0.236000,0.245000,0.245000,618000
2020-04-28,0.238000,0.247000,0.237000,0.240000,0.240000,54000
2020-04-29,0.239000,0.250000,0.239000,0.250000,0.250000,912000
2020-05-04,0.250000,0.260000,0.239000,0.255000,0.255000,3104000
2020-05-05,0.255000,0.260000,0.247000,0.255000,0.255000,657000
2020-05-06,0.249000,0.265000,0.248000,0.265000,0.265000,2338000
2020-05-07,0.260000,0.260000,0.255000,0.260000,0.260000,756000
2020-05-08,0.260000,0.260000,0.250000,0.250000,0.250000,406000
2020-05-11,0.250000,0.250000,0.245000,0.245000,0.245000,164000
2020-05-12,0.241000,0.250000,0.230000,0.244000,0.244000,1818000
2020-05-13,0.249000,0.265000,0.249000,0.260000,0.260000,12637000
2020-05-14,0.255000,0.255000,0.250000,0.255000,0.255000,796000
2020-05-15,0.255000,0.255000,0.250000,0.255000,0.255000,1032000
2020-05-18,0.250000,0.255000,0.245000,0.249000,0.249000,358000
2020-05-19,0.249000,0.250000,0.246000,0.250000,0.250000,269000
2020-05-20,0.250000,0.260000,0.250000,0.255000,0.255000,11660000
2020-05-21,0.255000,0.260000,0.250000,0.260000,0.260000,1080100
2020-05-22,0.250000,0.255000,0.245000,0.247000,0.247000,901000
2020-05-25,0.240000,0.241000,0.233000,0.241000,0.241000,517000
2020-05-26,0.238000,0.255000,0.238000,0.249000,0.249000,5448000
2020-05-27,0.250000,0.250000,0.244000,0.249000,0.249000,288000
2020-05-28,0.244000,0.249000,0.240000,0.245000,0.245000,482681
2020-05-29,0.243000,0.248000,0.235000,0.248000,0.248000,1174000
2020-06-01,0.243000,0.249000,0.242000,0.249000,0.249000,976000
2020-06-02,0.243000,0.255000,0.243000,0.255000,0.255000,11279000
2020-06-03,0.255000,0.260000,0.250000,0.255000,0.255000,636261
2020-06-04,0.255000,0.255000,0.250000,0.255000,0.255000,763420
2020-06-05,0.250000,0.255000,0.250000,0.255000,0.255000,641630
2020-06-08,0.255000,0.255000,0.250000,0.255000,0.255000,2594000
2020-06-09,0.250000,0.255000,0.248000,0.255000,0.255000,1339000
2020-06-10,0.255000,0.270000,0.255000,0.265000,0.265000,10835420
2020-06-11,0.255000,0.260000,0.255000,0.260000,0.260000,118000
2020-06-12,0.255000,0.260000,0.255000,0.260000,0.260000,292000
2020-06-15,0.260000,0.265000,0.250000,0.255000,0.255000,1092000
2020-06-16,0.255000,0.255000,0.250000,0.255000,0.255000,558000
2020-06-17,0.246000,0.255000,0.246000,0.255000,0.255000,40000
2020-06-18,0.250000,0.255000,0.250000,0.255000,0.255000,640000
2020-06-19,0.255000,0.255000,0.248000,0.250000,0.250000,764840
2020-06-22,0.250000,0.255000,0.250000,0.255000,0.255000,529000
2020-06-23,0.250000,0.255000,0.250000,0.255000,0.255000,410000
2020-06-24,0.250000,0.255000,0.248000,0.255000,0.255000,244000
2020-06-26,0.255000,0.255000,0.246000,0.255000,0.255000,636000
2020-06-29,0.245000,0.255000,0.245000,0.255000,0.255000,162000
2020-06-30,0.246000,0.255000,0.246000,0.250000,0.250000,126000
2020-07-02,0.250000,0.255000,0.248000,0.255000,0.255000,3544000
2020-07-03,0.255000,0.255000,0.249000,0.255000,0.255000,1278042
2020-07-06,0.255000,0.290000,0.250000,0.285000,0.285000,5436000
2020-07-07,0.285000,0.295000,0.275000,0.290000,0.290000,3868000
2020-07-08,0.285000,0.290000,0.285000,0.290000,0.290000,3020000
2020-07-09,0.295000,0.305000,0.285000,0.300000,0.300000,6893403
2020-07-10,0.295000,0.300000,0.285000,0.300000,0.300000,6107252
2020-07-13,0.295000,0.325000,0.295000,0.315000,0.315000,8711000
2020-07-14,0.315000,0.320000,0.300000,0.300000,0.300000,1904000
2020-07-15,0.300000,0.300000,0.275000,0.275000,0.275000,3428000
2020-07-16,0.270000,0.285000,0.270000,0.285000,0.285000,429000
2020-07-17,0.270000,0.285000,0.270000,0.285000,0.285000,278000
2020-07-20,0.280000,0.280000,0.270000,0.275000,0.275000,116000
2020-07-21,0.270000,0.275000,0.265000,0.275000,0.275000,1775210
2020-07-22,0.275000,0.280000,0.270000,0.270000,0.270000,762294
2020-07-23,0.275000,0.280000,0.270000,0.280000,0.280000,392000
2020-07-24,0.275000,0.280000,0.270000,0.270000,0.270000,714000
2020-07-27,0.280000,0.280000,0.270000,0.270000,0.270000,2387000
2020-07-28,0.270000,0.270000,0.260000,0.270000,0.270000,291000
2020-07-29,0.270000,0.270000,0.270000,0.270000,0.270000,1340000
2020-07-30,0.270000,0.275000,0.270000,0.275000,0.275000,2879000
2020-07-31,0.275000,0.285000,0.270000,0.285000,0.285000,5488000
2020-08-03,0.285000,0.285000,0.275000,0.280000,0.280000,8524000
2020-08-04,0.280000,0.300000,0.280000,0.300000,0.300000,4867440
2020-08-05,0.290000,0.315000,0.290000,0.310000,0.310000,6414000
