Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,1.810000,1.860000,1.790000,1.840000,1.736397,1378000
2019-08-06,1.800000,1.820000,1.800000,1.820000,1.717523,32000
2019-08-07,1.820000,1.820000,1.820000,1.820000,1.717523,0
2019-08-08,1.820000,1.820000,1.820000,1.820000,1.717523,0
2019-08-09,1.820000,1.820000,1.820000,1.820000,1.717523,0
2019-08-12,1.820000,1.820000,1.820000,1.820000,1.717523,0
2019-08-13,1.820000,1.820000,1.820000,1.820000,1.717523,0
2019-08-14,1.800000,1.800000,1.800000,1.800000,1.698649,0
2019-08-15,1.790000,1.840000,1.790000,1.840000,1.736397,12000
2019-08-16,1.840000,1.840000,1.840000,1.840000,1.736397,0
2019-08-19,1.800000,1.820000,1.800000,1.820000,1.717523,56000
2019-08-20,1.820000,1.820000,1.820000,1.820000,1.717523,0
2019-08-21,1.800000,1.820000,1.800000,1.820000,1.717523,82000
2019-08-22,1.780000,1.820000,1.780000,1.800000,1.698649,20000
2019-08-23,1.800000,1.800000,1.800000,1.800000,1.698649,0
2019-08-26,1.780000,1.780000,1.780000,1.780000,1.679775,0
2019-08-27,1.680000,1.800000,1.680000,1.790000,1.689212,26000
2019-08-28,1.790000,1.790000,1.790000,1.790000,1.689212,0
2019-08-29,1.790000,1.790000,1.790000,1.790000,1.689212,0
2019-08-30,1.860000,1.950000,1.860000,1.860000,1.755271,744000
2019-09-02,1.820000,1.860000,1.820000,1.840000,1.736397,48000
2019-09-03,1.840000,1.840000,1.840000,1.840000,1.736397,10000
2019-09-04,1.810000,1.870000,1.810000,1.860000,1.755271,464000
2019-09-05,1.860000,1.900000,1.850000,1.860000,1.755271,258000
2019-09-06,1.890000,1.910000,1.860000,1.860000,1.755271,82000
2019-09-09,1.870000,1.870000,1.850000,1.850000,1.745834,74000
2019-09-10,1.870000,1.870000,1.870000,1.870000,1.764708,0
2019-09-11,1.870000,1.870000,1.870000,1.870000,1.764708,0
2019-09-12,1.880000,1.950000,1.880000,1.890000,1.783582,752000
2019-09-13,1.950000,1.990000,1.910000,1.920000,1.811893,107000
2019-09-16,1.900000,1.910000,1.900000,1.900000,1.793019,24000
2019-09-17,1.990000,2.000000,1.930000,1.930000,1.821329,652000
2019-09-18,1.900000,1.990000,1.900000,1.910000,1.802456,68000
2019-09-19,1.910000,1.940000,1.890000,1.900000,1.793019,1056000
2019-09-20,1.920000,1.940000,1.920000,1.930000,1.821329,32000
2019-09-23,1.940000,1.940000,1.880000,1.880000,1.774145,126000
2019-09-24,1.880000,1.910000,1.870000,1.870000,1.764708,110000
2019-09-25,1.880000,1.880000,1.850000,1.850000,1.745834,182000
2019-09-26,1.870000,1.960000,1.850000,1.880000,1.774145,488000
2019-09-27,1.850000,1.880000,1.850000,1.850000,1.745834,500000
2019-09-30,1.870000,1.870000,1.870000,1.870000,1.764708,0
2019-10-02,1.820000,1.880000,1.820000,1.840000,1.736397,836000
2019-10-03,1.840000,1.880000,1.840000,1.840000,1.736397,460000
2019-10-04,1.840000,1.860000,1.840000,1.860000,1.755271,90000
2019-10-08,1.860000,1.880000,1.860000,1.880000,1.774145,12000
2019-10-09,1.850000,1.880000,1.850000,1.850000,1.745834,66000
2019-10-10,1.870000,1.930000,1.870000,1.930000,1.821329,906000
2019-10-11,1.900000,1.950000,1.860000,1.880000,1.774145,206000
2019-10-14,1.870000,1.950000,1.870000,1.950000,1.840204,68000
2019-10-15,1.880000,1.930000,1.860000,1.860000,1.755271,60000
2019-10-16,1.920000,1.920000,1.920000,1.920000,1.811893,0
2019-10-17,1.900000,1.910000,1.900000,1.900000,1.793019,122000
2019-10-18,1.920000,1.950000,1.910000,1.940000,1.830767,430000
2019-10-21,1.930000,1.970000,1.910000,1.910000,1.802456,132000
2019-10-22,1.950000,2.070000,1.920000,2.000000,1.887388,560000
2019-10-23,2.020000,2.050000,2.020000,2.020000,1.906262,28000
2019-10-24,2.010000,2.010000,2.010000,2.010000,1.896825,0
2019-10-25,2.020000,2.020000,1.970000,1.970000,1.859077,36000
2019-10-28,1.970000,1.970000,1.970000,1.970000,1.859077,6000
2019-10-29,1.960000,1.970000,1.920000,1.950000,1.840204,244000
2019-10-30,1.940000,1.970000,1.920000,1.930000,1.821329,174000
2019-10-31,1.900000,2.020000,1.900000,2.020000,1.906262,52000
2019-11-01,2.030000,2.030000,2.030000,2.030000,1.915699,0
2019-11-04,2.000000,2.000000,2.000000,2.000000,1.887388,0
2019-11-05,2.020000,2.040000,2.020000,2.040000,1.925136,32000
2019-11-06,2.050000,2.050000,2.050000,2.040000,1.925136,32000
2019-11-07,1.950000,2.020000,1.910000,2.000000,1.887388,1325000
2019-11-08,2.000000,2.010000,2.000000,2.010000,1.896825,54000
2019-11-11,1.980000,2.000000,1.980000,2.000000,1.887388,412000
2019-11-12,1.980000,2.030000,1.980000,1.980000,1.868514,382000
2019-11-13,1.970000,2.000000,1.970000,2.000000,1.887388,14000
2019-11-14,2.030000,2.030000,2.030000,2.030000,1.915699,0
2019-11-15,2.020000,2.030000,1.950000,2.020000,1.906262,32000
2019-11-18,2.030000,2.030000,2.030000,2.030000,1.915699,0
2019-11-19,1.950000,2.040000,1.950000,2.020000,1.906262,70000
2019-11-20,2.030000,2.040000,2.040000,2.040000,1.925136,12000
2019-11-21,2.040000,2.040000,2.040000,2.040000,1.925136,0
2019-11-22,2.040000,2.040000,1.910000,1.930000,1.821329,608000
2019-11-25,2.040000,2.040000,2.040000,2.040000,1.925136,0
2019-11-26,2.030000,2.070000,2.010000,2.040000,1.925136,56500
2019-11-27,2.040000,2.040000,2.040000,2.040000,1.925136,20666
2019-11-28,2.010000,2.010000,2.010000,2.010000,1.896825,18000
2019-11-29,2.040000,2.040000,2.020000,2.020000,1.906262,374000
2019-12-02,1.890000,1.890000,1.890000,1.890000,1.819614,0
2019-12-03,1.890000,1.890000,1.890000,1.890000,1.819614,0
2019-12-04,1.830000,1.880000,1.830000,1.860000,1.790731,948000
2019-12-05,1.830000,1.850000,1.830000,1.830000,1.761848,280000
2019-12-06,1.840000,1.890000,1.840000,1.890000,1.819614,18986000
2019-12-09,1.900000,2.000000,1.890000,2.000000,1.925517,96000
2019-12-10,1.990000,1.990000,1.990000,1.990000,1.915890,0
2019-12-11,1.990000,1.990000,1.990000,1.990000,1.915890,330000
2019-12-12,1.980000,1.990000,1.990000,1.990000,1.915890,24000
2019-12-13,1.970000,1.970000,1.970000,1.970000,1.896634,346000
2019-12-16,1.930000,1.970000,1.930000,1.970000,1.896634,202000
2019-12-17,1.970000,2.000000,1.970000,2.000000,1.925517,146000
2019-12-18,2.000000,2.000000,1.990000,2.000000,1.925517,58000
2019-12-19,2.000000,2.070000,2.000000,2.040000,1.964028,142000
2019-12-20,2.040000,2.050000,2.000000,2.000000,1.925517,88000
2019-12-23,1.910000,1.990000,1.900000,1.960000,1.887007,38000
2019-12-24,1.960000,1.960000,1.960000,1.960000,1.887007,0
2019-12-27,1.960000,1.960000,1.960000,1.960000,1.887007,0
2019-12-30,1.920000,1.990000,1.920000,1.960000,1.887007,22000
2019-12-31,1.960000,1.960000,1.960000,1.960000,1.887007,0
2020-01-02,1.960000,2.000000,1.960000,2.000000,1.925517,328000
2020-01-03,1.960000,2.000000,1.960000,1.990000,1.915890,62000
2020-01-06,1.900000,2.070000,1.860000,2.030000,1.954400,946000
2020-01-07,2.000000,2.010000,1.980000,1.980000,1.906262,406000
2020-01-08,1.980000,1.980000,1.980000,1.980000,1.906262,2000
2020-01-09,2.000000,2.000000,1.920000,1.980000,1.906262,278000
2020-01-10,1.980000,1.980000,1.980000,1.980000,1.906262,10000
2020-01-13,1.930000,1.950000,1.900000,1.930000,1.858124,104000
2020-01-14,1.930000,1.960000,1.900000,1.920000,1.848496,112000
2020-01-15,1.940000,1.940000,1.920000,1.920000,1.848496,10000
2020-01-16,1.910000,1.930000,1.910000,1.910000,1.838869,212000
2020-01-17,1.910000,1.910000,1.880000,1.880000,1.809986,180000
2020-01-20,1.880000,1.880000,1.880000,1.880000,1.809986,10000
2020-01-21,1.890000,1.970000,1.850000,1.850000,1.781103,148000
2020-01-22,1.870000,1.910000,1.860000,1.860000,1.790731,217251
2020-01-23,1.870000,1.970000,1.870000,1.940000,1.867752,24000
2020-01-24,1.930000,1.930000,1.850000,1.850000,1.781103,12000
2020-01-29,1.940000,1.950000,1.850000,1.870000,1.800359,70000
2020-01-30,1.860000,1.860000,1.850000,1.850000,1.781103,36000
2020-01-31,1.850000,1.850000,1.850000,1.850000,1.781103,0
2020-02-03,1.850000,1.890000,1.850000,1.850000,1.781103,2320544
2020-02-04,1.850000,1.850000,1.850000,1.850000,1.781103,0
2020-02-05,1.850000,1.880000,1.840000,1.880000,1.809986,28000
2020-02-06,1.880000,1.880000,1.880000,1.880000,1.809986,0
2020-02-07,1.970000,1.990000,1.950000,1.950000,1.877379,72000
2020-02-10,1.830000,1.950000,1.830000,1.900000,1.829241,1190869
2020-02-11,1.900000,1.960000,1.900000,1.930000,1.858124,511483
2020-02-12,1.900000,1.900000,1.900000,1.900000,1.829241,12000
2020-02-13,1.930000,1.930000,1.930000,1.930000,1.858124,2000
2020-02-14,1.930000,1.930000,1.930000,1.930000,1.858124,88000
2020-02-17,1.940000,1.940000,1.940000,1.940000,1.867752,70000
2020-02-18,1.940000,1.950000,1.940000,1.940000,1.867752,14000
2020-02-19,1.900000,1.990000,1.900000,1.990000,1.915890,10000
2020-02-20,1.980000,2.000000,1.980000,1.980000,1.906262,427838
2020-02-21,1.960000,1.960000,1.890000,1.890000,1.819614,268000
2020-02-24,1.850000,1.890000,1.850000,1.890000,1.819614,28000
2020-02-25,1.860000,1.890000,1.860000,1.890000,1.819614,302066
2020-02-26,1.820000,1.820000,1.820000,1.820000,1.752221,60000
2020-02-27,1.820000,1.850000,1.820000,1.850000,1.781103,218000
2020-02-28,1.850000,1.850000,1.800000,1.840000,1.771476,196000
2020-03-02,1.700000,1.830000,1.700000,1.780000,1.713710,1202000
2020-03-03,1.780000,1.830000,1.780000,1.830000,1.761848,10000
2020-03-04,1.830000,1.830000,1.830000,1.830000,1.761848,14000
2020-03-05,1.740000,1.830000,1.740000,1.820000,1.752221,413501
2020-03-06,1.770000,1.820000,1.750000,1.760000,1.694455,752202
2020-03-09,1.760000,1.760000,1.760000,1.760000,1.694455,0
2020-03-10,1.720000,1.720000,1.720000,1.720000,1.655945,0
2020-03-11,1.780000,1.830000,1.740000,1.820000,1.752221,66000
2020-03-12,1.850000,1.850000,1.700000,1.700000,1.636690,592000
2020-03-13,1.590000,1.850000,1.480000,1.790000,1.723338,4431297
2020-03-16,1.730000,1.740000,1.650000,1.720000,1.655945,268001
2020-03-17,1.720000,1.730000,1.660000,1.680000,1.617434,144000
2020-03-18,1.680000,1.700000,1.670000,1.670000,1.607807,16000
2020-03-19,1.670000,1.670000,1.550000,1.600000,1.540414,46000
2020-03-20,1.700000,1.700000,1.510000,1.610000,1.550041,114000
2020-03-23,1.600000,1.610000,1.590000,1.600000,1.540414,38000
2020-03-24,1.600000,1.600000,1.500000,1.510000,1.453766,1146000
2020-03-25,1.500000,1.620000,1.490000,1.530000,1.473021,172000
2020-03-26,1.500000,1.550000,1.490000,1.500000,1.444138,106000
2020-03-27,1.530000,1.570000,1.500000,1.540000,1.482648,632000
2020-03-30,1.500000,1.550000,1.480000,1.500000,1.444138,728000
2020-03-31,1.530000,1.530000,1.480000,1.480000,1.424883,290000
2020-04-01,1.500000,1.500000,1.480000,1.500000,1.444138,64000
2020-04-02,1.450000,1.500000,1.450000,1.490000,1.434510,102000
2020-04-03,1.500000,1.520000,1.440000,1.460000,1.405628,75556
2020-04-06,1.460000,1.510000,1.430000,1.440000,1.386372,152000
2020-04-07,1.450000,1.470000,1.450000,1.470000,1.415255,54000
2020-04-08,1.460000,1.470000,1.420000,1.430000,1.376745,178000
2020-04-09,1.430000,1.460000,1.430000,1.460000,1.405628,408000
2020-04-14,1.500000,1.500000,1.430000,1.470000,1.415255,164000
2020-04-15,1.470000,1.480000,1.430000,1.430000,1.376745,472000
2020-04-16,1.430000,1.450000,1.430000,1.430000,1.376745,274000
2020-04-17,1.450000,1.460000,1.430000,1.450000,1.396000,105313
2020-04-20,1.440000,1.440000,1.440000,1.440000,1.386372,100000
2020-04-21,1.430000,1.460000,1.420000,1.420000,1.367117,90000
2020-04-22,1.410000,1.430000,1.410000,1.410000,1.357490,44000
2020-04-23,1.410000,1.470000,1.410000,1.410000,1.357490,296000
2020-04-24,1.410000,1.410000,1.410000,1.410000,1.357490,8000
2020-04-27,1.390000,1.420000,1.390000,1.420000,1.367117,76000
2020-04-28,1.420000,1.430000,1.400000,1.400000,1.347862,150000
2020-04-29,1.420000,1.480000,1.410000,1.480000,1.424883,5044000
2020-05-04,1.420000,1.420000,1.420000,1.420000,1.367117,1380000
2020-05-05,1.400000,1.500000,1.400000,1.470000,1.415255,5142000
2020-05-06,1.480000,1.500000,1.480000,1.500000,1.444138,70000
2020-05-07,1.480000,1.480000,1.450000,1.450000,1.396000,34000
2020-05-08,1.470000,1.490000,1.430000,1.430000,1.376745,138000
2020-05-11,1.440000,1.450000,1.430000,1.440000,1.386372,222000
2020-05-12,1.420000,1.470000,1.410000,1.410000,1.357490,184000
2020-05-13,1.440000,1.460000,1.430000,1.460000,1.405628,98000
2020-05-14,1.420000,1.460000,1.420000,1.460000,1.405628,40000
2020-05-15,1.450000,1.460000,1.430000,1.440000,1.386372,590000
2020-05-18,1.440000,1.440000,1.430000,1.440000,1.386372,210000
2020-05-19,1.450000,1.450000,1.400000,1.440000,1.386372,228000
