Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,4.480000,4.480000,4.250000,4.290000,4.042580,6897962
2019-08-06,4.220000,4.220000,4.070000,4.160000,3.920077,7334763
2019-08-07,4.200000,4.210000,4.100000,4.110000,3.872961,3968218
2019-08-08,4.140000,4.290000,4.140000,4.250000,4.004887,2987377
2019-08-09,4.310000,4.340000,4.220000,4.220000,3.976617,1834058
2019-08-12,4.200000,4.220000,4.070000,4.070000,3.835268,2183004
2019-08-13,4.070000,4.070000,3.970000,4.010000,3.778729,6829766
2019-08-14,4.020000,4.190000,4.020000,4.080000,3.844691,8425490
2019-08-15,3.970000,4.150000,3.960000,4.120000,3.882385,8089848
2019-08-16,4.180000,4.190000,4.120000,4.120000,3.882385,3622000
2019-08-19,4.140000,4.210000,4.110000,4.150000,3.910654,3427234
2019-08-20,4.130000,4.220000,4.080000,4.140000,3.901231,3764000
2019-08-21,4.140000,4.150000,4.060000,4.100000,3.863538,4015176
2019-08-22,4.160000,4.270000,4.090000,4.180000,3.938924,4418733
2019-08-23,4.150000,4.240000,4.080000,4.180000,3.938924,3811266
2019-08-26,4.000000,4.020000,3.930000,3.980000,3.870844,5014621
2019-08-27,3.970000,4.090000,3.940000,4.090000,3.977827,7263760
2019-08-28,4.060000,4.090000,4.010000,4.070000,3.958376,4076836
2019-08-29,4.040000,4.120000,4.030000,4.100000,3.987553,2285867
2019-08-30,4.100000,4.280000,4.100000,4.150000,4.036181,4151582
2019-09-02,4.110000,4.380000,4.110000,4.320000,4.201519,4992400
2019-09-03,4.330000,4.410000,4.230000,4.230000,4.113987,5385962
2019-09-04,4.240000,4.270000,4.070000,4.210000,4.094536,6010892
2019-09-05,4.240000,4.320000,4.200000,4.290000,4.172342,5615000
2019-09-06,4.330000,4.370000,4.280000,4.350000,4.230696,2674455
2019-09-09,4.340000,4.420000,4.280000,4.300000,4.182067,1869981
2019-09-10,4.280000,4.350000,4.280000,4.330000,4.211245,2711145
2019-09-11,4.360000,4.680000,4.320000,4.680000,4.551645,7916000
2019-09-12,4.730000,4.770000,4.600000,4.640000,4.512743,4495000
2019-09-13,4.700000,4.780000,4.620000,4.690000,4.561371,8195700
2019-09-16,4.680000,4.690000,4.550000,4.640000,4.512743,4731274
2019-09-17,4.660000,4.680000,4.490000,4.520000,4.396034,5737000
2019-09-18,4.500000,4.580000,4.500000,4.530000,4.405760,3447685
2019-09-19,4.510000,4.550000,4.440000,4.460000,4.337679,2853236
2019-09-20,4.440000,4.470000,4.220000,4.290000,4.172342,12842492
2019-09-23,4.310000,4.320000,4.190000,4.200000,4.084810,5772820
2019-09-24,4.200000,4.260000,4.100000,4.140000,4.026455,5580232
2019-09-25,4.140000,4.180000,4.070000,4.100000,3.987553,4571213
2019-09-26,4.180000,4.220000,4.110000,4.170000,4.055633,4297620
2019-09-27,4.120000,4.190000,4.080000,4.170000,4.055633,1325564
2019-09-30,4.110000,4.270000,4.110000,4.240000,4.123713,3892000
2019-10-02,4.120000,4.220000,4.120000,4.180000,4.065358,3150305
2019-10-03,4.170000,4.170000,4.080000,4.100000,3.987553,2253000
2019-10-04,4.110000,4.120000,4.060000,4.070000,3.958376,1796646
2019-10-08,4.070000,4.180000,3.970000,4.140000,4.026455,4164518
2019-10-09,4.120000,4.120000,4.030000,4.030000,3.919473,2137244
2019-10-10,4.040000,4.100000,3.980000,4.060000,3.948650,6777473
2019-10-11,4.100000,4.260000,4.100000,4.240000,4.123713,5457200
2019-10-14,4.300000,4.460000,4.280000,4.430000,4.308502,7399811
2019-10-15,4.410000,4.430000,4.330000,4.410000,4.289051,3466000
2019-10-16,4.440000,4.450000,4.340000,4.400000,4.279325,3369000
2019-10-17,4.460000,4.470000,4.320000,4.350000,4.230696,2272000
2019-10-18,4.360000,4.430000,4.250000,4.310000,4.191793,3415261
