Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,2.450000,2.450000,2.350000,2.350000,2.350000,24891000
2019-08-06,2.300000,2.320000,2.220000,2.290000,2.290000,31156139
2019-08-07,2.290000,2.340000,2.270000,2.290000,2.290000,16126000
2019-08-08,2.310000,2.360000,2.310000,2.320000,2.320000,11083700
2019-08-09,2.350000,2.350000,2.280000,2.290000,2.290000,7065000
2019-08-12,2.290000,2.330000,2.270000,2.300000,2.300000,6236000
2019-08-13,2.300000,2.300000,2.240000,2.240000,2.240000,10543253
2019-08-14,2.280000,2.310000,2.230000,2.240000,2.240000,9713442
2019-08-15,2.200000,2.270000,2.180000,2.230000,2.230000,15261964
2019-08-16,2.240000,2.270000,2.180000,2.220000,2.220000,12405990
2019-08-19,2.220000,2.320000,2.220000,2.280000,2.280000,13684689
2019-08-20,2.300000,2.420000,2.290000,2.330000,2.330000,20558523
2019-08-21,2.360000,2.400000,2.320000,2.340000,2.340000,14969980
2019-08-22,2.360000,2.380000,2.310000,2.330000,2.330000,8066975
2019-08-23,2.340000,2.380000,2.290000,2.350000,2.350000,9570024
2019-08-26,2.260000,2.290000,2.230000,2.250000,2.250000,15397779
2019-08-27,2.280000,2.310000,2.240000,2.260000,2.260000,24698914
2019-08-28,2.260000,2.290000,2.240000,2.280000,2.280000,6441758
2019-08-29,2.300000,2.300000,2.210000,2.230000,2.230000,13624300
2019-08-30,2.240000,2.330000,2.240000,2.300000,2.300000,17971600
2019-09-02,2.280000,2.350000,2.270000,2.310000,2.310000,8248336
2019-09-03,2.300000,2.340000,2.280000,2.300000,2.300000,6158320
2019-09-04,2.300000,2.370000,2.300000,2.330000,2.330000,12680156
2019-09-05,2.350000,2.420000,2.330000,2.370000,2.370000,17123830
2019-09-06,2.380000,2.520000,2.380000,2.470000,2.470000,27582549
2019-09-09,2.460000,2.550000,2.460000,2.490000,2.490000,26469468
2019-09-10,2.490000,2.620000,2.490000,2.530000,2.530000,31917150
2019-09-11,2.600000,2.780000,2.540000,2.720000,2.720000,48476408
2019-09-12,2.730000,2.780000,2.670000,2.750000,2.750000,34769745
2019-09-13,2.760000,2.800000,2.740000,2.800000,2.800000,35332636
2019-09-16,2.770000,2.770000,2.680000,2.760000,2.760000,37390999
2019-09-17,2.740000,2.740000,2.620000,2.680000,2.680000,16884172
2019-09-18,2.770000,2.770000,2.640000,2.680000,2.680000,10127047
2019-09-19,2.700000,2.700000,2.600000,2.610000,2.610000,12100000
2019-09-20,2.630000,2.660000,2.590000,2.640000,2.640000,17875129
2019-09-23,2.610000,2.640000,2.500000,2.500000,2.500000,28150000
2019-09-24,2.520000,2.590000,2.490000,2.530000,2.530000,18435000
2019-09-25,2.520000,2.530000,2.460000,2.500000,2.500000,12934481
2019-09-26,2.510000,2.520000,2.470000,2.490000,2.490000,6399994
2019-09-27,2.480000,2.500000,2.420000,2.470000,2.470000,11586115
2019-09-30,2.480000,2.510000,2.460000,2.470000,2.470000,10086147
2019-10-02,2.470000,2.510000,2.450000,2.450000,2.450000,7827000
2019-10-03,2.430000,2.460000,2.400000,2.440000,2.440000,8270560
2019-10-04,2.440000,2.480000,2.380000,2.430000,2.430000,9229467
2019-10-08,2.450000,2.490000,2.430000,2.460000,2.460000,10336583
2019-10-09,2.430000,2.460000,2.410000,2.440000,2.440000,10213863
2019-10-10,2.430000,2.490000,2.430000,2.480000,2.480000,8879999
2019-10-11,2.500000,2.570000,2.490000,2.540000,2.540000,15190545
2019-10-14,2.540000,2.600000,2.500000,2.530000,2.530000,16116226
2019-10-15,2.540000,2.540000,2.470000,2.520000,2.520000,9002000
2019-10-16,2.510000,2.510000,2.460000,2.490000,2.490000,6322880
2019-10-17,2.490000,2.540000,2.480000,2.510000,2.510000,6375243
2019-10-18,2.510000,2.570000,2.450000,2.470000,2.470000,5542478
2019-10-21,2.450000,2.510000,2.450000,2.500000,2.500000,6634488
2019-10-22,2.500000,2.500000,2.450000,2.480000,2.480000,5965235
2019-10-23,2.480000,2.480000,2.410000,2.450000,2.450000,9908000
2019-10-24,2.450000,2.530000,2.450000,2.500000,2.500000,10493170
2019-10-25,2.490000,2.530000,2.480000,2.490000,2.490000,3543000
2019-10-28,2.490000,2.490000,2.430000,2.440000,2.440000,9958208
2019-10-29,2.470000,2.490000,2.410000,2.450000,2.450000,16791640
2019-10-30,2.470000,2.470000,2.340000,2.360000,2.360000,22069733
2019-10-31,2.390000,2.390000,2.310000,2.330000,2.330000,17075361
2019-11-01,2.350000,2.380000,2.320000,2.350000,2.350000,7381269
2019-11-04,2.360000,2.520000,2.360000,2.520000,2.520000,31773345
2019-11-05,2.520000,2.580000,2.510000,2.560000,2.560000,24773123
2019-11-06,2.540000,2.580000,2.530000,2.560000,2.560000,7567634
2019-11-07,2.570000,2.570000,2.510000,2.550000,2.550000,10094920
2019-11-08,2.570000,2.620000,2.530000,2.560000,2.560000,9510801
2019-11-11,2.550000,2.550000,2.490000,2.520000,2.520000,9113139
2019-11-12,2.500000,2.540000,2.450000,2.490000,2.490000,7877504
2019-11-13,2.460000,2.460000,2.410000,2.440000,2.440000,9912307
2019-11-14,2.440000,2.440000,2.380000,2.400000,2.400000,7445675
2019-11-15,2.440000,2.440000,2.350000,2.370000,2.370000,8608775
2019-11-18,2.380000,2.420000,2.350000,2.370000,2.370000,9074000
2019-11-19,2.370000,2.400000,2.320000,2.340000,2.340000,17771853
2019-11-20,2.340000,2.400000,2.330000,2.370000,2.370000,17656242
2019-11-21,2.350000,2.380000,2.310000,2.370000,2.370000,8846000
2019-11-22,2.360000,2.410000,2.310000,2.370000,2.370000,9889850
2019-11-25,2.390000,2.480000,2.350000,2.440000,2.440000,17190000
2019-11-26,2.470000,2.470000,2.420000,2.460000,2.460000,26684041
2019-11-27,2.450000,2.500000,2.450000,2.460000,2.460000,5933500
2019-11-28,2.450000,2.470000,2.430000,2.440000,2.440000,3390000
2019-11-29,2.420000,2.430000,2.340000,2.400000,2.400000,12269270
2019-12-02,2.360000,2.420000,2.340000,2.370000,2.370000,8686735
2019-12-03,2.340000,2.420000,2.340000,2.400000,2.400000,5895310
2019-12-04,2.400000,2.420000,2.360000,2.380000,2.380000,6741630
2019-12-05,2.400000,2.420000,2.370000,2.380000,2.380000,4568233
2019-12-06,2.410000,2.460000,2.400000,2.430000,2.430000,10134392
2019-12-09,2.430000,2.490000,2.430000,2.460000,2.460000,5523272
2019-12-10,2.440000,2.550000,2.440000,2.520000,2.520000,16148177
2019-12-11,2.510000,2.530000,2.480000,2.500000,2.500000,8682331
2019-12-12,2.520000,2.580000,2.500000,2.530000,2.530000,14483098
2019-12-13,2.600000,2.600000,2.550000,2.570000,2.570000,13846000
2019-12-16,2.580000,2.580000,2.510000,2.540000,2.540000,5358863
2019-12-17,2.570000,2.630000,2.560000,2.610000,2.610000,11967672
2019-12-18,2.590000,2.610000,2.570000,2.580000,2.580000,9101000
2019-12-19,2.570000,2.600000,2.550000,2.570000,2.570000,5944591
2019-12-20,2.580000,2.620000,2.560000,2.590000,2.590000,8628000
2019-12-23,2.590000,2.590000,2.540000,2.560000,2.560000,5598480
2019-12-24,2.550000,2.580000,2.520000,2.560000,2.560000,5228000
2019-12-27,2.620000,2.650000,2.570000,2.600000,2.600000,25957942
2019-12-30,2.580000,2.710000,2.580000,2.690000,2.690000,16901248
2019-12-31,2.670000,2.700000,2.640000,2.670000,2.670000,5540300
2020-01-02,2.700000,2.800000,2.700000,2.770000,2.770000,20989868
2020-01-03,2.800000,2.820000,2.760000,2.780000,2.780000,23271279
2020-01-06,2.780000,2.780000,2.640000,2.710000,2.710000,21976289
