Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,6.320000,6.320000,6.110000,6.130000,5.908796,989000
2019-08-06,6.060000,6.060000,5.890000,5.930000,5.716012,1278000
2019-08-07,6.010000,6.010000,5.830000,5.950000,5.735291,797000
2019-08-08,6.040000,6.110000,5.930000,5.980000,5.764208,411000
2019-08-09,5.960000,6.040000,5.830000,5.840000,5.629261,499200
2019-08-12,5.870000,5.930000,5.850000,5.860000,5.648539,420298
2019-08-13,5.860000,5.890000,5.740000,5.750000,5.542508,603000
2019-08-14,5.800000,5.810000,5.710000,5.710000,5.503951,446000
2019-08-15,5.700000,5.740000,5.650000,5.680000,5.475034,557000
2019-08-16,5.730000,5.970000,5.720000,5.900000,5.687095,779000
2019-08-19,5.970000,6.050000,5.960000,5.990000,5.773847,608000
2019-08-20,6.000000,6.110000,5.980000,6.110000,5.889517,728000
2019-08-21,6.030000,6.190000,6.030000,6.130000,5.908796,350000
2019-08-22,6.190000,6.280000,6.130000,6.280000,6.053383,381000
2019-08-23,6.300000,6.480000,6.180000,6.430000,6.197969,899000
2019-08-26,6.370000,6.370000,6.140000,6.190000,5.966630,738702
2019-08-27,6.250000,6.290000,6.110000,6.110000,5.889517,435182
2019-08-28,6.180000,6.180000,6.020000,6.060000,5.841321,520269
2019-08-29,6.100000,6.210000,6.000000,6.130000,5.908796,403000
2019-08-30,6.260000,7.300000,6.220000,7.300000,7.036575,5334000
2019-09-02,7.260000,7.850000,6.970000,7.810000,7.528172,5152566
2019-09-03,7.800000,7.940000,7.550000,7.910000,7.624563,3018000
2019-09-04,7.860000,7.940000,7.700000,7.840000,7.557089,1856000
2019-09-05,7.960000,7.960000,7.620000,7.900000,7.614924,1592000
2019-09-06,7.900000,8.160000,7.850000,7.940000,7.653481,1767000
2019-09-09,8.000000,8.230000,7.920000,8.160000,7.865541,2182000
2019-09-10,8.120000,8.410000,8.060000,8.320000,8.019768,2879363
2019-09-11,8.370000,8.370000,7.390000,8.000000,7.711316,3542106
2019-09-12,8.100000,8.100000,7.680000,7.710000,7.431780,714000
2019-09-13,7.690000,7.750000,7.520000,7.700000,7.422141,627000
2019-09-16,7.610000,7.820000,7.540000,7.580000,7.306471,1717000
2019-09-17,7.570000,7.610000,7.270000,7.310000,7.046214,1716000
2019-09-18,7.240000,7.450000,7.240000,7.350000,7.084771,1076000
2019-09-19,7.340000,7.360000,7.250000,7.330000,7.065493,424253
2019-09-20,7.410000,7.420000,7.240000,7.380000,7.113688,1382000
2019-09-23,7.400000,7.400000,6.700000,6.850000,6.602814,5223000
2019-09-24,6.860000,6.900000,6.530000,6.700000,6.458226,3121000
2019-09-25,6.710000,7.020000,6.650000,6.860000,6.612453,3926000
2019-09-26,6.900000,7.000000,6.720000,6.930000,6.679927,2303000
2019-09-27,6.970000,6.970000,6.780000,6.860000,6.612453,1355000
2019-09-30,6.910000,6.910000,6.760000,6.840000,6.593175,624000
2019-10-02,6.930000,6.930000,6.730000,6.800000,6.554618,393162
2019-10-03,6.830000,6.870000,6.650000,6.850000,6.602814,430000
2019-10-04,6.850000,7.040000,6.700000,6.760000,6.516062,1524000
2019-10-08,6.680000,6.800000,6.650000,6.690000,6.565919,1221000
2019-10-09,6.670000,6.680000,6.490000,6.670000,6.546290,979000
2019-10-10,6.660000,7.200000,6.640000,7.040000,6.909428,2008000
2019-10-11,7.040000,7.100000,6.930000,6.970000,6.840726,783000
2019-10-14,7.030000,7.230000,6.980000,7.160000,7.027202,717568
2019-10-15,7.080000,7.230000,7.080000,7.230000,7.095904,756000
2019-10-16,7.230000,7.320000,7.030000,7.120000,6.987944,1166000
2019-10-17,7.080000,7.170000,7.030000,7.120000,6.987944,429000
2019-10-18,7.190000,7.190000,6.990000,7.030000,6.899613,2057000
2019-10-21,7.050000,7.300000,7.050000,7.220000,7.086089,1323000
2019-10-22,7.180000,7.230000,7.130000,7.180000,7.046831,430000
2019-10-23,7.200000,7.200000,7.030000,7.030000,6.899613,593000
2019-10-24,7.050000,7.120000,7.000000,7.120000,6.987944,225000
2019-10-25,7.010000,7.330000,7.010000,7.250000,7.115533,534000
2019-10-28,7.310000,7.460000,7.190000,7.200000,7.066460,952000
2019-10-29,7.260000,7.360000,7.160000,7.330000,7.194049,304000
2019-10-30,7.380000,7.750000,7.370000,7.580000,7.439412,2403000
2019-10-31,7.590000,7.630000,7.360000,7.550000,7.409969,845000
2019-11-01,7.350000,7.570000,7.320000,7.370000,7.233307,818000
2019-11-04,7.500000,7.610000,7.470000,7.600000,7.459042,567000
2019-11-05,7.580000,7.680000,7.540000,7.650000,7.508114,538000
2019-11-06,7.640000,7.640000,7.430000,7.480000,7.341267,655000
2019-11-07,7.530000,7.600000,7.440000,7.600000,7.459042,313000
2019-11-08,7.600000,7.700000,7.390000,7.640000,7.498300,638000
