Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,1.960000,2.010000,1.900000,1.900000,1.718008,14119697
2019-08-06,1.870000,1.930000,1.790000,1.900000,1.718008,14138000
2019-08-07,1.930000,1.940000,1.840000,1.880000,1.699923,12251000
2019-08-08,1.890000,1.910000,1.880000,1.900000,1.718008,7402000
2019-08-09,1.910000,1.930000,1.850000,1.870000,1.690881,9242920
2019-08-12,1.850000,1.910000,1.850000,1.860000,1.681839,4971000
2019-08-13,1.860000,1.870000,1.790000,1.790000,1.618544,9829000
2019-08-14,1.820000,1.830000,1.800000,1.810000,1.636628,5632126
2019-08-15,1.770000,1.830000,1.750000,1.810000,1.636628,7194000
2019-08-16,1.810000,1.830000,1.780000,1.800000,1.627586,6135000
2019-08-19,1.820000,1.900000,1.820000,1.890000,1.708966,7159000
2019-08-20,1.890000,1.910000,1.870000,1.880000,1.699923,5444000
2019-08-21,1.880000,1.900000,1.870000,1.880000,1.699923,3476000
2019-08-22,1.880000,1.900000,1.880000,1.890000,1.708966,5141000
2019-08-23,1.910000,1.930000,1.890000,1.910000,1.727050,5215729
2019-08-26,1.860000,1.910000,1.830000,1.900000,1.718008,9835000
2019-08-27,1.880000,1.950000,1.880000,1.900000,1.718008,6627704
2019-08-28,1.900000,1.910000,1.860000,1.860000,1.681839,5787402
2019-08-29,1.910000,1.960000,1.850000,1.890000,1.708966,27101304
2019-08-30,1.900000,1.900000,1.850000,1.870000,1.690881,15521969
2019-09-02,1.880000,1.880000,1.790000,1.810000,1.636628,15675546
2019-09-03,1.830000,1.830000,1.780000,1.790000,1.618544,8328000
2019-09-04,1.800000,1.870000,1.790000,1.850000,1.672797,8728058
2019-09-05,1.850000,1.980000,1.850000,1.930000,1.745134,15923083
2019-09-06,1.910000,2.030000,1.910000,2.010000,1.817471,17690000
2019-09-09,2.050000,2.100000,2.020000,2.090000,1.889808,18756490
2019-09-10,2.090000,2.090000,2.020000,2.040000,1.844598,10789000
2019-09-11,2.040000,2.060000,2.010000,2.040000,1.844598,5426974
2019-09-12,2.060000,2.100000,2.040000,2.050000,1.853640,8715000
2019-09-13,2.050000,2.080000,2.050000,2.070000,1.871724,2991000
2019-09-16,2.070000,2.080000,2.030000,2.050000,1.853640,2516955
2019-09-17,2.050000,2.060000,2.000000,2.020000,1.826513,5664140
2019-09-18,2.030000,2.040000,2.000000,2.020000,1.826513,3102000
2019-09-19,2.020000,2.040000,2.010000,2.020000,1.826513,2802000
2019-09-20,2.030000,2.050000,2.010000,2.020000,1.826513,3487100
2019-09-23,2.040000,2.060000,2.000000,2.040000,1.844598,5319900
2019-09-24,2.040000,2.060000,2.010000,2.030000,1.835556,9464000
2019-09-25,2.030000,2.050000,2.010000,2.030000,1.835556,5518000
2019-09-26,2.010000,2.030000,2.000000,2.010000,1.817471,6339000
2019-09-27,2.030000,2.040000,1.980000,2.020000,1.826513,3542453
2019-09-30,2.010000,2.030000,2.000000,2.020000,1.826513,2287000
2019-10-02,2.030000,2.080000,2.010000,2.060000,1.862682,7054000
2019-10-03,2.050000,2.060000,2.020000,2.050000,1.853640,4332000
2019-10-04,2.070000,2.120000,2.030000,2.090000,1.889808,13996000
2019-10-08,2.110000,2.170000,2.110000,2.160000,1.953104,19779608
2019-10-09,2.160000,2.180000,2.120000,2.150000,1.944061,8140000
2019-10-10,2.150000,2.170000,2.120000,2.170000,1.962146,7230000
2019-10-11,2.170000,2.240000,2.170000,2.230000,2.016398,10562000
2019-10-14,2.260000,2.270000,2.220000,2.230000,2.016398,7979000
2019-10-15,2.240000,2.240000,2.180000,2.210000,1.998314,8184000
2019-10-16,2.200000,2.220000,2.180000,2.200000,1.989272,5592016
2019-10-17,2.220000,2.240000,2.190000,2.210000,1.998314,4225000
2019-10-18,2.220000,2.240000,2.180000,2.210000,1.998314,12612000
2019-10-21,2.200000,2.270000,2.200000,2.250000,2.034483,8231000
2019-10-22,2.250000,2.340000,2.240000,2.300000,2.079694,10433000
2019-10-23,2.290000,2.320000,2.260000,2.270000,2.052567,4326000
2019-10-24,2.280000,2.330000,2.280000,2.330000,2.106820,5726000
2019-10-25,2.320000,2.340000,2.280000,2.290000,2.070651,4483000
2019-10-28,2.290000,2.320000,2.260000,2.290000,2.070651,4859000
2019-10-29,2.300000,2.330000,2.280000,2.320000,2.097778,3361000
2019-10-30,2.330000,2.380000,2.320000,2.320000,2.097778,12385000
2019-10-31,2.310000,2.340000,2.150000,2.180000,1.971188,14078750
2019-11-01,2.190000,2.240000,2.180000,2.240000,2.025441,3224000
2019-11-04,2.230000,2.280000,2.230000,2.240000,2.025441,5640529
2019-11-05,2.280000,2.300000,2.250000,2.280000,2.061609,6061000
2019-11-06,2.300000,2.320000,2.280000,2.320000,2.097778,5461283
2019-11-07,2.300000,2.350000,2.300000,2.340000,2.115862,4962000
2019-11-08,2.360000,2.400000,2.320000,2.380000,2.152031,10088000
2019-11-11,2.350000,2.350000,2.250000,2.280000,2.061609,8981000
2019-11-12,2.310000,2.320000,2.260000,2.310000,2.088736,4989000
