Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,1.650000,1.650000,1.490000,1.540000,1.512252,161500
2019-08-06,1.520000,1.560000,1.460000,1.500000,1.472973,50000
2019-08-07,1.520000,1.520000,1.500000,1.520000,1.492613,23500
2019-08-08,1.530000,1.530000,1.520000,1.520000,1.492613,61500
2019-08-09,1.500000,1.590000,1.500000,1.500000,1.472973,128000
2019-08-12,1.480000,1.530000,1.460000,1.460000,1.433694,4500
2019-08-13,1.460000,1.460000,1.350000,1.400000,1.374775,256000
2019-08-14,1.400000,1.480000,1.370000,1.470000,1.443514,410500
2019-08-15,1.370000,1.480000,1.370000,1.470000,1.443514,222000
2019-08-16,1.470000,1.540000,1.460000,1.540000,1.512252,121000
2019-08-19,1.540000,1.590000,1.540000,1.580000,1.551532,45500
2019-08-20,1.590000,1.680000,1.590000,1.680000,1.649730,86500
2019-08-21,1.550000,1.670000,1.550000,1.670000,1.639910,134000
2019-08-22,1.690000,1.740000,1.650000,1.650000,1.620270,216500
2019-08-23,1.660000,1.700000,1.650000,1.680000,1.649730,244500
2019-08-26,1.620000,1.650000,1.590000,1.590000,1.561351,105000
2019-08-27,1.590000,1.700000,1.590000,1.690000,1.659550,284500
2019-08-28,1.670000,1.670000,1.670000,1.670000,1.639910,0
2019-08-29,1.600000,1.690000,1.600000,1.620000,1.590811,25500
2019-08-30,1.610000,1.610000,1.510000,1.510000,1.482793,385000
2019-09-02,1.490000,1.550000,1.480000,1.500000,1.472973,114700
2019-09-03,1.480000,1.540000,1.480000,1.500000,1.472973,92500
2019-09-04,1.530000,1.560000,1.500000,1.530000,1.502432,98000
2019-09-05,1.560000,1.560000,1.560000,1.560000,1.531892,18000
2019-09-06,1.550000,1.580000,1.520000,1.520000,1.492613,78500
2019-09-09,1.560000,1.600000,1.520000,1.600000,1.571171,96500
2019-09-10,1.600000,1.610000,1.600000,1.600000,1.571171,159500
2019-09-11,1.600000,1.600000,1.600000,1.600000,1.571171,0
2019-09-12,1.590000,1.650000,1.590000,1.590000,1.561351,21000
2019-09-13,1.610000,1.690000,1.610000,1.690000,1.659550,147000
2019-09-16,1.690000,1.730000,1.680000,1.710000,1.679189,87500
2019-09-17,1.690000,1.710000,1.650000,1.650000,1.620270,216500
2019-09-18,1.650000,1.730000,1.700000,1.700000,1.669369,19000
2019-09-19,1.700000,1.700000,1.700000,1.700000,1.669369,0
2019-09-20,1.700000,1.700000,1.640000,1.650000,1.620270,91000
2019-09-23,1.690000,1.690000,1.660000,1.660000,1.630090,59500
2019-09-24,1.660000,1.670000,1.630000,1.630000,1.600631,104000
2019-09-25,1.630000,1.630000,1.590000,1.590000,1.561351,121000
2019-09-26,1.620000,1.650000,1.620000,1.650000,1.620270,36000
2019-09-27,1.640000,1.640000,1.600000,1.600000,1.571171,71500
2019-09-30,1.560000,1.600000,1.530000,1.540000,1.512252,27500
2019-10-02,1.590000,1.690000,1.590000,1.600000,1.571171,143500
2019-10-03,1.560000,1.580000,1.500000,1.530000,1.502432,56000
2019-10-04,1.540000,1.600000,1.530000,1.600000,1.571171,24500
2019-10-08,1.600000,1.600000,1.600000,1.600000,1.571171,0
2019-10-09,1.600000,1.600000,1.600000,1.600000,1.571171,0
2019-10-10,1.540000,1.660000,1.540000,1.660000,1.630090,4000
2019-10-11,1.660000,1.660000,1.660000,1.660000,1.630090,0
2019-10-14,1.540000,1.630000,1.530000,1.530000,1.502432,568000
2019-10-15,1.520000,1.580000,1.520000,1.580000,1.551532,3000
2019-10-16,1.510000,1.560000,1.500000,1.540000,1.512252,77000
2019-10-17,1.540000,1.540000,1.540000,1.540000,1.512252,7500
2019-10-18,1.540000,1.640000,1.540000,1.640000,1.610451,95000
2019-10-21,1.630000,1.630000,1.630000,1.630000,1.600631,0
2019-10-22,1.550000,1.580000,1.520000,1.580000,1.551532,4000
2019-10-23,1.520000,1.520000,1.520000,1.520000,1.492613,1500
2019-10-24,1.530000,1.530000,1.510000,1.520000,1.492613,19000
2019-10-25,1.520000,1.520000,1.520000,1.520000,1.492613,0
2019-10-28,1.520000,1.520000,1.510000,1.510000,1.482793,11500
2019-10-29,1.500000,1.610000,1.500000,1.590000,1.561351,58000
2019-10-30,1.590000,1.610000,1.550000,1.600000,1.571171,52000
2019-10-31,1.600000,1.610000,1.510000,1.610000,1.580991,175500
2019-11-01,1.540000,1.600000,1.520000,1.550000,1.522072,179500
2019-11-04,1.590000,1.600000,1.520000,1.540000,1.512252,66500
2019-11-05,1.540000,1.600000,1.510000,1.580000,1.551532,288000
2019-11-06,1.620000,1.620000,1.540000,1.540000,1.512252,20700
2019-11-07,1.540000,1.600000,1.540000,1.600000,1.571171,2000
2019-11-08,1.600000,1.600000,1.550000,1.580000,1.551532,50500
2019-11-11,1.560000,1.580000,1.540000,1.540000,1.512252,121000
2019-11-12,1.510000,1.550000,1.510000,1.550000,1.522072,116000
2019-11-13,1.540000,1.550000,1.480000,1.490000,1.463153,106500
2019-11-14,1.490000,1.550000,1.490000,1.530000,1.502432,62500
2019-11-15,1.480000,1.550000,1.480000,1.510000,1.482793,224000
2019-11-18,1.510000,1.510000,1.410000,1.420000,1.394414,248800
2019-11-19,1.530000,1.540000,1.400000,1.410000,1.384595,493000
2019-11-20,1.450000,1.460000,1.380000,1.380000,1.355135,484000
2019-11-21,1.400000,1.400000,1.330000,1.330000,1.306036,299000
2019-11-22,1.350000,1.400000,1.330000,1.340000,1.315856,874500
2019-11-25,1.340000,1.400000,1.310000,1.340000,1.315856,394500
2019-11-26,1.370000,1.440000,1.360000,1.380000,1.355135,1846000
2019-11-27,1.380000,1.430000,1.360000,1.370000,1.345315,179000
2019-11-28,1.370000,1.410000,1.350000,1.360000,1.335495,154000
