Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,2.190000,2.250000,2.140000,2.170000,2.170000,1879826
2019-08-06,2.160000,2.320000,2.140000,2.280000,2.280000,7631000
2019-08-07,2.260000,2.320000,2.260000,2.290000,2.290000,3677000
2019-08-08,2.290000,2.320000,2.260000,2.290000,2.290000,3800000
2019-08-09,2.260000,2.270000,2.230000,2.250000,2.250000,2098450
2019-08-12,2.290000,2.290000,2.160000,2.200000,2.200000,2984000
2019-08-13,2.180000,2.200000,2.120000,2.140000,2.140000,4242000
2019-08-14,2.190000,2.210000,2.100000,2.120000,2.120000,9640000
2019-08-15,2.080000,2.140000,2.020000,2.110000,2.110000,6965271
2019-08-16,2.200000,2.240000,2.130000,2.220000,2.220000,7193925
2019-08-19,2.220000,2.280000,2.220000,2.280000,2.280000,2563050
2019-08-20,2.300000,2.500000,2.290000,2.490000,2.490000,37499193
2019-08-21,2.490000,2.550000,2.390000,2.490000,2.490000,4777582
2019-08-22,2.530000,2.530000,2.390000,2.420000,2.420000,5100945
2019-08-23,2.450000,2.470000,2.400000,2.420000,2.420000,2174000
2019-08-26,2.390000,2.390000,2.260000,2.330000,2.330000,13230000
2019-08-27,2.330000,2.410000,2.330000,2.400000,2.400000,9735956
2019-08-28,2.420000,2.420000,2.310000,2.350000,2.350000,4010525
2019-08-29,2.400000,2.400000,2.320000,2.360000,2.360000,735000
2019-08-30,2.390000,2.420000,2.340000,2.390000,2.390000,3435000
2019-09-02,2.370000,2.430000,2.360000,2.390000,2.390000,2036362
2019-09-03,2.410000,2.510000,2.310000,2.480000,2.480000,9281000
2019-09-04,2.470000,2.600000,2.470000,2.560000,2.560000,11986000
2019-09-05,2.570000,2.570000,2.490000,2.550000,2.550000,1667612
2019-09-06,2.530000,2.600000,2.490000,2.590000,2.590000,3653250
2019-09-09,2.600000,2.600000,2.510000,2.580000,2.580000,1925408
2019-09-10,2.580000,2.580000,2.470000,2.520000,2.520000,1784000
2019-09-11,2.500000,2.570000,2.310000,2.350000,2.350000,14138000
2019-09-12,2.340000,2.440000,2.340000,2.430000,2.430000,1729840
2019-09-13,2.430000,2.450000,2.370000,2.420000,2.420000,1901976
2019-09-16,2.400000,2.410000,2.330000,2.390000,2.390000,1928000
2019-09-17,2.370000,2.380000,2.330000,2.360000,2.360000,988000
2019-09-18,2.330000,2.390000,2.300000,2.370000,2.370000,1190000
2019-09-19,2.340000,2.400000,2.340000,2.380000,2.380000,640000
2019-09-20,2.360000,2.370000,2.300000,2.340000,2.340000,1413000
2019-09-23,2.320000,2.350000,2.310000,2.310000,2.310000,1421000
2019-09-24,2.280000,2.300000,2.240000,2.290000,2.290000,1793000
2019-09-25,2.300000,2.300000,2.240000,2.250000,2.250000,1381000
2019-09-26,2.250000,2.310000,2.250000,2.290000,2.290000,797000
2019-09-27,2.300000,2.420000,2.300000,2.370000,2.370000,3095000
2019-09-30,2.350000,2.370000,2.300000,2.330000,2.330000,1698289
2019-10-02,2.300000,2.390000,2.300000,2.380000,2.380000,1369000
2019-10-03,2.340000,2.420000,2.340000,2.400000,2.400000,2188000
2019-10-04,2.400000,2.420000,2.360000,2.380000,2.380000,1665000
2019-10-08,2.390000,2.430000,2.370000,2.380000,2.380000,6884000
2019-10-09,2.370000,2.480000,2.330000,2.420000,2.420000,4896000
2019-10-10,2.390000,2.530000,2.370000,2.470000,2.470000,6395000
2019-10-11,2.450000,2.530000,2.440000,2.510000,2.510000,4398645
2019-10-14,2.570000,2.680000,2.520000,2.620000,2.620000,11295179
2019-10-15,2.640000,2.740000,2.630000,2.680000,2.680000,6128041
2019-10-16,2.670000,2.790000,2.670000,2.720000,2.720000,7311940
2019-10-17,2.710000,2.740000,2.640000,2.710000,2.710000,5805000
2019-10-18,2.670000,2.820000,2.670000,2.750000,2.750000,8832000
2019-10-21,2.800000,2.820000,2.730000,2.740000,2.740000,9793150
2019-10-22,2.740000,2.820000,2.730000,2.800000,2.800000,3353000
2019-10-23,2.800000,2.840000,2.760000,2.810000,2.810000,3328000
2019-10-24,2.820000,2.820000,2.780000,2.780000,2.780000,3682000
2019-10-25,2.780000,2.860000,2.760000,2.810000,2.810000,3632000
2019-10-28,2.770000,2.830000,2.770000,2.810000,2.810000,2003000
