Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,5.900000,5.950000,5.700000,5.780000,5.555039,11940000
2019-08-06,5.680000,5.930000,5.500000,5.890000,5.660758,12739500
2019-08-07,5.950000,6.060000,5.770000,5.800000,5.574261,5776164
2019-08-08,5.840000,5.980000,5.740000,5.950000,5.718423,7167500
2019-08-09,6.050000,6.080000,5.920000,5.950000,5.718423,7339999
2019-08-12,5.920000,6.180000,5.890000,6.140000,5.901028,9598500
2019-08-13,6.080000,6.080000,5.880000,5.930000,5.699201,9854414
2019-08-14,6.060000,6.100000,5.990000,6.020000,5.785698,5062362
2019-08-15,5.880000,6.120000,5.880000,6.090000,5.852974,5256000
2019-08-16,6.100000,6.100000,5.890000,6.020000,5.785698,4796000
2019-08-19,6.020000,6.360000,6.020000,6.310000,6.064412,8850500
2019-08-20,6.320000,6.650000,6.260000,6.620000,6.362346,10769000
2019-08-21,6.610000,7.130000,6.550000,7.080000,6.804442,15240500
2019-08-22,7.030000,7.360000,6.990000,7.090000,6.814054,14843500
2019-08-23,7.050000,7.150000,6.900000,7.090000,6.814054,6169433
2019-08-26,6.910000,7.060000,6.780000,6.950000,6.679502,12612500
2019-08-27,7.000000,7.310000,6.980000,7.220000,6.938993,14452970
2019-08-28,7.310000,7.430000,6.990000,7.060000,6.785221,6187862
2019-08-29,7.110000,7.110000,6.600000,6.650000,6.391179,14244588
2019-08-30,6.680000,6.750000,6.330000,6.470000,6.218184,11918000
2019-09-02,6.400000,6.570000,6.370000,6.490000,6.237406,4400000
2019-09-03,6.510000,6.510000,6.320000,6.420000,6.170130,5658000
2019-09-04,6.480000,6.500000,6.290000,6.500000,6.247016,8019198
2019-09-05,6.510000,6.720000,6.370000,6.470000,6.218184,5528000
2019-09-06,6.540000,6.600000,6.400000,6.490000,6.237406,2884500
2019-09-09,6.470000,6.570000,6.280000,6.300000,6.054801,4974000
2019-09-10,6.340000,6.350000,6.210000,6.340000,6.093244,4155000
2019-09-11,6.400000,6.490000,6.240000,6.470000,6.218184,2542000
2019-09-12,6.550000,6.560000,6.370000,6.480000,6.227795,2366300
2019-09-13,6.650000,6.650000,6.480000,6.630000,6.371957,1192797
2019-09-16,6.580000,6.580000,6.400000,6.490000,6.237406,3096000
2019-09-17,6.530000,6.530000,6.260000,6.290000,6.045190,3038624
2019-09-18,6.370000,6.440000,6.310000,6.350000,6.102855,2891000
2019-09-19,6.410000,6.410000,6.270000,6.340000,6.093244,1874500
2019-09-20,6.400000,6.470000,6.340000,6.410000,6.160519,6703000
2019-09-23,6.430000,6.430000,6.250000,6.300000,6.054801,2803000
2019-09-24,6.370000,6.400000,6.220000,6.250000,6.006747,2764500
2019-09-25,6.260000,6.280000,6.090000,6.150000,5.910639,2626500
2019-09-26,6.200000,6.270000,6.080000,6.210000,5.968304,1616994
2019-09-27,6.200000,6.200000,6.010000,6.120000,5.881806,1358100
2019-09-30,6.100000,6.350000,6.050000,6.350000,6.102855,1572141
2019-10-02,6.390000,6.510000,6.330000,6.430000,6.179741,2467000
2019-10-03,6.420000,6.710000,6.390000,6.650000,6.391179,2054500
2019-10-04,6.910000,6.910000,6.640000,6.700000,6.439232,1909000
2019-10-08,6.700000,6.960000,6.600000,6.830000,6.564173,6363500
2019-10-09,6.840000,6.990000,6.700000,6.830000,6.564173,5473500
2019-10-10,6.830000,6.940000,6.730000,6.730000,6.468065,4917087
2019-10-11,6.860000,6.970000,6.850000,6.960000,6.689113,8421500
2019-10-14,6.970000,7.180000,6.840000,7.120000,6.842886,8968500
2019-10-15,7.180000,7.300000,7.070000,7.150000,6.871718,6989000
2019-10-16,7.220000,7.370000,7.160000,7.290000,7.006269,7569000
2019-10-17,7.270000,7.440000,7.230000,7.320000,7.035102,5087000
2019-10-18,7.350000,7.550000,7.250000,7.390000,7.102377,13754000
2019-10-21,7.360000,7.670000,7.300000,7.490000,7.198485,6871000
2019-10-22,7.500000,7.500000,7.280000,7.310000,7.025491,5393000
2019-10-23,7.390000,7.500000,7.290000,7.350000,7.063934,1889500
2019-10-24,7.340000,7.470000,7.330000,7.430000,7.140821,1527800
2019-10-25,7.420000,7.460000,7.340000,7.410000,7.121599,1402500
2019-10-28,7.450000,7.500000,7.310000,7.410000,7.121599,1952000
2019-10-29,7.450000,7.520000,7.370000,7.480000,7.188875,3748600
2019-10-30,7.500000,7.620000,7.400000,7.440000,7.150431,2566500
