Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,3.110000,3.120000,3.050000,3.050000,2.847965,359011910
2019-08-06,3.010000,3.040000,3.000000,3.020000,2.819953,382602900
2019-08-07,3.020000,3.040000,3.000000,3.020000,2.819953,254974788
2019-08-08,3.020000,3.050000,3.020000,3.020000,2.819953,235310144
2019-08-09,3.030000,3.050000,3.000000,3.010000,2.810615,214447418
2019-08-12,3.010000,3.030000,3.000000,3.000000,2.801277,169550715
2019-08-13,2.990000,3.010000,2.960000,2.970000,2.773265,340058359
2019-08-14,3.000000,3.020000,2.970000,2.980000,2.782602,223336962
2019-08-15,2.950000,3.010000,2.950000,2.990000,2.791940,240348195
2019-08-16,3.000000,3.010000,2.980000,2.990000,2.791940,213793727
2019-08-19,3.020000,3.020000,2.990000,3.020000,2.819953,278896168
2019-08-20,3.000000,3.010000,2.980000,3.010000,2.810615,198988420
2019-08-21,3.000000,3.020000,2.990000,3.010000,2.810615,250833017
2019-08-22,3.000000,3.020000,2.990000,2.990000,2.791940,171713033
2019-08-23,3.000000,3.000000,2.980000,2.990000,2.791940,229143608
2019-08-26,2.960000,2.970000,2.910000,2.960000,2.763927,409013806
2019-08-27,2.980000,2.980000,2.950000,2.950000,2.754590,284696407
2019-08-28,2.970000,2.980000,2.950000,2.960000,2.763927,166899692
2019-08-29,2.960000,2.970000,2.940000,2.960000,2.763927,206139432
2019-08-30,2.990000,3.000000,2.970000,2.990000,2.791940,299318871
2019-09-02,2.980000,3.000000,2.970000,3.000000,2.801277,131943932
2019-09-03,2.980000,3.000000,2.970000,2.980000,2.782602,124352888
2019-09-04,2.990000,3.070000,2.990000,3.040000,2.838628,344290251
2019-09-05,3.030000,3.090000,3.030000,3.080000,2.875978,223113445
2019-09-06,3.110000,3.110000,3.080000,3.090000,2.885316,204149685
2019-09-09,3.100000,3.110000,3.080000,3.090000,2.885316,158837340
2019-09-10,3.110000,3.120000,3.090000,3.100000,2.894653,152373932
2019-09-11,3.120000,3.180000,3.110000,3.170000,2.960016,300537140
2019-09-12,3.200000,3.210000,3.140000,3.160000,2.950679,121932726
2019-09-13,3.190000,3.210000,3.160000,3.200000,2.988029,199079902
2019-09-16,3.170000,3.190000,3.150000,3.180000,2.969354,159010648
2019-09-17,3.160000,3.170000,3.130000,3.150000,2.941341,170839996
2019-09-18,3.170000,3.170000,3.130000,3.130000,2.922666,128108643
2019-09-19,3.130000,3.150000,3.090000,3.110000,2.903991,141884279
2019-09-20,3.130000,3.140000,3.100000,3.110000,2.903991,230834087
2019-09-23,3.120000,3.130000,3.080000,3.110000,2.903991,161489534
2019-09-24,3.110000,3.110000,3.070000,3.090000,2.885316,264868159
2019-09-25,3.100000,3.100000,3.060000,3.070000,2.866641,231686705
2019-09-26,3.090000,3.090000,3.060000,3.080000,2.875978,176736384
2019-09-27,3.060000,3.070000,3.040000,3.050000,2.847965,218276258
2019-09-30,3.030000,3.090000,3.030000,3.080000,2.875978,210640947
2019-10-02,3.060000,3.080000,3.030000,3.080000,2.875978,177930425
2019-10-03,3.050000,3.090000,3.040000,3.080000,2.875978,161894806
2019-10-04,3.080000,3.090000,3.030000,3.060000,2.857303,132605987
2019-10-08,3.030000,3.100000,3.020000,3.060000,2.857303,224431138
2019-10-09,3.040000,3.070000,3.040000,3.070000,2.866641,161128142
2019-10-10,3.050000,3.080000,3.040000,3.070000,2.866641,193168668
2019-10-11,3.100000,3.140000,3.090000,3.140000,2.932004,208555723
2019-10-14,3.150000,3.190000,3.140000,3.160000,2.950679,248843964
2019-10-15,3.150000,3.170000,3.140000,3.150000,2.941341,186378170
2019-10-16,3.150000,3.190000,3.130000,3.180000,2.969354,217967607
2019-10-17,3.180000,3.190000,3.160000,3.190000,2.978692,149475224
2019-10-18,3.170000,3.190000,3.150000,3.170000,2.960016,169466467
2019-10-21,3.170000,3.180000,3.150000,3.180000,2.969354,99914014
2019-10-22,3.190000,3.200000,3.160000,3.190000,2.978692,132689998
2019-10-23,3.180000,3.200000,3.160000,3.180000,2.969354,102646971
2019-10-24,3.180000,3.250000,3.180000,3.220000,3.006705,292010928
2019-10-25,3.210000,3.230000,3.190000,3.210000,2.997367,128349495
2019-10-28,3.230000,3.250000,3.220000,3.250000,3.034717,184983350
2019-10-29,3.250000,3.270000,3.230000,3.240000,3.025380,186114687
2019-10-30,3.230000,3.250000,3.200000,3.220000,3.006705,166149098
2019-10-31,3.250000,3.250000,3.200000,3.210000,2.997367,240919201
2019-11-01,3.190000,3.250000,3.190000,3.250000,3.034717,171764337
2019-11-04,3.260000,3.310000,3.250000,3.310000,3.090743,249498500
2019-11-05,3.330000,3.330000,3.290000,3.320000,3.100080,186120327
2019-11-06,3.310000,3.320000,3.280000,3.300000,3.081405,177481435
2019-11-07,3.320000,3.340000,3.300000,3.330000,3.109418,183443569
2019-11-08,3.350000,3.350000,3.300000,3.310000,3.090743,166725182
2019-11-11,3.280000,3.290000,3.200000,3.230000,3.016042,268195981
2019-11-12,3.220000,3.240000,3.210000,3.230000,3.016042,112983957
2019-11-13,3.200000,3.200000,3.150000,3.170000,2.960016,263429617
2019-11-14,3.170000,3.190000,3.130000,3.160000,2.950679,204807305
2019-11-15,3.190000,3.200000,3.160000,3.160000,2.950679,118105290
2019-11-18,3.160000,3.200000,3.160000,3.190000,2.978692,138097946
2019-11-19,3.180000,3.260000,3.170000,3.250000,3.034717,198371356
2019-11-20,3.230000,3.240000,3.210000,3.230000,3.016042,149007087
2019-11-21,3.180000,3.200000,3.160000,3.170000,2.960016,244758705
2019-11-22,3.180000,3.210000,3.180000,3.200000,2.988029,112048660
2019-11-25,3.210000,3.240000,3.200000,3.210000,2.997367,239997465
2019-11-26,3.220000,3.240000,3.210000,3.220000,3.006705,391322126
2019-11-27,3.210000,3.240000,3.190000,3.230000,3.016042,147370839
2019-11-28,3.200000,3.240000,3.200000,3.210000,2.997367,112272483
2019-11-29,3.200000,3.200000,3.140000,3.140000,2.932004,253070292
2019-12-02,3.140000,3.150000,3.110000,3.130000,2.922666,274523876
2019-12-03,3.120000,3.120000,3.080000,3.110000,2.903991,359012618
2019-12-04,3.080000,3.110000,3.070000,3.100000,2.894653,235704526
2019-12-05,3.120000,3.130000,3.100000,3.110000,2.903991,142765481
2019-12-06,3.130000,3.170000,3.120000,3.150000,2.941341,207230250
2019-12-09,3.140000,3.160000,3.130000,3.150000,2.941341,144280590
2019-12-10,3.150000,3.150000,3.120000,3.140000,2.932004,157406603
2019-12-11,3.160000,3.190000,3.130000,3.180000,2.969354,218483457
2019-12-12,3.200000,3.210000,3.190000,3.200000,2.988029,173473962
2019-12-13,3.250000,3.270000,3.210000,3.260000,3.044055,370561711
2019-12-16,3.250000,3.270000,3.240000,3.240000,3.025380,177683611
2019-12-17,3.230000,3.300000,3.230000,3.290000,3.072067,282529724
2019-12-18,3.280000,3.310000,3.280000,3.300000,3.081405,284556921
2019-12-19,3.320000,3.320000,3.270000,3.300000,3.081405,200348918
2019-12-20,3.290000,3.320000,3.290000,3.310000,3.090743,254644937
2019-12-23,3.300000,3.340000,3.300000,3.330000,3.109418,208761746
2019-12-24,3.320000,3.330000,3.310000,3.330000,3.109418,109580893
2019-12-27,3.340000,3.370000,3.330000,3.350000,3.128093,271578808
2019-12-30,3.360000,3.370000,3.340000,3.360000,3.137431,193834290
2019-12-31,3.340000,3.360000,3.330000,3.330000,3.109418,171118364
2020-01-02,3.350000,3.370000,3.330000,3.370000,3.146768,197261188
2020-01-03,3.380000,3.390000,3.340000,3.360000,3.137431,230030066
2020-01-06,3.320000,3.330000,3.290000,3.290000,3.072067,266374390
2020-01-07,3.300000,3.330000,3.280000,3.280000,3.062730,186655578
2020-01-08,3.240000,3.240000,3.210000,3.220000,3.006705,394767971
2020-01-09,3.250000,3.280000,3.240000,3.270000,3.053392,374906450
2020-01-10,3.280000,3.300000,3.270000,3.280000,3.062730,254665824
2020-01-13,3.290000,3.340000,3.280000,3.330000,3.109418,272842194
2020-01-14,3.350000,3.350000,3.310000,3.320000,3.100080,257163407
2020-01-15,3.340000,3.340000,3.290000,3.310000,3.090743,240672164
2020-01-16,3.300000,3.310000,3.280000,3.300000,3.081405,342112084
2020-01-17,3.300000,3.320000,3.280000,3.300000,3.081405,252806029
2020-01-20,3.290000,3.320000,3.290000,3.300000,3.081405,235752107
2020-01-21,3.280000,3.280000,3.220000,3.220000,3.006705,358368526
2020-01-22,3.240000,3.270000,3.220000,3.250000,3.034717,174335362
2020-01-23,3.220000,3.230000,3.190000,3.200000,2.988029,302486336
2020-01-24,3.190000,3.210000,3.180000,3.200000,2.988029,82999352
2020-01-29,3.110000,3.140000,3.090000,3.100000,2.894653,411925635
2020-01-30,3.060000,3.080000,3.010000,3.030000,2.829290,384411677
2020-01-31,3.050000,3.070000,3.020000,3.030000,2.829290,301564936
2020-02-03,3.000000,3.070000,3.000000,3.040000,2.838628,378332184
2020-02-04,3.020000,3.090000,3.020000,3.060000,2.857303,307688123
2020-02-05,3.060000,3.100000,3.020000,3.070000,2.866641,409844804
2020-02-06,3.120000,3.180000,3.100000,3.140000,2.932004,339802912
2020-02-07,3.150000,3.150000,3.110000,3.130000,2.922666,214307414
2020-02-10,3.100000,3.140000,3.090000,3.120000,2.913328,244273758
2020-02-11,3.150000,3.190000,3.130000,3.170000,2.960016,295015040
2020-02-12,3.200000,3.230000,3.150000,3.190000,2.978692,337793526
2020-02-13,3.180000,3.210000,3.170000,3.190000,2.978692,261214594
2020-02-14,3.180000,3.240000,3.180000,3.220000,3.006705,248620938
2020-02-17,3.190000,3.250000,3.190000,3.230000,3.016042,179863817
2020-02-18,3.200000,3.220000,3.200000,3.200000,2.988029,263843179
2020-02-19,3.190000,3.250000,3.190000,3.220000,3.006705,232331615
2020-02-20,3.220000,3.230000,3.180000,3.220000,3.006705,257128951
2020-02-21,3.190000,3.220000,3.180000,3.190000,2.978692,260670982
2020-02-24,3.190000,3.190000,3.130000,3.140000,2.932004,277031489
2020-02-25,3.110000,3.140000,3.110000,3.120000,2.913328,259911885
2020-02-26,3.090000,3.130000,3.080000,3.110000,2.903991,229833016
2020-02-27,3.090000,3.180000,3.080000,3.160000,2.950679,259558361
2020-02-28,3.110000,3.110000,3.080000,3.080000,2.875978,441485313
2020-03-02,3.060000,3.130000,3.060000,3.110000,2.903991,327976355
2020-03-03,3.120000,3.150000,3.110000,3.110000,2.903991,284441589
2020-03-04,3.120000,3.150000,3.100000,3.120000,2.913328,245553192
2020-03-05,3.110000,3.160000,3.110000,3.140000,2.932004,376889580
2020-03-06,3.110000,3.120000,3.080000,3.090000,2.885316,374216552
2020-03-09,3.090000,3.090000,3.090000,3.090000,2.885316,0
2020-03-10,3.010000,3.010000,3.010000,3.010000,2.810615,0
2020-03-11,3.050000,3.090000,3.040000,3.070000,2.866641,296856973
2020-03-12,3.010000,3.030000,2.990000,3.000000,2.801277,511792502
2020-03-13,2.850000,3.010000,2.810000,2.990000,2.791940,708065269
2020-03-16,2.930000,2.980000,2.860000,2.890000,2.698564,593108106
2020-03-17,2.840000,2.980000,2.840000,2.910000,2.717239,495635751
2020-03-18,2.860000,2.920000,2.800000,2.820000,2.633201,678886078
2020-03-19,2.780000,2.820000,2.710000,2.730000,2.549162,766904691
2020-03-20,2.770000,2.910000,2.770000,2.910000,2.717239,701912805
2020-03-23,2.790000,2.840000,2.760000,2.780000,2.595850,545074634
2020-03-24,2.880000,2.920000,2.850000,2.880000,2.689226,516243513
2020-03-25,2.930000,2.960000,2.890000,2.940000,2.745252,414967996
2020-03-26,2.890000,2.960000,2.880000,2.920000,2.726577,303872213
2020-03-27,2.960000,2.970000,2.910000,2.930000,2.735914,229350855
2020-03-30,2.880000,2.970000,2.870000,2.900000,2.707902,328174373
2020-03-31,2.940000,2.980000,2.910000,2.970000,2.773265,335189721
2020-04-01,2.910000,3.000000,2.910000,2.940000,2.745252,460137001
2020-04-02,2.920000,2.960000,2.920000,2.950000,2.754590,190928004
2020-04-03,2.930000,2.950000,2.920000,2.930000,2.735914,164429620
2020-04-06,2.970000,2.990000,2.940000,2.970000,2.773265,237816664
2020-04-07,3.000000,3.020000,2.980000,3.010000,2.810615,290140030
2020-04-08,3.010000,3.020000,2.970000,2.970000,2.773265,243100578
2020-04-09,3.020000,3.020000,2.970000,2.990000,2.791940,200298866
2020-04-14,2.990000,3.020000,2.980000,3.000000,2.801277,256981764
2020-04-15,3.000000,3.020000,2.970000,2.980000,2.782602,190792824
2020-04-16,2.960000,2.970000,2.940000,2.940000,2.745252,259964924
2020-04-17,2.970000,3.010000,2.970000,2.980000,2.782602,214920798
2020-04-20,2.970000,3.000000,2.960000,2.970000,2.773265,168035733
2020-04-21,2.950000,2.970000,2.920000,2.940000,2.745252,238379837
2020-04-22,2.910000,2.940000,2.910000,2.910000,2.717239,344433399
2020-04-23,2.880000,2.900000,2.850000,2.870000,2.679889,631808600
2020-04-24,2.870000,2.890000,2.850000,2.860000,2.670551,274220850
2020-04-27,2.880000,2.920000,2.880000,2.910000,2.717239,289137061
2020-04-28,2.910000,2.960000,2.900000,2.940000,2.745252,343282051
2020-04-29,2.960000,2.990000,2.950000,2.970000,2.773265,214157984
2020-05-04,2.850000,2.890000,2.850000,2.870000,2.679889,347693574
2020-05-05,2.870000,2.890000,2.860000,2.870000,2.679889,212010421
2020-05-06,2.870000,2.910000,2.870000,2.890000,2.698564,238498524
2020-05-07,2.880000,2.910000,2.870000,2.890000,2.698564,144973683
2020-05-08,2.900000,2.920000,2.900000,2.910000,2.717239,123508108
2020-05-11,2.920000,2.960000,2.920000,2.930000,2.735914,183738532
2020-05-12,2.910000,2.920000,2.890000,2.900000,2.707902,219372448
2020-05-13,2.880000,2.920000,2.880000,2.900000,2.707902,141625263
2020-05-14,2.890000,2.900000,2.860000,2.860000,2.670551,229821114
2020-05-15,2.870000,2.890000,2.850000,2.870000,2.679889,200568652
2020-05-18,2.850000,2.900000,2.850000,2.880000,2.689226,172127520
2020-05-19,2.940000,2.970000,2.920000,2.920000,2.726577,303253621
2020-05-20,2.910000,2.950000,2.910000,2.920000,2.726577,155729033
2020-05-21,2.930000,2.940000,2.900000,2.920000,2.726577,170235630
2020-05-22,2.870000,2.890000,2.820000,2.830000,2.642538,457620899
2020-05-25,2.820000,2.850000,2.810000,2.840000,2.651876,228266719
2020-05-26,2.880000,2.900000,2.850000,2.850000,2.661213,182542884
2020-05-27,2.870000,2.890000,2.820000,2.850000,2.661213,298207778
2020-05-28,2.820000,2.880000,2.820000,2.850000,2.661213,315619602
2020-05-29,2.820000,2.850000,2.820000,2.830000,2.642538,408687772
2020-06-01,2.880000,2.910000,2.860000,2.880000,2.689226,282282336
2020-06-02,2.880000,2.910000,2.870000,2.910000,2.717239,226709874
2020-06-03,2.940000,2.950000,2.910000,2.920000,2.726577,294359809
2020-06-04,2.950000,2.960000,2.910000,2.920000,2.726577,223134000
2020-06-05,2.930000,2.980000,2.910000,2.970000,2.773265,284340598
2020-06-08,2.990000,3.000000,2.940000,2.950000,2.754590,279430577
2020-06-09,2.960000,2.990000,2.940000,2.980000,2.782602,249241644
2020-06-10,2.990000,3.000000,2.970000,2.990000,2.791940,254354781
2020-06-11,2.980000,2.990000,2.930000,2.930000,2.735914,250407528
2020-06-12,2.890000,2.910000,2.880000,2.900000,2.707902,239954243
2020-06-15,2.890000,2.910000,2.860000,2.860000,2.670551,324262249
2020-06-16,2.910000,2.930000,2.880000,2.890000,2.698564,199871809
2020-06-17,2.890000,2.920000,2.870000,2.910000,2.717239,116720164
2020-06-18,2.900000,2.910000,2.870000,2.890000,2.698564,215942026
2020-06-19,2.890000,2.930000,2.890000,2.910000,2.717239,279248752
2020-06-22,2.900000,2.920000,2.900000,2.900000,2.707902,170912317
2020-06-23,2.900000,2.920000,2.870000,2.920000,2.726577,269111753
2020-06-24,2.920000,2.930000,2.900000,2.900000,2.707902,207037571
2020-06-26,2.890000,2.920000,2.890000,2.910000,2.717239,209066091
2020-06-29,2.920000,2.920000,2.890000,2.890000,2.698564,246951674
2020-06-30,2.900000,2.910000,2.870000,2.870000,2.679889,335386928
2020-07-02,2.900000,2.970000,2.900000,2.950000,2.754590,453696518
2020-07-03,2.970000,3.040000,2.960000,3.020000,2.819953,513978980
2020-07-06,3.040000,3.190000,3.030000,3.160000,2.950679,975402826
2020-07-07,2.980000,3.020000,2.880000,2.900000,2.900000,777757716
2020-07-08,2.910000,2.940000,2.860000,2.880000,2.880000,427649749
2020-07-09,2.900000,2.900000,2.840000,2.850000,2.850000,418814500
2020-07-10,2.830000,2.840000,2.800000,2.810000,2.810000,323315200
2020-07-13,2.820000,2.830000,2.800000,2.800000,2.800000,334450300
2020-07-14,2.800000,2.800000,2.760000,2.790000,2.790000,404871200
2020-07-15,2.810000,2.830000,2.750000,2.770000,2.770000,300753900
2020-07-16,2.760000,2.780000,2.750000,2.760000,2.760000,251202900
2020-07-17,2.780000,2.800000,2.770000,2.770000,2.770000,161507000
2020-07-20,2.770000,2.800000,2.750000,2.780000,2.780000,225135900
2020-07-21,2.790000,2.790000,2.750000,2.760000,2.760000,256832000
2020-07-22,2.770000,2.780000,2.720000,2.720000,2.720000,332037600
2020-07-23,2.720000,2.730000,2.690000,2.700000,2.700000,377120100
2020-07-24,2.690000,2.700000,2.620000,2.640000,2.640000,612320900
2020-07-27,2.670000,2.680000,2.630000,2.640000,2.640000,252644700
2020-07-28,2.670000,2.680000,2.640000,2.650000,2.650000,152210200
2020-07-29,2.640000,2.660000,2.640000,2.660000,2.660000,104682300
2020-07-30,2.650000,2.660000,2.620000,2.620000,2.620000,229232163
2020-07-31,2.620000,2.640000,2.600000,2.600000,2.600000,235886173
2020-08-03,2.600000,2.620000,2.570000,2.580000,2.580000,331665600
2020-08-04,2.590000,2.650000,2.580000,2.640000,2.640000,245255500
2020-08-05,2.640000,2.650000,2.620000,2.630000,2.630000,138482549
