Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,2.850000,2.850000,2.730000,2.820000,2.593834,221000
2019-08-06,2.800000,2.830000,2.710000,2.810000,2.584635,143000
2019-08-07,2.850000,2.950000,2.850000,2.910000,2.676615,16000
2019-08-08,2.900000,2.950000,2.870000,2.900000,2.667418,37000
2019-08-09,2.900000,2.900000,2.900000,2.900000,2.667418,0
2019-08-12,2.890000,2.890000,2.850000,2.850000,2.621427,54000
2019-08-13,2.830000,2.850000,2.800000,2.810000,2.584635,44000
2019-08-14,2.800000,2.840000,2.800000,2.810000,2.584635,224000
2019-08-15,2.830000,2.870000,2.760000,2.790000,2.566239,273000
2019-08-16,2.810000,2.850000,2.810000,2.850000,2.621427,48000
2019-08-19,2.850000,2.860000,2.760000,2.820000,2.593834,36000
2019-08-20,2.840000,2.840000,2.800000,2.800000,2.575437,40000
2019-08-21,2.800000,2.850000,2.800000,2.850000,2.621427,34000
2019-08-22,2.780000,2.840000,2.760000,2.840000,2.612229,121000
2019-08-23,2.830000,2.840000,2.830000,2.840000,2.612229,46000
2019-08-26,2.790000,2.790000,2.790000,2.790000,2.566239,0
2019-08-27,2.780000,2.800000,2.780000,2.800000,2.575437,68000
2019-08-28,2.710000,2.850000,2.710000,2.850000,2.621427,108786
2019-08-29,2.840000,2.840000,2.840000,2.840000,2.612229,17000
2019-08-30,2.810000,2.860000,2.780000,2.780000,2.557041,152163
2019-09-02,2.800000,2.800000,2.780000,2.800000,2.575437,114000
2019-09-03,2.800000,2.800000,2.800000,2.800000,2.575437,29000
2019-09-04,2.790000,2.860000,2.790000,2.820000,2.593834,52000
2019-09-05,2.820000,2.930000,2.820000,2.860000,2.630625,61000
2019-09-06,2.900000,2.920000,2.880000,2.880000,2.649021,60000
2019-09-09,2.880000,2.920000,2.880000,2.910000,2.676615,98000
2019-09-10,2.900000,2.990000,2.900000,2.960000,2.722605,133000
2019-09-11,2.880000,2.930000,2.830000,2.910000,2.676615,59000
2019-09-12,2.910000,2.950000,2.910000,2.950000,2.713407,170000
2019-09-13,2.960000,3.010000,2.960000,3.010000,2.768595,165000
2019-09-16,3.000000,3.000000,2.980000,2.980000,2.741001,8000
2019-09-17,2.950000,3.010000,2.880000,2.900000,2.667418,114000
