Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,5.370000,5.370000,5.120000,5.160000,4.999936,7989500
2019-08-06,5.110000,5.140000,4.960000,5.080000,4.922418,6181000
2019-08-07,5.160000,5.200000,5.070000,5.120000,4.961177,4358000
2019-08-08,5.280000,5.280000,5.140000,5.200000,5.038695,4147000
2019-08-09,5.280000,5.280000,4.990000,5.000000,4.844900,11064000
2019-08-12,5.100000,5.310000,5.060000,5.300000,5.135593,4942500
2019-08-13,5.230000,5.280000,5.150000,5.170000,5.009626,3010500
2019-08-14,5.290000,5.330000,5.180000,5.310000,5.145283,3884500
2019-08-15,5.250000,5.250000,5.130000,5.140000,4.980556,8705000
2019-08-16,5.110000,5.190000,5.020000,5.130000,4.970867,12105000
2019-08-19,5.180000,5.550000,5.180000,5.480000,5.310010,11386500
2019-08-20,5.410000,5.510000,5.340000,5.350000,5.184042,5949609
2019-08-21,5.350000,5.410000,5.330000,5.350000,5.184042,3781500
2019-08-22,5.350000,5.440000,5.310000,5.440000,5.271251,12712500
2019-08-23,5.490000,5.500000,5.370000,5.460000,5.290630,2322500
2019-08-26,5.320000,5.430000,5.250000,5.400000,5.232491,9025000
2019-08-27,5.420000,5.690000,5.420000,5.490000,5.319699,7309614
2019-08-28,5.520000,5.550000,5.450000,5.510000,5.339079,6210500
2019-08-29,5.520000,5.540000,5.400000,5.460000,5.290630,3297500
2019-08-30,5.550000,5.570000,5.470000,5.540000,5.368149,4549000
2019-09-02,5.480000,5.720000,5.480000,5.670000,5.494116,4811500
2019-09-03,5.670000,5.740000,5.620000,5.630000,5.455357,8413500
2019-09-04,5.590000,5.870000,5.590000,5.800000,5.620084,7458171
2019-09-05,5.870000,6.240000,5.870000,6.030000,5.842949,14671500
2019-09-06,6.160000,6.330000,5.980000,6.140000,5.949536,20149500
2019-09-09,6.250000,6.330000,6.070000,6.120000,5.930157,14246000
2019-09-10,6.140000,6.310000,6.060000,6.210000,6.017365,10554232
2019-09-11,6.250000,6.260000,6.120000,6.200000,6.007675,6782500
2019-09-12,6.250000,6.250000,6.140000,6.190000,5.997986,5088000
2019-09-13,6.250000,6.400000,6.170000,6.380000,6.182092,4902000
2019-09-16,6.400000,6.400000,6.160000,6.180000,5.988296,10012000
2019-09-17,6.220000,6.220000,6.030000,6.080000,5.891397,5927500
2019-09-18,6.090000,6.140000,6.000000,6.080000,5.891397,5492377
2019-09-19,6.150000,6.150000,5.990000,6.030000,5.842949,3416000
2019-09-20,6.070000,6.080000,5.980000,6.040000,5.852639,3733000
2019-09-23,6.070000,6.070000,5.890000,5.900000,5.716981,4272000
2019-09-24,5.920000,6.000000,5.870000,5.900000,5.716981,2452000
2019-09-25,5.880000,5.910000,5.800000,5.810000,5.629773,1733000
2019-09-26,5.900000,6.000000,5.710000,5.740000,5.561944,2389500
