Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,7.490000,7.510000,7.310000,7.380000,7.288964,5469146
2019-08-06,7.000000,7.210000,6.930000,7.170000,7.081554,10743675
2019-08-07,7.280000,7.320000,7.020000,7.240000,7.150691,5607720
2019-08-08,7.470000,7.920000,7.470000,7.880000,7.782796,19572906
2019-08-09,8.060000,8.680000,8.060000,8.470000,8.365519,65243942
2019-08-12,8.550000,8.550000,8.220000,8.340000,8.237122,10288797
2019-08-13,8.290000,8.470000,8.030000,8.130000,8.029712,12632367
2019-08-14,8.130000,8.200000,7.920000,7.920000,7.822303,13260352
2019-08-15,8.000000,8.000000,7.750000,7.870000,7.772919,8065789
2019-08-16,7.950000,8.040000,7.740000,7.950000,7.851932,13834889
2019-08-19,7.970000,8.110000,7.800000,7.900000,7.802549,6707495
2019-08-20,7.910000,7.970000,7.730000,7.800000,7.703783,9645247
2019-08-21,7.900000,8.180000,7.830000,8.010000,7.911192,13465758
2019-08-22,8.000000,8.080000,7.810000,7.840000,7.743289,8790987
2019-08-23,7.910000,8.180000,7.810000,7.950000,7.851932,13402000
2019-08-26,7.750000,7.790000,7.570000,7.710000,7.614893,6397500
2019-08-27,7.900000,7.980000,7.690000,7.950000,7.851932,14707443
2019-08-28,7.900000,8.000000,7.800000,7.850000,7.753166,10569929
2019-08-29,7.780000,7.780000,7.490000,7.690000,7.595140,8446500
2019-08-30,7.760000,7.760000,7.530000,7.630000,7.535880,7231932
2019-09-02,7.650000,7.660000,7.480000,7.660000,7.565510,5048173
2019-09-03,7.600000,7.660000,7.460000,7.500000,7.407484,6665442
2019-09-04,7.410000,7.730000,7.400000,7.600000,7.506250,5416700
2019-09-05,7.530000,7.820000,7.520000,7.630000,7.535880,5850135
2019-09-06,7.700000,7.810000,7.610000,7.630000,7.535880,3874494
2019-09-09,7.700000,7.750000,7.520000,7.680000,7.585263,5898500
2019-09-10,7.640000,7.860000,7.640000,7.810000,7.713659,7575500
2019-09-11,7.860000,7.980000,7.670000,7.980000,7.881562,7340822
2019-09-12,8.000000,8.240000,7.820000,8.120000,8.019835,7237620
2019-09-13,8.040000,8.360000,8.040000,8.350000,8.246999,4839931
2019-09-16,8.200000,8.290000,8.030000,8.200000,8.098848,6687264
2019-09-17,8.180000,8.180000,7.960000,8.030000,7.930945,6593340
2019-09-18,8.030000,8.150000,8.030000,8.110000,8.009958,7020790
2019-09-19,8.080000,8.120000,8.010000,8.060000,7.960576,3262653
2019-09-20,8.220000,8.250000,8.000000,8.150000,8.049465,16702407
2019-09-23,8.230000,8.340000,8.170000,8.200000,8.098848,15316229
2019-09-24,8.380000,8.430000,8.180000,8.270000,8.167986,11561124
2019-09-25,8.210000,8.290000,8.110000,8.160000,8.059341,8180725
2019-09-26,8.200000,8.280000,8.080000,8.130000,8.029712,8466750
2019-09-27,8.130000,8.160000,8.050000,8.120000,8.019835,3441853
2019-09-30,8.100000,8.100000,7.750000,7.960000,7.861809,9911000
2019-10-02,8.000000,8.000000,7.800000,7.870000,7.772919,10857000
2019-10-03,7.960000,8.120000,7.840000,8.000000,7.901316,13608394
2019-10-04,8.110000,8.360000,8.080000,8.200000,8.098848,14550372
2019-10-08,8.210000,8.360000,8.190000,8.230000,8.128478,18260440
2019-10-09,8.320000,8.320000,8.170000,8.250000,8.148232,15781331
2019-10-10,8.200000,8.350000,8.160000,8.260000,8.158109,12053936
2019-10-11,8.260000,8.420000,8.260000,8.330000,8.227245,16359916
2019-10-14,8.370000,8.450000,8.330000,8.400000,8.296381,10287022
2019-10-15,8.440000,8.450000,8.310000,8.400000,8.296381,5820386
2019-10-16,8.350000,8.450000,8.240000,8.400000,8.296381,5470000
2019-10-17,8.400000,8.420000,8.220000,8.400000,8.296381,3534000
2019-10-18,8.380000,8.400000,8.230000,8.250000,8.148232,4037698
2019-10-21,8.270000,8.350000,8.230000,8.280000,8.177861,1796698
2019-10-22,8.280000,8.320000,8.110000,8.220000,8.118602,5707006
2019-10-23,8.190000,8.190000,7.980000,8.100000,8.000083,3902500
2019-10-24,8.160000,8.240000,8.000000,8.150000,8.049465,5448380
2019-10-25,8.160000,8.200000,8.030000,8.160000,8.059341,4964500
2019-10-28,8.160000,8.250000,8.130000,8.160000,8.059341,954500
2019-10-29,8.190000,8.200000,8.080000,8.100000,8.000083,4382380
2019-10-30,8.140000,8.190000,8.040000,8.090000,7.990206,2387000
2019-10-31,8.170000,8.170000,7.900000,8.010000,7.911192,8548989
2019-11-01,8.030000,8.420000,8.030000,8.400000,8.296381,16182196
2019-11-04,8.390000,8.770000,8.390000,8.700000,8.592681,13842998
2019-11-05,8.750000,8.780000,8.610000,8.780000,8.671694,9043934
2019-11-06,8.750000,8.980000,8.700000,8.950000,8.839597,9639445
2019-11-07,8.840000,8.950000,8.720000,8.900000,8.790214,5944857
2019-11-08,8.900000,9.190000,8.830000,9.080000,8.967993,8941735
2019-11-11,9.200000,9.240000,8.640000,8.820000,8.711201,10447841
2019-11-12,8.840000,8.980000,8.780000,8.900000,8.790214,5226268
2019-11-13,8.900000,8.960000,8.710000,8.800000,8.691447,12927400
2019-11-14,8.820000,9.200000,8.760000,9.000000,8.888980,10952410
2019-11-15,9.000000,9.030000,8.840000,8.970000,8.859350,7199500
2019-11-18,8.980000,9.150000,8.950000,9.000000,8.888980,10610740
2019-11-19,8.930000,9.070000,8.870000,9.000000,8.888980,5200944
2019-11-20,9.100000,9.100000,8.800000,8.950000,8.839597,6489020
2019-11-21,8.830000,8.940000,8.580000,8.840000,8.730954,7514174
2019-11-22,8.800000,9.150000,8.800000,9.010000,8.898857,8582548
2019-11-25,9.050000,9.120000,9.000000,9.030000,8.918610,2407010
2019-11-26,9.060000,9.090000,8.910000,8.940000,8.829720,11774045
2019-11-27,8.920000,9.100000,8.870000,9.040000,8.928487,6232874
2019-11-28,9.000000,9.160000,9.000000,9.060000,8.948240,4896520
2019-11-29,8.970000,9.020000,8.790000,8.860000,8.750707,3581762
2019-12-02,8.710000,9.010000,8.710000,9.000000,8.888980,6754060
2019-12-03,8.940000,9.060000,8.650000,8.780000,8.671694,7502666
2019-12-04,8.790000,8.910000,8.660000,8.840000,8.730954,7325910
2019-12-05,9.000000,9.010000,8.800000,8.980000,8.869226,5528487
2019-12-06,8.960000,9.150000,8.960000,9.100000,8.987747,10028360
2019-12-09,9.150000,9.150000,8.880000,8.950000,8.839597,5687550
2019-12-10,8.940000,9.030000,8.830000,8.870000,8.760584,4833904
2019-12-11,8.830000,8.920000,8.790000,8.850000,8.740830,6453566
2019-12-12,8.950000,9.070000,8.700000,8.770000,8.661818,5838303
2019-12-13,8.780000,9.100000,8.700000,9.040000,8.928487,13889640
2019-12-16,9.000000,9.000000,8.800000,8.880000,8.770460,6810390
2019-12-17,8.940000,9.070000,8.910000,8.950000,8.839597,8172548
2019-12-18,8.940000,9.030000,8.720000,9.030000,8.918610,9560760
2019-12-19,8.930000,8.950000,8.830000,8.940000,8.829720,8931724
2019-12-20,8.870000,9.160000,8.870000,9.160000,9.047007,12032955
2019-12-23,9.160000,9.760000,9.130000,9.430000,9.313676,17619746
2019-12-24,9.430000,9.510000,9.270000,9.450000,9.333429,5024447
2019-12-27,9.450000,9.600000,9.310000,9.590000,9.471703,9643500
2019-12-30,9.590000,9.600000,9.420000,9.450000,9.333429,4580332
2019-12-31,9.400000,9.470000,9.270000,9.450000,9.333429,3964278
2020-01-02,9.450000,9.500000,9.380000,9.400000,9.284045,3600824
2020-01-03,9.450000,9.490000,9.370000,9.430000,9.313676,5912250
2020-01-06,9.460000,9.480000,9.280000,9.370000,9.254416,3093446
2020-01-07,9.370000,9.550000,9.330000,9.520000,9.402566,5033670
2020-01-08,9.460000,9.670000,9.400000,9.600000,9.481579,6435007
2020-01-09,9.630000,9.740000,9.300000,9.690000,9.570468,6588180
2020-01-10,9.620000,9.620000,9.460000,9.600000,9.481579,4739380
2020-01-13,9.560000,9.990000,9.480000,9.930000,9.807508,16943651
2020-01-14,9.890000,9.940000,9.730000,9.930000,9.807508,6565932
2020-01-15,9.950000,10.200000,9.870000,9.980000,9.856891,17835426
2020-01-16,9.880000,10.060000,9.820000,10.060000,9.935905,9770291
2020-01-17,10.100000,10.400000,10.080000,10.400000,10.271710,12379719
2020-01-20,10.400000,10.400000,9.720000,9.750000,9.629728,13149460
2020-01-21,9.640000,9.640000,8.930000,9.000000,8.888980,27919215
2020-01-22,9.150000,9.540000,9.000000,9.460000,9.343306,15981610
