Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,0.173000,0.179000,0.110000,0.179000,0.179000,96000
2019-08-06,0.168000,0.168000,0.168000,0.168000,0.168000,0
2019-08-07,0.168000,0.168000,0.168000,0.168000,0.168000,0
2019-08-08,0.160000,0.160000,0.151000,0.159000,0.159000,224000
2019-08-09,0.142000,0.157000,0.142000,0.157000,0.157000,40000
2019-08-12,0.157000,0.160000,0.150000,0.157000,0.157000,224000
2019-08-13,0.157000,0.157000,0.157000,0.157000,0.157000,0
2019-08-14,0.150000,0.150000,0.130000,0.145000,0.145000,1776000
2019-08-15,0.139000,0.139000,0.139000,0.139000,0.139000,0
2019-08-16,0.135000,0.138000,0.128000,0.137000,0.137000,128000
2019-08-19,0.130000,0.130000,0.129000,0.130000,0.130000,216000
2019-08-20,0.133000,0.133000,0.130000,0.133000,0.133000,144000
2019-08-21,0.133000,0.133000,0.133000,0.133000,0.133000,0
2019-08-22,0.133000,0.140000,0.133000,0.140000,0.140000,16000
2019-08-23,0.143000,0.148000,0.138000,0.148000,0.148000,256000
2019-08-26,0.148000,0.148000,0.148000,0.148000,0.148000,0
2019-08-27,0.148000,0.148000,0.148000,0.148000,0.148000,0
2019-08-28,0.148000,0.148000,0.148000,0.148000,0.148000,0
2019-08-29,0.148000,0.148000,0.148000,0.148000,0.148000,0
2019-08-30,0.148000,0.148000,0.148000,0.148000,0.148000,0
2019-09-02,0.147000,0.147000,0.147000,0.148000,0.148000,8000
2019-09-03,0.151000,0.151000,0.151000,0.151000,0.151000,0
2019-09-04,0.138000,0.157000,0.138000,0.157000,0.157000,24000
2019-09-05,0.157000,0.157000,0.136000,0.155000,0.155000,64000
2019-09-06,0.136000,0.140000,0.132000,0.137000,0.137000,3544000
2019-09-09,0.131000,0.131000,0.093000,0.115000,0.115000,12880000
2019-09-10,0.130000,0.151000,0.115000,0.123000,0.123000,7112000
2019-09-11,0.126000,0.129000,0.117000,0.120000,0.120000,208000
2019-09-12,0.120000,0.123000,0.112000,0.123000,0.123000,656000
2019-09-13,0.123000,0.126000,0.121000,0.121000,0.121000,72000
2019-09-16,0.120000,0.120000,0.115000,0.121000,0.121000,120000
2019-09-17,0.121000,0.124000,0.120000,0.121000,0.121000,120000
2019-09-18,0.123000,0.130000,0.123000,0.125000,0.125000,128000
2019-09-19,0.121000,0.128000,0.119000,0.128000,0.128000,264000
2019-09-20,0.125000,0.126000,0.119000,0.124000,0.124000,240000
2019-09-23,0.124000,0.125000,0.121000,0.125000,0.125000,1664000
2019-09-24,0.120000,0.140000,0.116000,0.138000,0.138000,1552000
2019-09-25,0.147000,0.164000,0.131000,0.160000,0.160000,6712000
2019-09-26,0.163000,0.182000,0.151000,0.167000,0.167000,3376000
2019-09-27,0.167000,0.181000,0.154000,0.160000,0.160000,1688000
2019-09-30,0.161000,0.161000,0.141000,0.143000,0.143000,920000
2019-10-02,0.146000,0.146000,0.145000,0.145000,0.145000,312000
2019-10-03,0.145000,0.145000,0.145000,0.145000,0.145000,0
2019-10-04,0.135000,0.149000,0.135000,0.143000,0.143000,264000
2019-10-08,0.143000,0.143000,0.135000,0.143000,0.143000,96000
2019-10-09,0.146000,0.146000,0.133000,0.139000,0.139000,296000
2019-10-10,0.142000,0.142000,0.134000,0.134000,0.134000,1248000
2019-10-11,0.136000,0.136000,0.131000,0.136000,0.136000,904000
