Date,Open,High,Low,Close,Adj Close,Volume
2019-11-14,0.300000,0.330000,0.275000,0.280000,0.280000,152560000
2019-11-15,0.295000,0.295000,0.248000,0.250000,0.250000,32992000
2019-11-18,0.250000,0.260000,0.236000,0.240000,0.240000,17288000
2019-11-19,0.240000,0.510000,0.240000,0.510000,0.510000,93000000
2019-11-20,0.490000,0.610000,0.360000,0.460000,0.460000,88192000
2019-11-21,0.480000,0.580000,0.430000,0.485000,0.485000,40768000
2019-11-22,0.480000,0.510000,0.415000,0.415000,0.415000,17832000
2019-11-25,0.415000,0.490000,0.340000,0.420000,0.420000,23240000
2019-11-26,0.460000,0.680000,0.420000,0.530000,0.530000,61272000
2019-11-27,0.550000,0.610000,0.500000,0.530000,0.530000,16712000
2019-11-28,0.530000,0.600000,0.500000,0.590000,0.590000,14928000
2019-11-29,0.570000,0.680000,0.550000,0.610000,0.610000,25408000
2019-12-02,0.660000,0.770000,0.610000,0.750000,0.750000,26615000
2019-12-03,0.740000,0.900000,0.690000,0.860000,0.860000,22456000
2019-12-04,0.900000,0.960000,0.790000,0.880000,0.880000,17768000
2019-12-05,0.880000,0.960000,0.860000,0.900000,0.900000,15160000
2019-12-06,0.930000,0.960000,0.750000,0.760000,0.760000,23464000
2019-12-09,0.800000,0.840000,0.750000,0.820000,0.820000,6912000
2019-12-10,0.820000,0.840000,0.790000,0.820000,0.820000,4120000
2019-12-11,0.810000,0.820000,0.780000,0.800000,0.800000,18528000
2019-12-12,0.820000,0.890000,0.770000,0.860000,0.860000,8624000
2019-12-13,0.860000,0.890000,0.840000,0.850000,0.850000,9152000
2019-12-16,0.870000,0.870000,0.820000,0.860000,0.860000,3896000
2019-12-17,0.860000,0.880000,0.830000,0.830000,0.830000,5480000
2019-12-18,0.830000,0.850000,0.800000,0.830000,0.830000,5944000
2019-12-19,0.840000,0.860000,0.840000,0.850000,0.850000,9320000
2019-12-20,0.850000,0.870000,0.830000,0.870000,0.870000,5536000
2019-12-23,0.860000,0.890000,0.800000,0.890000,0.890000,6680000
2019-12-24,0.900000,0.900000,0.880000,0.900000,0.900000,1312000
2019-12-27,0.920000,0.920000,0.900000,0.910000,0.910000,4728000
2019-12-30,0.920000,0.920000,0.870000,0.910000,0.910000,7512000
2019-12-31,0.910000,0.920000,0.900000,0.920000,0.920000,384000
2020-01-02,0.920000,1.080000,0.920000,1.050000,1.050000,8112000
2020-01-03,1.040000,1.170000,1.040000,1.150000,1.150000,10280000
2020-01-06,1.150000,1.240000,1.120000,1.150000,1.150000,6576000
2020-01-07,1.120000,1.190000,1.070000,1.090000,1.090000,6064000
2020-01-08,1.090000,1.150000,1.030000,1.150000,1.150000,6448000
2020-01-09,1.210000,1.210000,1.120000,1.160000,1.160000,9168000
2020-01-10,1.170000,1.200000,1.150000,1.180000,1.180000,6280000
2020-01-13,1.220000,1.450000,1.200000,1.270000,1.270000,14809000
2020-01-14,1.340000,1.490000,1.300000,1.440000,1.440000,16697000
2020-01-15,1.450000,1.620000,1.450000,1.550000,1.550000,224301000
2020-01-16,0.700000,0.700000,0.330000,0.365000,0.365000,170065000
2020-01-17,0.350000,0.390000,0.290000,0.310000,0.310000,33348000
2020-01-20,0.305000,0.305000,0.265000,0.275000,0.275000,14764000
2020-01-21,0.275000,0.275000,0.250000,0.250000,0.250000,7856000
2020-01-22,0.255000,0.320000,0.255000,0.285000,0.285000,20016000
2020-01-23,0.285000,0.285000,0.255000,0.265000,0.265000,4744000
2020-01-24,0.265000,0.275000,0.260000,0.265000,0.265000,1280000
2020-01-29,0.260000,0.260000,0.223000,0.224000,0.224000,9904000
2020-01-30,0.224000,0.224000,0.190000,0.195000,0.195000,16160000
2020-01-31,0.195000,0.200000,0.190000,0.195000,0.195000,3176000
2020-02-03,0.188000,0.190000,0.180000,0.190000,0.190000,4040000
2020-02-04,0.190000,0.245000,0.190000,0.206000,0.206000,13656000
2020-02-05,0.205000,0.265000,0.205000,0.250000,0.250000,33800000
2020-02-06,0.250000,0.255000,0.231000,0.231000,0.231000,16152000
2020-02-07,0.236000,0.260000,0.231000,0.240000,0.240000,14664000
2020-02-10,0.249000,0.249000,0.231000,0.235000,0.235000,2872000
2020-02-11,0.230000,0.235000,0.224000,0.227000,0.227000,4104000
2020-02-12,0.225000,0.226000,0.220000,0.224000,0.224000,2600000
2020-02-13,0.220000,0.226000,0.220000,0.221000,0.221000,4672000
2020-02-14,0.224000,0.224000,0.218000,0.220000,0.220000,5440000
2020-02-17,0.218000,0.220000,0.214000,0.217000,0.217000,3416000
2020-02-18,0.217000,0.245000,0.217000,0.226000,0.226000,9890000
2020-02-19,0.225000,0.227000,0.221000,0.226000,0.226000,1136000
2020-02-20,0.231000,0.234000,0.225000,0.229000,0.229000,3272000
2020-02-21,0.231000,0.238000,0.229000,0.229000,0.229000,3040000
2020-02-24,0.231000,0.231000,0.220000,0.222000,0.222000,2368000
2020-02-25,0.220000,0.224000,0.219000,0.221000,0.221000,1920000
2020-02-26,0.221000,0.222000,0.212000,0.213000,0.213000,3640000
2020-02-27,0.212000,0.219000,0.212000,0.216000,0.216000,1600000
2020-02-28,0.217000,0.217000,0.212000,0.215000,0.215000,2528000
2020-03-02,0.217000,0.217000,0.209000,0.211000,0.211000,3856000
2020-03-03,0.208000,0.211000,0.203000,0.206000,0.206000,5104000
2020-03-04,0.205000,0.255000,0.203000,0.226000,0.226000,61534000
2020-03-05,0.231000,0.245000,0.210000,0.214000,0.214000,13784000
2020-03-06,0.216000,0.220000,0.212000,0.215000,0.215000,4184000
2020-03-09,0.215000,0.215000,0.215000,0.215000,0.215000,0
2020-03-10,0.205000,0.205000,0.205000,0.205000,0.205000,0
2020-03-11,0.200000,0.228000,0.196000,0.211000,0.211000,11152000
2020-03-12,0.212000,0.218000,0.201000,0.203000,0.203000,4776000
2020-03-13,0.195000,0.195000,0.179000,0.184000,0.184000,3832000
2020-03-16,0.184000,0.184000,0.162000,0.182000,0.182000,3064000
2020-03-17,0.164000,0.174000,0.164000,0.174000,0.174000,672000
2020-03-18,0.175000,0.175000,0.164000,0.164000,0.164000,2024000
2020-03-19,0.166000,0.166000,0.147000,0.152000,0.152000,2192000
2020-03-20,0.148000,0.157000,0.145000,0.155000,0.155000,2704000
2020-03-23,0.158000,0.160000,0.151000,0.156000,0.156000,4672000
2020-03-24,0.160000,0.163000,0.153000,0.155000,0.155000,4792000
2020-03-25,0.165000,0.186000,0.165000,0.175000,0.175000,15832000
2020-03-26,0.180000,0.180000,0.165000,0.167000,0.167000,2184000
2020-03-27,0.167000,0.173000,0.166000,0.169000,0.169000,1680000
2020-03-30,0.166000,0.166000,0.151000,0.158000,0.158000,6680000
2020-03-31,0.162000,0.162000,0.153000,0.155000,0.155000,3688000
2020-04-01,0.155000,0.155000,0.145000,0.148000,0.148000,6008000
2020-04-02,0.150000,0.180000,0.145000,0.156000,0.156000,17496000
2020-04-03,0.163000,0.163000,0.149000,0.150000,0.150000,5136000
2020-04-06,0.154000,0.156000,0.151000,0.152000,0.152000,3472000
2020-04-07,0.159000,0.159000,0.149000,0.150000,0.150000,4440000
2020-04-08,0.154000,0.154000,0.146000,0.149000,0.149000,5144000
2020-04-09,0.149000,0.152000,0.148000,0.149000,0.149000,2216000
2020-04-14,0.149000,0.149000,0.140000,0.141000,0.141000,9408000
2020-04-15,0.145000,0.146000,0.139000,0.141000,0.141000,4936000
2020-04-16,0.141000,0.146000,0.137000,0.139000,0.139000,2256000
2020-04-17,0.140000,0.143000,0.137000,0.142000,0.142000,2792000
2020-04-20,0.145000,0.145000,0.136000,0.141000,0.141000,1992000
2020-04-21,0.142000,0.159000,0.139000,0.141000,0.141000,2984000
2020-04-22,0.145000,0.145000,0.137000,0.139000,0.139000,2648000
2020-04-23,0.142000,0.144000,0.136000,0.138000,0.138000,1904000
2020-04-24,0.141000,0.142000,0.136000,0.137000,0.137000,3064000
2020-04-27,0.140000,0.141000,0.137000,0.138000,0.138000,3928000
2020-04-28,0.138000,0.138000,0.136000,0.137000,0.137000,2088000
2020-04-29,0.139000,0.139000,0.135000,0.136000,0.136000,2024000
2020-05-04,0.135000,0.135000,0.130000,0.133000,0.133000,4052000
2020-05-05,0.130000,0.134000,0.130000,0.132000,0.132000,2512000
2020-05-06,0.133000,0.140000,0.132000,0.135000,0.135000,7488000
2020-05-07,0.139000,0.139000,0.133000,0.136000,0.136000,2776000
2020-05-08,0.137000,0.138000,0.133000,0.134000,0.134000,2888000
2020-05-11,0.135000,0.136000,0.131000,0.134000,0.134000,3248000
2020-05-12,0.134000,0.137000,0.134000,0.136000,0.136000,3480000
2020-05-13,0.136000,0.137000,0.134000,0.135000,0.135000,2320000
2020-05-14,0.136000,0.136000,0.132000,0.133000,0.133000,3312000
2020-05-15,0.133000,0.135000,0.130000,0.133000,0.133000,2576000
2020-05-18,0.133000,0.134000,0.128000,0.131000,0.131000,1736000
2020-05-19,0.133000,0.134000,0.130000,0.131000,0.131000,752000
2020-05-20,0.133000,0.133000,0.128000,0.129000,0.129000,3256000
2020-05-21,0.132000,0.132000,0.127000,0.128000,0.128000,2264000
2020-05-22,0.127000,0.127000,0.125000,0.126000,0.126000,1560000
2020-05-25,0.129000,0.129000,0.125000,0.126000,0.126000,2480000
2020-05-26,0.126000,0.126000,0.122000,0.123000,0.123000,3256000
2020-05-27,0.123000,0.125000,0.121000,0.122000,0.122000,1696000
2020-05-28,0.122000,0.123000,0.116000,0.118000,0.118000,3720000
2020-05-29,0.118000,0.118000,0.116000,0.117000,0.117000,5904000
2020-06-01,0.117000,0.118000,0.116000,0.116000,0.116000,1696000
2020-06-02,0.116000,0.128000,0.115000,0.119000,0.119000,4776000
2020-06-03,0.119000,0.121000,0.115000,0.117000,0.117000,2424000
2020-06-04,0.116000,0.117000,0.116000,0.117000,0.117000,2240000
2020-06-05,0.116000,0.127000,0.115000,0.119000,0.119000,4608000
2020-06-08,0.119000,0.120000,0.115000,0.119000,0.119000,2408000
2020-06-09,0.119000,0.129000,0.118000,0.121000,0.121000,5464000
2020-06-10,0.121000,0.122000,0.117000,0.117000,0.117000,1656000
2020-06-11,0.116000,0.119000,0.115000,0.116000,0.116000,3416000
2020-06-12,0.118000,0.118000,0.114000,0.116000,0.116000,1128000
2020-06-15,0.119000,0.121000,0.116000,0.116000,0.116000,1648000
2020-06-16,0.118000,0.126000,0.115000,0.116000,0.116000,5312000
2020-06-17,0.118000,0.119000,0.117000,0.117000,0.117000,2784000
2020-06-18,0.117000,0.120000,0.116000,0.116000,0.116000,3032000
2020-06-19,0.117000,0.117000,0.115000,0.116000,0.116000,1760000
2020-06-22,0.117000,0.117000,0.114000,0.115000,0.115000,3344000
2020-06-23,0.116000,0.116000,0.114000,0.115000,0.115000,2544000
2020-06-24,0.117000,0.117000,0.115000,0.115000,0.115000,2184000
2020-06-26,0.115000,0.115000,0.114000,0.115000,0.115000,5144000
2020-06-29,0.117000,0.117000,0.114000,0.115000,0.115000,1984000
2020-06-30,0.115000,0.115000,0.113000,0.114000,0.114000,2912000
2020-07-02,0.114000,0.114000,0.110000,0.111000,0.111000,1536000
