Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,0.330000,0.345000,0.255000,0.255000,0.255000,118960000
2020-02-17,0.260000,0.270000,0.240000,0.240000,0.240000,26450000
2020-02-18,0.240000,0.246000,0.205000,0.206000,0.206000,30840000
2020-02-19,0.205000,0.223000,0.195000,0.220000,0.220000,54100000
2020-02-20,0.220000,0.249000,0.213000,0.239000,0.239000,64150000
2020-02-21,0.239000,0.255000,0.229000,0.234000,0.234000,49270000
2020-02-24,0.230000,0.234000,0.188000,0.190000,0.190000,54890000
2020-02-25,0.185000,0.185000,0.173000,0.177000,0.177000,21180000
2020-02-26,0.172000,0.190000,0.170000,0.179000,0.179000,20870000
2020-02-27,0.177000,0.182000,0.168000,0.168000,0.168000,16280000
2020-02-28,0.168000,0.168000,0.150000,0.153000,0.153000,41510000
2020-03-02,0.154000,0.154000,0.146000,0.147000,0.147000,24660000
2020-03-03,0.150000,0.163000,0.148000,0.150000,0.150000,56560000
2020-03-04,0.149000,0.152000,0.137000,0.140000,0.140000,15070000
2020-03-05,0.140000,0.148000,0.136000,0.139000,0.139000,19880000
2020-03-06,0.137000,0.142000,0.133000,0.135000,0.135000,32290000
2020-03-09,0.135000,0.135000,0.135000,0.135000,0.135000,0
2020-03-10,0.120000,0.120000,0.120000,0.120000,0.120000,0
2020-03-11,0.120000,0.127000,0.117000,0.120000,0.120000,7860000
2020-03-12,0.120000,0.120000,0.109000,0.118000,0.118000,7370000
2020-03-13,0.111000,0.115000,0.102000,0.109000,0.109000,7550000
2020-03-16,0.108000,0.117000,0.104000,0.105000,0.105000,16090000
2020-03-17,0.106000,0.125000,0.096000,0.105000,0.105000,63170000
2020-03-18,0.103000,0.110000,0.099000,0.100000,0.100000,6940000
2020-03-19,0.100000,0.100000,0.092000,0.095000,0.095000,8220000
2020-03-20,0.098000,0.110000,0.096000,0.100000,0.100000,20440000
2020-03-23,0.100000,0.100000,0.094000,0.095000,0.095000,5070000
2020-03-24,0.098000,0.100000,0.097000,0.097000,0.097000,1010000
2020-03-25,0.101000,0.103000,0.098000,0.098000,0.098000,3090000
2020-03-26,0.097000,0.102000,0.093000,0.097000,0.097000,13830000
2020-03-27,0.098000,0.110000,0.095000,0.099000,0.099000,15770000
2020-03-30,0.100000,0.100000,0.095000,0.097000,0.097000,2580000
2020-03-31,0.097000,0.099000,0.097000,0.098000,0.098000,520000
2020-04-01,0.099000,0.099000,0.094000,0.095000,0.095000,2910000
2020-04-02,0.095000,0.097000,0.092000,0.094000,0.094000,3810000
2020-04-03,0.094000,0.098000,0.093000,0.096000,0.096000,10100000
2020-04-06,0.096000,0.100000,0.093000,0.095000,0.095000,2890000
2020-04-07,0.094000,0.096000,0.094000,0.095000,0.095000,1980000
2020-04-08,0.093000,0.095000,0.092000,0.093000,0.093000,2210000
2020-04-09,0.092000,0.098000,0.092000,0.097000,0.097000,7430000
2020-04-14,0.096000,0.110000,0.096000,0.104000,0.104000,27210000
2020-04-15,0.107000,0.112000,0.104000,0.104000,0.104000,15720000
2020-04-16,0.097000,0.106000,0.097000,0.104000,0.104000,1060000
2020-04-17,0.104000,0.104000,0.104000,0.104000,0.104000,10000
2020-04-20,0.100000,0.103000,0.098000,0.102000,0.102000,1120000
2020-04-21,0.102000,0.102000,0.100000,0.102000,0.102000,670000
2020-04-22,0.098000,0.100000,0.095000,0.098000,0.098000,3900000
2020-04-23,0.102000,0.102000,0.094000,0.098000,0.098000,1310000
2020-04-24,0.096000,0.100000,0.094000,0.097000,0.097000,950000
2020-04-27,0.099000,0.099000,0.094000,0.094000,0.094000,2170000
2020-04-28,0.094000,0.109000,0.094000,0.101000,0.101000,7390000
2020-04-29,0.110000,0.143000,0.102000,0.108000,0.108000,105510000
2020-05-04,0.103000,0.108000,0.100000,0.108000,0.108000,7160000
2020-05-05,0.108000,0.129000,0.105000,0.124000,0.124000,23720000
2020-05-06,0.129000,0.160000,0.129000,0.142000,0.142000,119680000
2020-05-07,0.146000,0.146000,0.130000,0.135000,0.135000,14500000
2020-05-08,0.135000,0.140000,0.135000,0.137000,0.137000,4530000
2020-05-11,0.137000,0.137000,0.130000,0.133000,0.133000,5210000
2020-05-12,0.128000,0.128000,0.122000,0.125000,0.125000,3350000
2020-05-13,0.125000,0.140000,0.121000,0.130000,0.130000,4580000
2020-05-14,0.128000,0.140000,0.128000,0.132000,0.132000,1060000
2020-05-15,0.131000,0.131000,0.122000,0.127000,0.127000,3230000
2020-05-18,0.125000,0.136000,0.120000,0.125000,0.125000,8240000
2020-05-19,0.127000,0.139000,0.120000,0.123000,0.123000,10010000
2020-05-20,0.123000,0.123000,0.107000,0.110000,0.110000,17710000
2020-05-21,0.114000,0.116000,0.107000,0.111000,0.111000,9670000
2020-05-22,0.107000,0.108000,0.102000,0.104000,0.104000,4780000
2020-05-25,0.100000,0.107000,0.095000,0.107000,0.107000,2010000
2020-05-26,0.107000,0.119000,0.100000,0.114000,0.114000,8190000
2020-05-27,0.111000,0.111000,0.106000,0.106000,0.106000,2590000
2020-05-28,0.104000,0.110000,0.101000,0.101000,0.101000,12690000
2020-05-29,0.105000,0.105000,0.101000,0.101000,0.101000,450000
2020-06-01,0.101000,0.113000,0.101000,0.108000,0.108000,8940000
2020-06-02,0.105000,0.108000,0.103000,0.108000,0.108000,880000
2020-06-03,0.107000,0.107000,0.102000,0.104000,0.104000,750000
2020-06-04,0.101000,0.108000,0.101000,0.105000,0.105000,510000
2020-06-05,0.105000,0.107000,0.103000,0.107000,0.107000,630000
2020-06-08,0.107000,0.107000,0.103000,0.105000,0.105000,430000
2020-06-09,0.102000,0.106000,0.102000,0.106000,0.106000,770000
2020-06-10,0.103000,0.103000,0.100000,0.103000,0.103000,1470000
2020-06-11,0.101000,0.103000,0.101000,0.101000,0.101000,1130000
2020-06-12,0.096000,0.105000,0.096000,0.101000,0.101000,800000
2020-06-15,0.100000,0.101000,0.097000,0.101000,0.101000,600100
2020-06-16,0.102000,0.117000,0.102000,0.110000,0.110000,5900000
2020-06-17,0.108000,0.110000,0.108000,0.110000,0.110000,860000
2020-06-18,0.112000,0.113000,0.110000,0.112000,0.112000,1450000
2020-06-19,0.112000,0.112000,0.110000,0.110000,0.110000,390000
2020-06-22,0.109000,0.109000,0.108000,0.108000,0.108000,160000
2020-06-23,0.108000,0.108000,0.096000,0.104000,0.104000,1920000
2020-06-24,0.105000,0.105000,0.103000,0.103000,0.103000,590000
2020-06-26,0.109000,0.109000,0.103000,0.105000,0.105000,1440000
2020-06-29,0.101000,0.103000,0.099000,0.103000,0.103000,2260000
2020-06-30,0.103000,0.106000,0.100000,0.104000,0.104000,630000
2020-07-02,0.101000,0.109000,0.100000,0.107000,0.107000,1790000
2020-07-03,0.115000,0.115000,0.103000,0.106000,0.106000,600000
2020-07-06,0.117000,0.117000,0.102000,0.108000,0.108000,4430100
2020-07-07,0.108000,0.108000,0.103000,0.104000,0.104000,1420000
2020-07-08,0.113000,0.113000,0.102000,0.102000,0.102000,1910000
2020-07-09,0.106000,0.106000,0.100000,0.100000,0.100000,2680000
2020-07-10,0.100000,0.104000,0.099000,0.104000,0.104000,2220000
2020-07-13,0.103000,0.105000,0.099000,0.100000,0.100000,810000
2020-07-14,0.104000,0.104000,0.100000,0.101000,0.101000,320000
2020-07-15,0.101000,0.104000,0.100000,0.100000,0.100000,1130000
2020-07-16,0.100000,0.102000,0.096000,0.097000,0.097000,1520000
2020-07-17,0.097000,0.107000,0.092000,0.101000,0.101000,26810000
2020-07-20,0.105000,0.107000,0.103000,0.105000,0.105000,9310000
2020-07-21,0.103000,0.108000,0.102000,0.105000,0.105000,12760000
2020-07-22,0.103000,0.107000,0.100000,0.100000,0.100000,10580000
2020-07-23,0.101000,0.104000,0.099000,0.101000,0.101000,9820000
2020-07-24,0.100000,0.101000,0.098000,0.100000,0.100000,11550000
2020-07-27,0.103000,0.104000,0.097000,0.100000,0.100000,7480000
2020-07-28,0.098000,0.100000,0.098000,0.099000,0.099000,6990000
2020-07-29,0.098000,0.099000,0.098000,0.098000,0.098000,5940000
2020-07-30,0.098000,0.105000,0.098000,0.101000,0.101000,2070000
2020-07-31,0.101000,0.101000,0.098000,0.098000,0.098000,1450000
2020-08-03,0.104000,0.104000,0.098000,0.100000,0.100000,190000
2020-08-04,0.099000,0.100000,0.098000,0.100000,0.100000,810000
2020-08-05,0.099000,0.099000,0.096000,0.097000,0.097000,1560000
