Date,Open,High,Low,Close,Adj Close,Volume
2020-01-17,0.470000,0.860000,0.460000,0.800000,0.800000,144245000
2020-01-20,0.870000,0.920000,0.710000,0.740000,0.740000,25330000
2020-01-21,0.700000,0.770000,0.700000,0.740000,0.740000,9570000
2020-01-22,0.740000,0.950000,0.740000,0.860000,0.860000,18295000
2020-01-23,0.860000,0.860000,0.730000,0.800000,0.800000,10195000
2020-01-24,0.760000,0.780000,0.750000,0.770000,0.770000,1210000
2020-01-29,0.710000,0.800000,0.710000,0.770000,0.770000,3325000
2020-01-30,0.740000,0.740000,0.650000,0.710000,0.710000,4140000
2020-01-31,0.720000,0.740000,0.700000,0.730000,0.730000,485000
2020-02-03,0.700000,0.700000,0.670000,0.690000,0.690000,1260000
2020-02-04,0.690000,0.690000,0.660000,0.670000,0.670000,680000
2020-02-05,0.670000,0.690000,0.670000,0.670000,0.670000,970000
2020-02-06,0.680000,0.760000,0.680000,0.760000,0.760000,1400000
2020-02-07,0.760000,0.760000,0.700000,0.740000,0.740000,2310000
2020-02-10,0.740000,0.750000,0.710000,0.750000,0.750000,6755000
2020-02-11,0.740000,0.750000,0.710000,0.720000,0.720000,940000
2020-02-12,0.720000,0.750000,0.710000,0.740000,0.740000,1485000
2020-02-13,0.730000,0.750000,0.720000,0.750000,0.750000,715000
2020-02-14,0.750000,0.900000,0.750000,0.830000,0.830000,8720000
2020-02-17,0.810000,0.830000,0.780000,0.820000,0.820000,3780000
2020-02-18,0.810000,0.820000,0.770000,0.820000,0.820000,3355000
2020-02-19,0.780000,0.910000,0.780000,0.860000,0.860000,6305000
2020-02-20,0.870000,0.870000,0.820000,0.850000,0.850000,515000
2020-02-21,0.820000,0.850000,0.820000,0.850000,0.850000,220000
2020-02-24,0.870000,0.940000,0.830000,0.850000,0.850000,7545000
2020-02-25,0.840000,0.860000,0.810000,0.850000,0.850000,1505000
2020-02-26,0.840000,0.890000,0.790000,0.790000,0.790000,2625000
2020-02-27,0.780000,0.790000,0.710000,0.790000,0.790000,4530000
2020-02-28,0.750000,0.770000,0.750000,0.760000,0.760000,995000
2020-03-02,0.760000,0.790000,0.730000,0.770000,0.770000,785000
2020-03-03,0.780000,0.800000,0.760000,0.800000,0.800000,555000
2020-03-04,0.780000,0.800000,0.770000,0.800000,0.800000,105000
2020-03-05,0.800000,0.830000,0.770000,0.790000,0.790000,730000
2020-03-06,0.800000,0.870000,0.790000,0.860000,0.860000,11070000
2020-03-09,0.860000,0.860000,0.860000,0.860000,0.860000,0
2020-03-10,1.440000,1.440000,1.440000,1.440000,1.440000,0
2020-03-11,1.800000,1.880000,1.530000,1.640000,1.640000,16065000
2020-03-12,1.600000,1.640000,1.460000,1.580000,1.580000,4039000
2020-03-13,1.420000,1.620000,1.410000,1.600000,1.600000,3895000
2020-03-16,1.490000,1.600000,1.470000,1.550000,1.550000,8535000
2020-03-17,1.540000,1.690000,1.490000,1.500000,1.500000,5710000
2020-03-18,1.460000,1.550000,1.450000,1.530000,1.530000,6445000
2020-03-19,1.530000,1.530000,1.430000,1.520000,1.520000,3100000
2020-03-20,1.520000,1.520000,1.440000,1.510000,1.510000,485000
2020-03-23,1.510000,1.620000,1.510000,1.620000,1.620000,7385000
2020-03-24,1.620000,1.790000,1.600000,1.780000,1.780000,12310000
2020-03-25,1.780000,2.000000,1.760000,1.950000,1.950000,2570000
2020-03-26,1.950000,2.060000,1.800000,1.830000,1.830000,3990000
2020-03-27,1.800000,1.870000,1.760000,1.790000,1.790000,3295000
2020-03-30,1.800000,1.940000,1.750000,1.860000,1.860000,2315000
2020-03-31,1.890000,1.980000,1.870000,1.980000,1.980000,4680000
2020-04-01,2.000000,2.000000,1.840000,1.910000,1.910000,5555000
2020-04-02,1.890000,2.130000,1.800000,2.100000,2.100000,7575000
2020-04-03,2.050000,2.090000,1.960000,2.000000,2.000000,7595000
2020-04-06,2.000000,2.000000,1.950000,1.950000,1.950000,2915000
2020-04-07,1.940000,2.200000,1.890000,2.140000,2.140000,10250000
2020-04-08,2.100000,2.380000,2.060000,2.360000,2.360000,8190000
2020-04-09,2.350000,2.400000,2.240000,2.290000,2.290000,9625000
2020-04-14,2.300000,2.500000,2.000000,2.500000,2.500000,16330000
2020-04-15,2.490000,2.790000,2.460000,2.790000,2.790000,103695000
2020-04-16,2.100000,2.100000,0.345000,0.415000,0.415000,449489200
2020-04-17,0.410000,0.445000,0.370000,0.385000,0.385000,97724200
2020-04-20,0.380000,0.385000,0.345000,0.350000,0.350000,36940000
2020-04-21,0.340000,0.345000,0.310000,0.325000,0.325000,29705000
2020-04-22,0.325000,0.350000,0.315000,0.320000,0.320000,22180000
2020-04-23,0.315000,0.330000,0.280000,0.295000,0.295000,20895000
2020-04-24,0.290000,0.290000,0.260000,0.270000,0.270000,18990000
2020-04-27,0.280000,0.355000,0.280000,0.340000,0.340000,81945000
2020-04-28,0.355000,0.355000,0.300000,0.305000,0.305000,19585000
2020-04-29,0.305000,0.350000,0.295000,0.305000,0.305000,9495000
2020-05-04,0.305000,0.305000,0.285000,0.290000,0.290000,5095000
2020-05-05,0.300000,0.305000,0.280000,0.285000,0.285000,8540000
2020-05-06,0.285000,0.285000,0.270000,0.275000,0.275000,3995000
2020-05-07,0.270000,0.280000,0.270000,0.275000,0.275000,2210000
2020-05-08,0.275000,0.290000,0.270000,0.280000,0.280000,4590000
2020-05-11,0.275000,0.280000,0.265000,0.270000,0.270000,4045000
2020-05-12,0.270000,0.275000,0.260000,0.265000,0.265000,3020000
2020-05-13,0.260000,0.265000,0.255000,0.255000,0.255000,3820000
2020-05-14,0.250000,0.255000,0.234000,0.236000,0.236000,8045000
2020-05-15,0.236000,0.236000,0.211000,0.216000,0.216000,11665000
2020-05-18,0.214000,0.223000,0.203000,0.203000,0.203000,4115000
2020-05-19,0.203000,0.218000,0.200000,0.208000,0.208000,7110000
2020-05-20,0.209000,0.235000,0.200000,0.233000,0.233000,11680000
2020-05-21,0.233000,0.255000,0.223000,0.245000,0.245000,14620000
2020-05-22,0.245000,0.245000,0.218000,0.227000,0.227000,6310000
2020-05-25,0.235000,0.250000,0.219000,0.225000,0.225000,5260000
2020-05-26,0.219000,0.235000,0.218000,0.225000,0.225000,5970000
2020-05-27,0.219000,0.220000,0.195000,0.198000,0.198000,10005000
2020-05-28,0.198000,0.200000,0.190000,0.192000,0.192000,3570000
2020-05-29,0.192000,0.200000,0.185000,0.194000,0.194000,5870000
2020-06-01,0.192000,0.207000,0.180000,0.186000,0.186000,7475000
2020-06-02,0.188000,0.190000,0.186000,0.186000,0.186000,1005000
2020-06-03,0.186000,0.187000,0.180000,0.181000,0.181000,4335000
2020-06-04,0.181000,0.181000,0.171000,0.171000,0.171000,4190000
2020-06-05,0.171000,0.175000,0.166000,0.171000,0.171000,2700000
2020-06-08,0.172000,0.191000,0.166000,0.177000,0.177000,7520000
2020-06-09,0.177000,0.193000,0.177000,0.182000,0.182000,4110000
2020-06-10,0.182000,0.183000,0.175000,0.182000,0.182000,1915000
2020-06-11,0.180000,0.180000,0.175000,0.177000,0.177000,980000
2020-06-12,0.177000,0.182000,0.168000,0.182000,0.182000,2510000
2020-06-15,0.180000,0.182000,0.175000,0.179000,0.179000,535000
2020-06-16,0.176000,0.181000,0.174000,0.175000,0.175000,1870000
2020-06-17,0.181000,0.181000,0.171000,0.179000,0.179000,1955000
2020-06-18,0.177000,0.177000,0.168000,0.177000,0.177000,2295000
2020-06-19,0.176000,0.177000,0.170000,0.173000,0.173000,1180000
2020-06-22,0.170000,0.173000,0.170000,0.171000,0.171000,1465000
2020-06-23,0.171000,0.177000,0.170000,0.172000,0.172000,625000
2020-06-24,0.171000,0.173000,0.171000,0.171000,0.171000,1045000
2020-06-26,0.171000,0.175000,0.170000,0.171000,0.171000,150000
2020-06-29,0.171000,0.172000,0.171000,0.171000,0.171000,1450000
2020-06-30,0.170000,0.171000,0.165000,0.171000,0.171000,2580000
2020-07-02,0.171000,0.172000,0.168000,0.170000,0.170000,515000
2020-07-03,0.168000,0.168000,0.152000,0.160000,0.160000,3460000
2020-07-06,0.160000,0.165000,0.160000,0.163000,0.163000,1425000
2020-07-07,0.164000,0.169000,0.163000,0.164000,0.164000,980000
2020-07-08,0.161000,0.164000,0.159000,0.159000,0.159000,1120000
2020-07-09,0.159000,0.162000,0.155000,0.157000,0.157000,2490000
2020-07-10,0.158000,0.189000,0.152000,0.168000,0.168000,9895000
2020-07-13,0.167000,0.168000,0.164000,0.164000,0.164000,925000
2020-07-14,0.164000,0.172000,0.164000,0.172000,0.172000,2770000
2020-07-15,0.172000,0.189000,0.172000,0.175000,0.175000,5060000
2020-07-16,0.175000,0.178000,0.170000,0.172000,0.172000,1320000
2020-07-17,0.169000,0.170000,0.167000,0.170000,0.170000,755000
2020-07-20,0.170000,0.171000,0.169000,0.171000,0.171000,4800000
2020-07-21,0.171000,0.172000,0.165000,0.165000,0.165000,1930000
2020-07-22,0.166000,0.170000,0.165000,0.165000,0.165000,1360000
2020-07-23,0.162000,0.166000,0.162000,0.163000,0.163000,635000
2020-07-24,0.163000,0.163000,0.161000,0.161000,0.161000,865000
2020-07-27,0.161000,0.163000,0.160000,0.162000,0.162000,1110000
2020-07-28,0.160000,0.163000,0.158000,0.158000,0.158000,340000
2020-07-29,0.158000,0.158000,0.155000,0.155000,0.155000,1045000
2020-07-30,0.156000,0.159000,0.155000,0.158000,0.158000,745000
2020-07-31,0.158000,0.187000,0.157000,0.168000,0.168000,6775000
2020-08-03,0.168000,0.180000,0.168000,0.171000,0.171000,2115000
2020-08-04,0.171000,0.171000,0.166000,0.166000,0.166000,325000
2020-08-05,0.165000,0.181000,0.165000,0.172000,0.172000,7985000
